,2011 super output area - lower layer,LSOA11CD,January 2016,February 2016,March 2016,April 2016,May 2016,June 2016,July 2016,August 2016,September 2016,October 2016,November 2016,December 2016,January 2017,February 2017,March 2017,April 2017,May 2017,June 2017,July 2017,August 2017,September 2017,October 2017,November 2017,December 2017,January 2018,February 2018,March 2018,April 2018,May 2018,June 2018,July 2018,August 2018,September 2018,October 2018,November 2018,December 2018,January 2019,February 2019,March 2019,April 2019,May 2019,June 2019,July 2019,August 2019,September 2019,October 2019,November 2019,December 2019,January 2020,February 2020,March 2020,April 2020,May 2020,June 2020,July 2020,August 2020,September 2020,October 2020,November 2020,December 2020,January 2021,February 2021,March 2021,April 2021,May 2021,June 2021,July 2021,August 2021,September 2021
0,Lewisham 001A,E01003244,25,25,30,30,20,20,20,15,15,15,20,20,15,20,20,20,20,20,25,20,20,25,25,20,20,20,20,20,20,20,20,20,20,25,25,30,25,25,25,30,25,30,30,30,30,30,30,25,30,30,30,40,55,55,60,50,55,60,65,60,65,70,70,70,70,60,50,50,50
1,Lewisham 001B,E01003245,15,15,15,15,10,15,20,20,20,15,25,30,30,25,25,30,30,30,35,35,35,40,35,40,35,40,30,35,35,40,35,35,35,35,35,40,40,40,40,40,45,50,45,45,45,40,45,40,40,35,40,65,65,75,75,75,75,65,80,70,70,75,75,75,70,60,60,55,50
2,Lewisham 001C,E01003247,5,5,5,5,5,10,10,10,10,10,10,10,10,10,5,10,10,15,15,15,20,20,15,15,15,15,20,20,20,20,20,20,20,15,15,20,15,15,15,20,15,10,15,15,15,15,15,10,10,10,10,30,40,45,45,50,60,60,55,55,55,55,60,60,50,40,45,40,35
3,Lewisham 001D,E01003249,10,10,10,10,10,15,10,5,10,5,10,5,10,10,10,15,15,10,10,10,15,15,10,15,10,10,10,10,10,10,10,10,10,15,15,20,20,20,25,25,25,20,20,20,15,15,20,15,15,15,20,35,45,45,50,45,50,55,50,45,50,55,55,50,50,50,50,55,50
4,Lewisham 001E,E01003250,15,15,15,15,15,10,15,15,15,15,15,15,15,15,15,15,15,15,20,20,20,20,20,20,20,20,20,25,25,25,25,20,25,25,20,25,25,20,20,25,25,25,30,30,30,35,30,30,25,30,30,40,55,60,55,65,60,65,70,75,75,80,80,85,80,70,75,70,65
5,Lewisham 002A,E01003246,15,20,15,20,20,15,20,20,20,20,20,25,20,20,15,20,25,25,20,20,20,20,20,20,20,20,20,25,25,20,25,35,30,30,30,35,30,30,30,30,30,35,35,30,35,35,35,40,40,35,35,55,65,75,75,70,75,75,70,70,70,75,80,85,80,75,70,65,55
6,Lewisham 002B,E01003248,15,15,15,15,15,10,15,15,10,5,10,10,10,5,5,5,5,5,5,10,10,10,10,10,5,10,10,15,15,15,20,15,15,15,15,20,20,25,25,25,30,25,30,30,30,30,35,40,40,40,40,50,60,65,60,70,75,75,70,70,70,80,80,80,75,65,60,60,60
7,Lewisham 002C,E01003251,10,10,10,15,15,10,10,10,10,15,15,10,10,10,10,10,10,10,10,15,15,15,10,10,10,10,10,10,10,10,15,15,20,20,20,20,25,25,25,20,25,25,30,30,30,30,30,30,35,30,25,35,55,55,60,65,60,60,60,65,60,70,75,65,65,65,65,65,65
8,Lewisham 002D,E01003252,15,15,15,20,20,20,25,15,15,15,15,15,10,10,10,15,15,15,20,20,20,15,20,25,25,25,25,20,20,20,25,25,25,25,25,20,25,25,30,30,25,25,25,25,20,25,25,20,20,25,30,35,40,50,55,65,65,60,65,65,65,60,65,60,65,55,55,55,50
9,Lewisham 002E,E01003253,5,10,10,15,15,10,10,10,10,15,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5,10,10,15,15,15,15,15,20,20,20,20,20,15,20,20,20,20,20,20,20,25,15,25,40,50,55,60,60,60,65,60,50,50,50,55,50,45,35,45,40,40
10,Lewisham 003A,E01003297,10,10,10,5,5,5,10,5,5,5,5,10,10,10,10,15,15,15,15,20,15,15,15,15,15,15,15,15,15,15,10,15,10,15,15,15,15,15,15,15,15,15,15,15,20,15,20,15,15,15,20,35,40,45,40,40,35,45,50,50,55,55,55,55,50,50,45,35,35
11,Lewisham 003B,E01003299,25,20,20,15,15,20,20,25,25,25,25,20,20,20,20,25,25,20,20,20,20,20,25,25,25,25,25,20,25,25,20,25,30,30,25,25,25,25,25,25,20,20,25,25,25,25,25,30,25,30,25,45,70,60,65,70,70,70,70,75,75,80,80,80,70,65,55,50,55
12,Lewisham 003C,E01003301,15,15,15,15,15,15,10,15,20,20,20,15,15,15,15,10,10,10,10,15,10,10,10,10,10,10,10,10,10,10,10,15,10,10,10,10,15,20,15,15,15,15,15,20,20,20,15,25,25,20,20,35,50,55,60,65,70,65,60,65,65,70,70,70,60,60,55,55,55
13,Lewisham 003D,E01003302,20,20,20,20,20,20,20,20,15,20,15,15,15,20,20,20,15,20,20,20,20,25,20,20,20,20,20,20,20,20,15,20,20,20,25,25,25,25,25,20,20,25,25,25,30,40,40,35,35,30,30,45,55,55,60,60,60,70,75,75,70,75,65,65,65,60,55,60,60
14,Lewisham 003E,E01003305,15,20,20,20,20,20,15,20,15,20,20,20,20,20,25,20,20,15,15,15,15,15,15,10,10,15,15,20,20,20,20,20,25,20,25,25,25,25,30,25,30,30,30,25,25,25,30,30,25,30,25,45,65,55,60,60,70,65,60,60,60,65,60,55,60,60,50,50,50
15,Lewisham 005A,E01003207,10,10,10,15,10,10,15,15,15,15,15,15,15,15,15,15,20,15,15,15,15,15,15,15,15,15,20,15,20,15,20,20,15,20,20,25,25,25,25,20,25,20,20,25,25,20,25,20,25,25,25,45,75,65,70,70,75,75,75,75,80,80,85,80,75,65,65,65,65
16,Lewisham 005B,E01003209,10,15,15,10,15,10,10,10,15,10,10,10,10,15,20,20,25,20,20,20,20,20,15,20,20,20,20,20,20,25,25,25,30,25,25,15,20,20,20,15,20,25,30,25,25,25,20,20,20,20,20,40,60,65,75,75,70,70,70,70,65,60,70,65,70,65,65,55,55
17,Lewisham 005C,E01003210,10,10,10,10,10,5,10,15,10,10,5,5,10,5,5,10,10,10,10,10,10,10,5,10,10,10,5,5,10,10,5,5,10,10,5,10,5,10,10,10,10,15,15,15,15,15,15,15,10,15,15,35,55,60,60,70,75,65,60,60,60,70,75,70,65,55,55,50,45
18,Lewisham 005D,E01003212,10,15,10,15,15,15,15,15,10,10,15,10,10,10,15,15,15,15,15,15,15,15,10,10,15,15,15,15,15,20,15,15,20,20,20,20,15,15,15,15,15,15,15,15,20,20,20,20,25,25,25,40,60,55,60,65,65,65,75,70,65,65,60,55,55,50,50,50,55
19,Lewisham 005E,E01003215,15,15,15,10,10,15,15,15,15,10,10,10,15,20,20,20,15,15,15,15,15,15,15,15,15,15,10,15,20,20,20,20,20,20,20,15,20,25,25,20,25,25,30,25,25,30,25,30,30,25,25,40,50,55,55,50,50,60,60,60,65,65,70,65,60,55,55,45,50
20,Lewisham 006A,E01003338,15,15,15,15,15,15,15,10,15,15,15,15,15,20,20,20,20,20,20,20,20,20,20,20,20,20,25,25,25,25,25,25,25,25,25,25,25,30,25,25,30,30,30,35,30,35,40,40,30,30,30,45,65,65,70,75,75,75,85,85,90,95,95,100,90,85,85,75,75
21,Lewisham 006B,E01003339,15,15,15,15,15,15,20,15,15,15,15,10,10,15,15,10,15,15,10,10,15,15,15,20,15,15,10,15,15,15,15,20,20,20,15,20,20,20,15,20,25,25,25,25,30,30,25,25,30,35,35,55,80,75,75,90,75,80,80,85,75,80,90,85,75,70,70,65,60
22,Lewisham 006C,E01003340,5,0,0,0,5,5,5,5,5,10,10,10,10,5,5,5,0,5,5,5,10,10,10,5,5,10,5,5,10,10,5,10,15,10,15,10,10,10,10,5,5,10,10,10,10,15,10,10,15,15,15,35,50,55,55,55,60,50,55,55,55,50,55,55,45,35,45,40,35
23,Lewisham 006D,E01003341,5,5,10,10,10,10,10,10,5,5,5,10,5,10,10,10,10,10,10,5,5,10,5,5,5,5,5,10,10,10,10,10,10,10,10,10,10,15,10,15,15,15,15,10,15,15,5,5,10,5,5,15,30,25,20,30,30,30,30,25,25,20,25,25,20,20,15,15,15
24,Lewisham 006E,E01003343,15,10,10,10,10,10,10,10,10,10,10,10,5,10,5,5,5,5,5,5,10,5,5,5,5,10,10,10,10,10,10,15,15,15,10,15,15,10,10,10,5,10,10,10,10,10,10,10,10,10,10,15,25,30,30,35,35,35,35,35,35,35,35,35,30,30,30,30,30
25,Lewisham 007A,E01003199,5,5,5,10,10,15,10,10,10,5,5,5,5,5,5,5,5,5,10,5,10,10,5,5,5,5,5,5,5,5,5,5,5,5,5,10,10,10,15,10,10,10,10,10,5,10,10,10,5,5,10,20,35,30,25,25,20,25,30,25,30,30,30,30,25,20,25,30,25
26,Lewisham 007B,E01003201,15,20,20,20,20,20,15,15,20,20,20,20,20,20,20,25,20,20,20,20,20,15,20,15,20,20,20,20,20,20,20,20,20,20,20,20,20,25,25,30,30,25,25,30,30,30,30,25,20,20,20,30,35,40,40,40,45,40,55,50,50,55,55,50,50,45,50,45,40
