,2011 super output area - lower layer,LSOA11CD,January 2016,February 2016,March 2016,April 2016,May 2016,June 2016,July 2016,August 2016,September 2016,October 2016,November 2016,December 2016,January 2017,February 2017,March 2017,April 2017,May 2017,June 2017,July 2017,August 2017,September 2017,October 2017,November 2017,December 2017,January 2018,February 2018,March 2018,April 2018,May 2018,June 2018,July 2018,August 2018,September 2018,October 2018,November 2018,December 2018,January 2019,February 2019,March 2019,April 2019,May 2019,June 2019,July 2019,August 2019,September 2019,October 2019,November 2019,December 2019,January 2020,February 2020,March 2020,April 2020,May 2020,June 2020,July 2020,August 2020,September 2020,October 2020,November 2020,December 2020,January 2021,February 2021,March 2021,April 2021,May 2021,June 2021,July 2021,August 2021,September 2021
0,Lewisham 001A,E01003244,15,15,20,15,10,10,15,15,20,20,20,20,20,20,20,25,30,30,25,20,25,25,25,25,20,20,20,20,25,25,20,20,20,20,25,25,25,30,25,30,30,30,30,30,30,30,30,30,30,25,30,45,75,75,70,80,80,75,75,80,80,90,90,90,85,80,75,70,65
1,Lewisham 001B,E01003245,20,25,25,30,30,30,35,35,30,30,30,30,25,30,35,30,30,30,35,30,35,30,30,30,30,35,35,40,45,35,40,35,30,30,30,30,30,30,35,30,30,25,30,35,35,30,35,30,30,30,30,45,55,65,65,70,75,70,80,85,75,80,70,80,75,65,75,70,65
2,Lewisham 001C,E01003247,15,15,15,15,15,15,25,20,20,20,20,20,20,15,20,20,20,20,10,15,15,15,15,15,20,20,15,20,25,20,20,20,25,20,20,20,20,25,20,25,20,15,25,20,20,20,15,15,15,15,20,40,70,65,65,65,70,65,75,80,75,75,80,75,75,70,60,65,60
3,Lewisham 001D,E01003249,25,30,25,30,30,30,30,30,25,25,25,25,25,25,25,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,35,30,35,35,30,35,35,45,40,40,45,40,40,40,40,40,40,35,35,35,35,60,85,85,90,95,100,105,105,110,105,110,115,115,110,95,85,75,70
4,Lewisham 001E,E01003250,30,35,40,35,40,30,35,35,35,30,30,35,35,35,30,35,30,35,30,35,30,30,30,30,30,35,35,35,30,35,35,30,30,30,30,30,35,35,35,40,35,35,30,35,30,35,35,30,30,30,30,55,95,95,95,90,100,95,95,95,100,105,105,105,100,100,95,85,80
5,Lewisham 002A,E01003246,20,25,25,25,25,20,25,20,20,20,20,20,20,20,20,25,25,25,25,20,25,25,25,20,25,25,25,30,30,30,25,25,20,25,25,25,25,25,30,30,30,30,35,35,40,35,35,30,30,35,30,65,90,80,100,100,95,85,95,85,95,95,90,85,75,80,80,70,75
6,Lewisham 002B,E01003248,15,20,20,20,20,20,20,20,20,25,20,20,20,20,20,15,20,20,25,25,25,20,20,20,20,20,20,20,25,20,25,20,20,20,20,20,20,20,25,20,25,25,25,30,25,25,25,25,25,35,35,45,75,75,80,80,75,70,80,85,80,85,80,85,80,80,75,70,75
7,Lewisham 002C,E01003251,20,20,25,25,25,25,25,25,25,25,25,25,25,30,30,35,35,30,30,30,30,30,30,30,25,30,25,25,25,25,30,30,25,25,25,25,25,30,30,30,30,35,35,30,35,35,35,35,35,40,40,55,75,80,75,75,75,70,75,85,85,95,95,90,95,85,85,75,75
8,Lewisham 002D,E01003252,20,15,15,20,15,15,15,10,10,15,15,10,15,15,15,20,20,15,15,20,15,15,15,20,15,20,20,25,20,20,25,25,20,20,20,20,20,25,25,25,25,25,30,30,30,25,20,20,20,20,25,35,70,60,65,65,65,65,75,85,85,85,75,85,80,75,65,60,55
9,Lewisham 002E,E01003253,30,30,30,25,30,35,35,30,30,25,30,30,30,30,35,35,35,35,35,30,30,30,30,35,35,35,35,35,35,35,35,35,30,30,35,35,35,35,40,40,40,40,40,40,40,40,40,40,45,40,40,65,85,75,80,80,85,80,80,85,85,90,90,85,90,75,75,70,70
10,Lewisham 003A,E01003297,10,20,15,10,15,15,15,15,15,15,15,15,20,15,15,15,20,20,20,15,15,10,15,15,20,15,20,15,20,15,15,15,15,15,15,15,20,20,20,20,20,20,20,25,15,15,10,15,15,15,20,40,60,55,60,60,55,55,70,70,70,75,70,65,60,55,55,50,50
11,Lewisham 003B,E01003299,15,15,20,25,25,20,20,15,25,25,25,25,25,25,20,20,20,20,20,15,25,20,20,20,15,20,20,20,20,20,20,25,30,30,25,25,25,20,25,30,35,35,35,35,35,35,35,30,30,30,35,70,105,95,100,110,110,110,110,110,105,115,110,110,100,85,80,70,65
12,Lewisham 003C,E01003301,20,25,20,15,15,15,15,15,15,20,15,20,15,15,20,15,15,15,20,15,15,15,20,15,15,20,20,20,15,15,15,20,15,20,15,20,15,20,20,20,25,25,25,30,25,25,30,30,30,30,30,45,65,70,75,75,75,75,80,80,80,85,85,85,80,70,65,60,55
13,Lewisham 003D,E01003302,25,25,25,20,20,15,20,15,20,20,20,20,15,20,20,25,25,30,35,30,30,30,25,25,30,30,30,30,30,25,30,30,25,25,30,30,30,30,30,30,25,25,25,30,35,40,40,40,40,40,45,55,90,90,85,90,95,95,85,90,85,85,85,85,85,75,70,60,65
14,Lewisham 003E,E01003305,25,25,25,25,25,20,20,20,25,25,20,20,20,20,25,20,20,25,30,30,30,30,25,25,25,25,30,30,30,30,30,25,30,35,35,35,35,35,35,30,30,30,35,35,40,40,40,40,35,40,35,45,75,75,75,85,80,75,85,80,80,85,85,85,85,75,70,70,70
15,Lewisham 005A,E01003207,10,15,15,15,15,15,15,15,20,20,25,20,20,20,20,25,25,25,25,25,35,35,30,25,25,30,30,25,30,30,25,25,25,25,30,35,30,35,35,35,35,35,35,35,35,35,40,40,35,35,35,55,90,95,95,100,95,95,95,95,95,95,105,110,95,95,90,80,75
16,Lewisham 005B,E01003209,30,30,30,40,35,35,35,35,35,30,30,25,30,25,30,30,25,25,25,20,20,20,20,25,25,20,25,25,25,25,25,20,25,25,25,20,25,30,30,25,30,30,30,30,30,35,35,40,40,40,40,60,90,85,85,100,105,100,95,95,85,85,95,85,80,80,75,80,75
