WD22CD_proposed,January 2016,February 2016,March 2016,April 2016,May 2016,June 2016,July 2016,August 2016,September 2016,October 2016,November 2016,December 2016,January 2017,February 2017,March 2017,April 2017,May 2017,June 2017,July 2017,August 2017,September 2017,October 2017,November 2017,December 2017,January 2018,February 2018,March 2018,April 2018,May 2018,June 2018,July 2018,August 2018,September 2018,October 2018,November 2018,December 2018,January 2019,February 2019,March 2019,April 2019,May 2019,June 2019,July 2019,August 2019,September 2019,October 2019,November 2019,December 2019,January 2020,February 2020,March 2020,April 2020,May 2020,June 2020,July 2020,August 2020,September 2020,October 2020,November 2020,December 2020,January 2021,February 2021,March 2021,April 2021,May 2021,June 2021,July 2021,August 2021,September 2021
E05013714,150,165,150,165,165,155,165,150,155,150,155,140,160,175,180,195,195,180,170,175,160,175,170,175,190,205,220,215,200,205,200,190,180,190,200,230,215,225,240,240,245,260,265,265,270,265,275,290,285,295,320,400,595,590,600,610,615,600,595,605,590,620,625,615,590,560,550,530,515
E05013715,135,140,150,140,140,140,150,155,150,145,145,160,145,150,155,150,140,140,135,145,150,140,145,145,150,140,130,140,140,135,120,125,130,135,130,140,140,165,175,170,170,190,190,195,210,195,190,185,190,200,215,340,490,460,475,475,470,490,485,500,505,520,515,525,490,455,420,405,395
E05013716,210,210,225,235,210,220,210,215,210,220,220,220,230,215,225,230,230,235,215,230,240,230,240,240,240,230,235,230,225,230,220,195,225,225,255,245,265,280,295,285,285,315,300,310,300,305,305,300,300,315,320,510,805,785,820,865,855,825,855,835,825,860,895,875,805,775,730,715,695
E05013717,165,165,155,155,140,130,125,125,140,140,125,135,140,135,140,155,145,155,165,150,145,145,155,150,150,160,155,160,150,150,145,135,125,140,140,150,155,165,170,190,175,185,180,175,195,185,215,210,225,225,230,335,555,530,550,560,580,590,575,590,565,600,610,620,585,540,525,490,490
E05013718,135,130,135,130,135,130,125,120,110,125,125,100,110,105,125,110,110,100,100,95,105,105,110,105,110,110,120,125,135,115,115,105,105,110,115,125,125,135,145,140,145,145,150,155,155,175,165,170,170,165,155,280,450,455,450,490,480,460,480,470,455,475,500,475,450,425,390,380,375
E05013719,205,215,220,225,220,215,220,200,210,200,195,195,200,200,200,210,210,205,210,200,195,195,190,195,205,220,220,230,235,230,235,240,230,235,235,250,260,255,275,285,285,290,295,285,310,305,320,295,300,295,295,485,745,695,735,730,745,715,765,775,770,790,770,770,750,705,665,610,610
E05013720,165,170,180,170,175,175,175,175,155,150,145,145,170,170,170,170,165,165,165,170,155,160,160,150,145,175,165,160,170,160,170,170,165,180,190,195,205,220,210,225,225,230,235,245,260,275,255,255,250,275,280,415,705,670,700,735,735,710,720,735,700,760,750,740,720,665,635,625,610
E05013721,120,135,145,140,140,130,150,145,145,145,140,145,145,145,145,160,165,165,150,155,155,150,150,150,145,155,145,150,160,155,165,150,155,150,150,155,160,185,175,185,185,180,185,185,180,185,180,170,170,180,190,300,475,475,475,485,500,480,505,535,525,560,565,560,545,510,475,440,425
E05013722,145,155,150,145,150,140,150,140,145,145,135,145,160,140,140,155,155,150,150,160,165,160,155,165,175,170,170,170,175,180,165,170,160,170,180,190,200,220,225,235,255,245,250,260,255,285,265,280,270,280,285,425,605,565,570,600,600,585,620,605,600,615,635,610,585,525,525,500,475
E05013723,155,160,165,165,170,170,165,170,160,145,145,145,125,140,140,130,120,130,125,130,110,120,115,105,120,120,125,140,145,140,130,140,120,120,120,115,130,145,160,160,160,165,170,180,190,190,190,205,195,195,195,310,490,480,465,495,480,480,475,495,490,520,545,540,470,420,415,400,405
E05013724,210,205,235,215,215,215,205,200,205,230,220,215,215,235,240,255,265,255,255,245,255,250,245,240,250,250,265,265,270,270,260,255,275,290,295,315,310,340,335,360,365,370,395,420,405,405,405,420,430,450,450,600,860,830,870,885,915,895,925,925,930,970,935,945,895,870,825,785,750
E05013725,115,130,115,115,115,100,110,125,115,125,115,110,115,115,120,115,125,125,115,125,125,120,115,110,110,110,115,100,105,105,115,110,105,120,115,125,135,125,130,145,145,160,155,145,155,170,185,170,175,185,180,270,390,390,400,415,420,430,430,455,430,460,460,455,425,415,415,380,370
E05013726,105,110,115,110,110,105,110,110,115,115,120,125,125,120,125,110,120,130,110,115,120,110,120,115,110,105,115,115,115,100,110,105,110,110,115,110,105,110,105,110,125,130,135,125,135,130,135,130,105,120,120,235,405,405,405,415,425,410,440,445,445,480,465,450,415,395,380,365,360
E05013727,65,70,65,70,75,65,65,60,65,65,70,60,55,50,65,80,70,65,70,60,60,60,55,60,65,65,70,70,70,60,60,65,75,80,80,80,80,105,105,105,100,110,115,115,110,115,115,110,100,95,100,165,270,255,255,270,275,280,290,290,285,300,310,300,280,265,265,260,240
E05013728,115,135,130,125,130,115,125,115,130,135,125,130,120,125,135,125,130,140,160,135,150,135,135,130,135,145,155,155,160,140,150,150,145,155,150,155,155,155,165,160,165,160,170,190,185,185,190,185,180,185,195,300,450,450,460,490,490,480,510,515,495,525,505,510,485,425,415,380,370
E05013729,175,190,190,195,195,170,175,185,165,165,170,170,190,190,200,195,190,200,195,200,200,185,185,185,190,185,185,170,175,170,195,185,180,175,185,205,200,215,230,220,235,255,255,255,260,270,250,260,255,265,275,415,640,635,640,645,670,620,645,630,640,675,685,670,635,605,605,595,550
E05013730,280,275,280,270,270,280,290,270,270,265,250,255,255,265,265,295,285,275,270,255,260,270,255,260,250,265,265,275,255,240,220,230,250,265,245,280,290,315,335,350,370,405,375,380,375,370,365,370,360,395,400,555,815,820,840,840,850,825,865,845,840,890,855,870,855,785,805,750,720
E05013731,175,185,190,185,195,200,185,180,180,175,185,175,170,185,185,180,170,170,180,180,165,175,170,170,175,185,185,190,185,185,195,195,190,190,195,215,215,230,220,220,235,225,240,240,225,240,245,240,240,270,265,390,590,570,560,600,595,580,595,580,580,615,615,595,590,535,540,510,480
