,2011 super output area - lower layer,LSOA11CD,January 2016,February 2016,March 2016,April 2016,May 2016,June 2016,July 2016,August 2016,September 2016,October 2016,November 2016,December 2016,January 2017,February 2017,March 2017,April 2017,May 2017,June 2017,July 2017,August 2017,September 2017,October 2017,November 2017,December 2017,January 2018,February 2018,March 2018,April 2018,May 2018,June 2018,July 2018,August 2018,September 2018,October 2018,November 2018,December 2018,January 2019,February 2019,March 2019,April 2019,May 2019,June 2019,July 2019,August 2019,September 2019,October 2019,November 2019,December 2019,January 2020,February 2020,March 2020,April 2020,May 2020,June 2020,July 2020,August 2020,September 2020,October 2020,November 2020,December 2020,January 2021,February 2021,March 2021,April 2021,May 2021,June 2021,July 2021,August 2021,September 2021
0,Lewisham 001A,E01003244,40,40,45,40,35,35,35,35,30,35,40,40,40,40,40,45,50,45,50,45,45,50,45,45,40,40,40,40,45,45,40,40,40,45,50,55,50,55,55,60,55,60,60,60,60,60,60,55,60,55,60,85,130,130,130,130,140,140,145,140,145,155,155,160,150,140,125,120,115
1,Lewisham 001B,E01003245,35,40,40,45,40,45,55,55,50,45,55,60,55,60,60,65,60,60,65,65,65,70,65,70,65,75,60,75,75,75,75,70,70,70,65,70,70,75,70,70,75,75,75,75,80,70,80,75,70,65,70,110,125,140,140,145,145,135,155,155,145,155,145,155,145,130,135,130,115
2,Lewisham 001C,E01003247,15,20,20,20,20,25,35,35,30,30,35,35,30,25,25,30,30,35,25,30,35,35,30,30,35,35,35,40,40,35,40,40,40,40,35,40,40,40,40,40,35,30,35,30,30,35,30,25,25,25,30,70,115,110,110,115,130,130,130,130,130,135,140,135,130,110,100,105,95
3,Lewisham 001D,E01003249,40,40,35,40,40,45,40,35,35,30,30,30,30,30,35,45,45,40,45,40,45,45,40,40,45,40,40,35,40,40,40,40,45,50,50,50,55,65,65,65,65,60,60,60,55,55,60,50,50,50,50,95,130,130,140,140,145,155,155,155,155,165,175,165,160,145,140,125,120
4,Lewisham 001E,E01003250,50,55,55,50,55,45,45,50,50,45,45,45,50,50,45,50,50,50,50,55,50,50,50,50,50,50,55,55,55,60,60,55,55,55,50,55,60,55,60,65,60,60,65,65,60,65,65,65,60,55,55,95,150,155,155,155,165,165,165,170,180,185,185,185,185,170,170,160,150
5,Lewisham 002A,E01003246,35,40,45,45,45,35,45,40,40,35,40,45,45,40,35,50,50,50,45,40,45,45,45,45,45,45,45,55,55,50,55,60,55,55,55,55,55,55,60,55,55,65,70,70,70,70,70,70,70,70,70,120,155,160,175,170,170,160,160,155,165,165,170,170,160,155,145,135,130
6,Lewisham 002B,E01003248,30,35,40,35,35,35,30,35,35,30,30,30,30,30,25,20,25,25,30,30,35,30,30,30,30,25,30,35,40,35,45,35,35,35,40,40,45,45,45,45,50,50,55,60,55,55,55,65,65,70,75,100,140,140,140,150,150,145,150,155,150,170,165,165,155,145,135,130,135
7,Lewisham 002C,E01003251,35,30,35,40,40,35,35,35,35,40,40,35,40,40,40,45,45,45,40,40,45,45,40,40,35,40,35,35,35,40,45,40,40,45,45,45,50,55,50,55,50,65,65,60,65,65,65,65,65,70,65,85,130,135,135,140,135,130,140,150,150,165,165,155,160,150,150,140,140
8,Lewisham 002D,E01003252,35,30,30,40,35,35,35,30,25,25,30,25,25,30,30,35,35,30,35,40,30,30,35,40,45,45,45,45,40,40,45,45,45,45,50,45,50,50,55,55,55,55,55,55,50,50,45,45,40,45,55,70,110,110,120,130,135,125,135,150,150,145,140,145,150,135,120,115,105
9,Lewisham 002E,E01003253,40,40,40,40,45,45,45,40,40,40,40,40,40,40,40,45,40,40,45,40,35,40,40,45,40,45,45,40,45,45,50,50,45,45,50,55,50,55,60,60,55,60,60,60,60,60,60,65,65,55,60,100,130,130,140,140,150,145,140,135,140,145,140,135,135,110,120,110,110
10,Lewisham 003A,E01003297,20,30,30,20,20,20,25,20,20,20,25,25,30,25,30,30,30,35,35,35,30,25,30,30,35,30,35,35,35,30,30,30,30,30,25,30,35,35,35,35,35,35,35,35,35,30,30,30,30,35,40,75,100,100,105,100,90,105,125,115,125,130,125,120,110,105,100,90,85
11,Lewisham 003B,E01003299,40,40,40,40,40,40,40,40,50,50,50,45,45,45,40,50,45,40,35,35,40,45,45,45,40,45,40,45,45,50,45,50,55,60,50,55,50,45,55,55,55,55,55,60,60,60,60,60,55,60,60,115,175,155,165,180,180,180,180,185,175,195,190,190,170,150,135,125,120
12,Lewisham 003C,E01003301,35,40,35,30,30,30,25,30,30,40,35,35,30,35,35,30,25,25,25,25,25,25,30,25,30,30,30,30,25,25,25,30,25,30,30,30,30,40,35,35,40,40,45,45,45,45,50,50,55,55,50,80,115,125,135,140,140,140,140,145,145,150,155,155,140,130,125,115,115
13,Lewisham 003D,E01003302,45,45,45,40,40,35,40,40,35,40,35,35,35,40,40,45,40,45,55,50,50,55,45,45,45,50,50,50,50,45,50,50,45,50,55,55,50,55,55,50,50,50,55,55,65,80,80,80,75,70,75,100,145,145,140,150,155,160,160,165,155,160,150,155,150,135,125,120,125
14,Lewisham 003E,E01003305,40,40,40,45,45,40,35,40,40,45,40,40,40,45,50,40,40,40,45,40,40,40,40,40,40,40,45,50,55,50,50,45,55,55,60,60,55,60,65,60,60,65,65,65,70,65,65,65,65,70,65,90,140,130,130,145,145,140,145,140,140,155,145,140,145,135,125,120,120
15,Lewisham 005A,E01003207,20,25,25,25,25,30,30,25,35,35,40,35,35,35,35,40,45,40,40,40,50,45,45,40,40,45,50,45,50,50,45,45,45,45,50,60,55,60,60,55,60,60,55,55,60,55,60,60,60,60,60,100,160,160,165,170,175,170,170,170,175,170,190,190,175,160,155,145,140
16,Lewisham 005B,E01003209,40,45,40,50,50,50,50,45,45,40,40,40,40,40,50,50,50,45,45,40,40,40,35,40,40,40,40,45,45,45,50,50,55,50,50,40,45,50,50,45,50,55,55,55,55,55,60,55,60,60,65,100,155,150,155,170,175,175,165,165,150,145,160,150,150,145,140,135,130
17,Lewisham 005C,E01003210,25,30,30,30,25,25,30,30,25,25,25,25,30,25,20,30,35,35,30,30,30,30,30,30,30,30,30,30,30,30,30,35,35,35,35,40,35,40,40,35,35,40,40,40,45,45,40,40,35,40,35,85,130,145,140,155,160,140,140,135,135,145,150,135,130,110,100,100,95
18,Lewisham 005D,E01003212,35,35,35,35,35,40,35,35,30,30,30,30,30,25,30,30,30,35,35,40,35,30,30,30,30,30,35,35,35,40,35,35,40,35,40,35,35,40,35,45,40,40,40,45,40,45,45,45,50,55,55,80,140,120,135,140,140,140,145,145,135,145,140,135,130,120,125,120,120
19,Lewisham 005E,E01003215,30,30,35,25,25,25,30,30,30,25,25,25,30,30,35,40,35,30,30,30,25,30,30,25,30,30,25,30,35,30,35,40,35,40,35,35,40,50,45,40,40,50,55,50,55,50,50,45,45,45,45,85,105,115,110,110,105,110,115,120,120,125,135,130,120,110,105,95,100
20,Lewisham 006A,E01003338,35,35,35,30,30,35,35,30,35,35,40,40,40,45,45,50,45,45,45,40,40,40,40,40,40,45,50,55,50,60,55,55,55,50,60,55,55,65,60,70,70,70,70,70,65,70,70,70,65,60,65,105,145,140,155,160,165,170,185,180,190,205,195,200,185,175,180,160,150
21,Lewisham 006B,E01003339,35,35,35,35,35,35,35,35,35,35,35,30,30,35,40,35,40,40,30,30,35,40,35,35,35,40,35,40,40,40,40,45,45,45,45,45,50,50,45,50,50,50,50,50,50,50,50,45,50,60,60,115,160,155,165,175,165,170,170,180,170,175,190,185,175,155,160,145,135
22,Lewisham 006C,E01003340,20,20,20,20,20,20,20,20,25,25,25,25,20,20,25,25,25,25,25,25,20,25,25,20,25,25,20,20,25,25,25,25,30,30,30,25,25,25,25,25,20,25,25,25,25,30,25,30,35,35,35,75,110,120,115,125,135,125,125,130,120,120,125,125,110,105,105,95,90
23,Lewisham 006D,E01003341,15,15,15,15,20,25,20,20,15,10,15,15,15,15,15,20,20,20,20,20,20,20,15,15,15,15,15,20,20,20,20,25,25,30,25,25,25,25,25,30,35,35,30,25,30,25,20,20,25,20,20,45,75,65,65,75,70,75,75,70,75,80,80,80,65,60,55,45,50
24,Lewisham 006E,E01003343,25,25,25,20,25,25,25,20,25,20,20,20,15,15,20,20,20,25,20,20,20,20,20,20,20,25,25,25,20,20,25,25,30,30,30,30,30,30,25,30,25,30,30,30,30,35,30,30,30,30,30,55,75,80,80,85,80,90,85,85,85,85,85,85,80,75,75,75,75
25,Lewisham 007A,E01003199,15,15,15,20,20,20,20,20,15,15,15,10,10,10,10,10,5,10,10,10,15,10,10,10,10,10,10,10,10,10,10,10,10,10,10,15,20,15,20,15,20,15,15,20,15,20,25,20,20,20,25,50,85,75,80,70,65,65,70,70,75,75,75,75,75,65,60,60,55
26,Lewisham 007B,E01003201,35,40,40,40,40,40,35,40,40,40,40,40,40,40,45,50,40,40,40,40,40,40,40,40,45,40,40,45,40,50,45,45,45,45,45,50,50,60,60,60,60,60,60,60,65,60,60,55,50,55,55,90,110,110,110,110,115,110,125,125,120,130,130,115,110,115,115,115,100
27,Lewisham 007C,E01003204,10,10,10,10,10,10,15,15,15,15,20,15,15,15,15,15,15,15,15,20,20,20,20,20,20,15,15,20,15,15,15,20,25,20,20,20,20,20,25,25,25,20,30,25,25,30,25,30,30,35,35,60,85,80,80,85,80,75,75,85,80,80,80,85,75,65,65,65,70
28,Lewisham 007D,E01003205,35,35,35,40,35,35,35,45,45,35,30,25,30,25,30,30,30,35,40,40,30,30,35,30,30,25,20,25,20,25,15,15,20,20,25,25,25,25,30,30,25,25,30,35,35,30,30,30,30,30,30,40,70,70,70,70,70,65,75,70,70,70,80,80,80,70,70,70,70
29,Lewisham 007E,E01003206,15,15,20,20,20,20,15,15,20,15,15,20,15,15,15,20,20,15,15,20,20,20,15,15,10,10,10,10,15,10,10,10,15,15,10,15,15,20,20,20,20,25,25,20,20,20,20,25,25,20,20,30,45,45,45,45,50,55,50,50,55,50,50,55,50,50,50,45,45
30,Lewisham 008B,E01003211,45,45,40,40,40,35,35,35,40,40,35,40,45,45,45,40,45,50,45,45,45,45,45,45,50,45,50,45,45,45,45,45,45,50,50,50,50,50,50,50,55,55,55,50,55,55,45,40,40,45,50,65,125,100,110,115,110,110,110,115,115,125,125,120,120,110,110,100,100
31,Lewisham 008C,E01003213,35,35,35,40,40,40,30,30,30,30,30,25,30,35,35,35,30,30,35,35,40,30,35,35,35,35,45,45,40,35,35,30,40,45,40,45,45,40,50,50,45,50,50,50,45,45,45,50,50,55,55,80,120,110,115,125,125,120,135,135,135,130,135,130,120,120,110,105,100
32,Lewisham 008D,E01003214,30,35,30,35,35,30,30,30,35,30,30,30,25,30,30,30,30,30,35,30,35,35,35,35,35,35,30,35,30,35,30,35,35,35,45,45,45,45,50,55,50,50,60,60,55,55,55,60,65,65,50,90,140,150,160,175,175,160,165,160,160,155,150,150,145,140,135,130,120
33,Lewisham 008E,E01033324,25,25,25,30,25,25,25,25,20,25,25,25,25,20,25,25,30,30,25,30,35,35,30,30,35,35,25,30,25,30,25,20,35,35,35,35,35,35,45,45,45,45,50,50,55,50,55,50,45,50,45,75,110,100,105,115,110,105,100,105,110,115,115,115,105,105,100,100,95
34,Lewisham 008F,E01033325,5,5,10,5,5,10,5,5,5,5,5,5,5,5,10,10,5,5,5,5,5,10,10,10,5,5,10,10,10,5,10,10,10,10,10,10,10,5,5,5,5,5,5,5,5,5,5,5,5,10,10,30,55,50,50,55,60,55,50,45,45,50,60,50,50,40,40,35,35
35,Lewisham 009A,E01003198,25,25,20,20,25,25,30,30,25,20,20,20,20,20,25,25,25,30,25,25,30,30,25,25,25,20,20,25,25,20,15,15,15,15,15,20,20,20,15,15,20,25,20,20,25,25,25,25,25,25,25,35,65,65,65,65,65,75,75,70,70,70,85,85,80,70,70,65,70
36,Lewisham 009B,E01003200,5,5,5,10,10,10,10,15,10,10,15,10,10,15,15,15,15,15,10,10,10,10,10,10,10,10,10,15,10,15,15,15,10,10,15,15,15,10,15,15,10,10,15,15,15,15,15,15,20,20,25,40,50,45,45,45,55,50,55,50,55,50,50,55,50,45,45,40,40
37,Lewisham 009C,E01003202,10,10,10,10,10,15,10,10,15,10,10,15,15,15,15,10,10,10,10,10,10,10,15,15,15,10,10,10,10,10,10,15,10,10,10,10,10,5,10,10,10,10,15,15,15,10,15,15,10,15,15,35,60,60,60,60,55,65,60,55,50,50,55,55,50,45,40,35,35
38,Lewisham 009D,E01003203,45,50,50,45,40,40,50,50,55,55,50,50,60,55,60,60,60,60,50,50,50,55,55,45,50,50,50,50,50,45,40,45,45,50,50,50,50,55,65,65,65,75,75,65,75,75,65,70,75,80,80,120,160,145,160,155,170,170,175,180,190,185,185,185,165,165,150,140,135
39,Lewisham 010A,E01003336,35,35,40,40,40,40,35,40,40,40,40,40,40,35,35,30,35,35,35,35,30,30,30,25,35,35,30,25,30,30,35,35,35,35,40,45,45,55,50,45,50,55,50,50,55,45,50,55,50,55,55,80,105,110,110,120,115,115,125,125,125,125,120,115,115,95,100,90,90
