LSOA11CD,WD22NM_proposed,WD22CD_proposed
E01003316,Perry Vale,E05013729
E01003314,Perry Vale,E05013729
E01003312,Perry Vale,E05013729
E01003313,Perry Vale,E05013729
E01003310,Perry Vale,E05013729
E01003311,Perry Vale,E05013729
E01003195,Perry Vale,E05013729
E01003193,Perry Vale,E05013729
E01003308,Perry Vale,E05013729
E01003309,Perry Vale,E05013729
E01003307,Perry Vale,E05013729
E01003315,Perry Vale,E05013729
E01003317,Rushey Green,E05013730
E01003318,Rushey Green,E05013730
E01003319,Rushey Green,E05013730
E01003194,Rushey Green,E05013730
E01003324,Rushey Green,E05013730
E01003325,Rushey Green,E05013730
E01003322,Rushey Green,E05013730
E01003323,Rushey Green,E05013730
E01003320,Rushey Green,E05013730
E01003321,Rushey Green,E05013730
E01003293,Rushey Green,E05013730
E01003276,Ladywell,E05013725
E01003274,Ladywell,E05013725
E01003275,Ladywell,E05013725
E01003273,Ladywell,E05013725
E01003278,Ladywell,E05013725
E01003279,Ladywell,E05013725
E01003291,Ladywell,E05013725
E01003272,Brockley,E05013716
E01033324,Brockley,E05013716
E01033325,Brockley,E05013716
E01003214,Brockley,E05013716
E01003215,Brockley,E05013716
E01003212,Brockley,E05013716
E01003213,Brockley,E05013716
E01003210,Brockley,E05013716
E01003211,Brockley,E05013716
E01003207,Brockley,E05013716
E01003209,Brockley,E05013716
E01003277,Brockley,E05013716
E01003270,Grove Park,E05013723
E01003271,Grove Park,E05013723
E01003266,Grove Park,E05013723
E01003267,Grove Park,E05013723
E01003264,Grove Park,E05013723
E01003265,Grove Park,E05013723
E01003263,Grove Park,E05013723
E01003268,Grove Park,E05013723
E01003269,Grove Park,E05013723
E01003256,Forest Hill,E05013722
E01003257,Forest Hill,E05013722
E01003254,Forest Hill,E05013722
E01003255,Forest Hill,E05013722
E01003258,Forest Hill,E05013722
E01003259,Forest Hill,E05013722
E01003262,Forest Hill,E05013722
E01003260,Forest Hill,E05013722
E01003261,Forest Hill,E05013722
E01003252,Deptford,E05013719
E01003253,Deptford,E05013719
E01003298,Deptford,E05013719
E01003303,Deptford,E05013719
E01003300,Deptford,E05013719
E01032579,Deptford,E05013719
E01003304,Deptford,E05013719
E01003246,Deptford,E05013719
E01003250,Evelyn,E05013721
E01003251,Evelyn,E05013721
E01003247,Evelyn,E05013721
E01003244,Evelyn,E05013721
E01003248,Evelyn,E05013721
E01003249,Evelyn,E05013721
E01003192,Bellingham,E05013714
E01003191,Bellingham,E05013714
E01003190,Bellingham,E05013714
E01003197,Bellingham,E05013714
E01003196,Bellingham,E05013714
E01003189,Bellingham,E05013714
E01003199,Blackheath,E05013715
E01003198,Blackheath,E05013715
E01003206,Blackheath,E05013715
E01003204,Blackheath,E05013715
E01003205,Blackheath,E05013715
E01003202,Blackheath,E05013715
E01003203,Blackheath,E05013715
E01003200,Blackheath,E05013715
E01003201,Blackheath,E05013715
E01003288,Blackheath,E05013715
E01033327,Lewisham Central,E05013727
E01003296,Lewisham Central,E05013727
E01033341,Lewisham Central,E05013727
E01033322,Hither Green,E05013724
E01033320,Hither Green,E05013724
E01003295,Hither Green,E05013724
E01003292,Hither Green,E05013724
E01003290,Hither Green,E05013724
E01003218,Hither Green,E05013724
E01003346,Hither Green,E05013724
E01003347,Hither Green,E05013724
E01003222,Hither Green,E05013724
E01003220,Hither Green,E05013724
E01003354,Hither Green,E05013724
E01003350,Hither Green,E05013724
E01003326,Sydenham,E05013731
E01003327,Sydenham,E05013731
E01003328,Sydenham,E05013731
E01003329,Sydenham,E05013731
E01003334,Sydenham,E05013731
E01003335,Sydenham,E05013731
E01003332,Sydenham,E05013731
E01003333,Sydenham,E05013731
E01003330,Sydenham,E05013731
E01003331,Sydenham,E05013731
E01003216,Catford South,E05013717
E01003217,Catford South,E05013717
E01003219,Catford South,E05013717
E01003348,Catford South,E05013717
E01003224,Catford South,E05013717
E01003223,Catford South,E05013717
E01003221,Catford South,E05013717
E01003352,Catford South,E05013717
E01003353,Catford South,E05013717
E01003297,New Cross Gate,E05013728
E01003299,New Cross Gate,E05013728
E01003305,New Cross Gate,E05013728
E01003302,New Cross Gate,E05013728
E01003301,New Cross Gate,E05013728
E01003245,New Cross Gate,E05013728
E01003344,Telegraph Hill,E05013732
E01003345,Telegraph Hill,E05013732
E01003342,Telegraph Hill,E05013732
E01003343,Telegraph Hill,E05013732
E01003340,Telegraph Hill,E05013732
E01003341,Telegraph Hill,E05013732
E01003336,Telegraph Hill,E05013732
E01003337,Telegraph Hill,E05013732
E01003338,Telegraph Hill,E05013732
E01003339,Telegraph Hill,E05013732
E01003349,Downham,E05013720
E01003236,Downham,E05013720
E01003237,Downham,E05013720
E01003235,Downham,E05013720
E01003238,Downham,E05013720
E01003239,Downham,E05013720
E01003243,Downham,E05013720
E01003240,Downham,E05013720
E01003241,Downham,E05013720
E01032564,Downham,E05013720
E01032565,Downham,E05013720
E01003351,Downham,E05013720
E01003232,Crofton Park,E05013718
E01003233,Crofton Park,E05013718
E01003230,Crofton Park,E05013718
E01003231,Crofton Park,E05013718
E01003226,Crofton Park,E05013718
E01003227,Crofton Park,E05013718
E01003225,Crofton Park,E05013718
E01003228,Crofton Park,E05013718
E01003229,Crofton Park,E05013718
E01003287,Lee Green,E05013726
E01003285,Lee Green,E05013726
E01003284,Lee Green,E05013726
E01003283,Lee Green,E05013726
E01003282,Lee Green,E05013726
E01003281,Lee Green,E05013726
E01003280,Lee Green,E05013726
E01003286,Lee Green,E05013726
