LSOA11CD,Total,Europe: Total,Europe: United Kingdom: Total,Europe: United Kingdom: England,Europe: United Kingdom: Northern Ireland,Europe: United Kingdom: Scotland,Europe: United Kingdom: Wales,Europe: Great Britain not otherwise specified,Europe: United Kingdom not otherwise specified,Europe: Guernsey,Europe: Jersey,Europe: Channel Islands not otherwise specified,Europe: Isle of Man,Europe: Ireland,Europe: Other Europe: Total,Europe: Other Europe: EU Countries: Total,Europe: Other Europe: EU countries: Member countries in March 2001: Total,Europe: Other Europe: EU countries: Member countries in March 2001: France,Europe: Other Europe: EU countries: Member countries in March 2001: Germany,Europe: Other Europe: EU countries: Member countries in March 2001: Italy,Europe: Other Europe: EU countries: Member countries in March 2001: Portugal,Europe: Other Europe: EU countries: Member countries in March 2001: Spain (including Canary Islands),Europe: Other Europe: EU countries: Member countries in March 2001: Other member countries in March 2001,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Total,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Lithuania,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Poland,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Romania,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Other EU accession countries,Europe: Other Europe: Rest of Europe: Total,Europe: Other Europe: Rest of Europe: Turkey,Europe: Other Europe: Rest of Europe: Other Europe,Africa: Total,Africa: North Africa,Africa: Central and Western Africa: Total,Africa: Central and Western Africa: Ghana,Africa: Central and Western Africa: Nigeria,Africa: Central and Western Africa: Other Central and Western Africa,Africa: South and Eastern Africa: Total,Africa: South and Eastern Africa: Kenya,Africa: South and Eastern Africa: Somalia,Africa: South and Eastern Africa: South Africa,Africa: South and Eastern Africa: Zimbabwe,Africa: South and Eastern Africa: Other South and Eastern Africa,Africa: Africa not otherwise specified,Middle East and Asia: Total,Middle East and Asia: Middle East: Total,Middle East and Asia: Middle East: Iran,Middle East and Asia: Middle East: Other Middle East,Middle East and Asia: Eastern Asia: Total,Middle East and Asia: Eastern Asia: China,Middle East and Asia: Eastern Asia: Hong Kong (Special Administrative Region of China),Middle East and Asia: Eastern Asia: Other Eastern Asia,Middle East and Asia: Southern Asia: Total,Middle East and Asia: Southern Asia: Bangladesh,Middle East and Asia: Southern Asia: India,Middle East and Asia: Southern Asia: Pakistan,Middle East and Asia: Southern Asia: Sri Lanka,Middle East and Asia: Southern Asia: Other Southern Asia,Middle East and Asia: South-East Asia: Total,Middle East and Asia: South-East Asia: Philippines,Middle East and Asia: South-East Asia: Other South-East Asia,Middle East and Asia: Central Asia,The Americas and the Caribbean: Total,The Americas and the Caribbean: North America: Total,The Americas and the Caribbean: North America: United States,The Americas and the Caribbean: North America: Other North America,The Americas and the Caribbean: Central America,The Americas and the Caribbean: South America,The Americas and the Caribbean: The Caribbean: Total,The Americas and the Caribbean: The Caribbean: Jamaica,The Americas and the Caribbean: The Caribbean: Other Caribbean,Antarctica and Oceania: Total,Antarctica and Oceania: Antarctica,Antarctica and Oceania: Australasia: Total,Antarctica and Oceania: Australasia: Australia,Antarctica and Oceania: Australasia: Other Australasia,Antarctica and Oceania: Other Oceania,Other
E01003189,1670,1341,1208,1193,2,9,4,0,0,0,0,0,0,22,111,77,36,4,1,3,5,1,22,41,15,7,2,17,34,16,18,158,12,118,16,74,28,25,1,11,2,5,6,3,76,10,6,4,11,10,1,0,51,1,11,2,27,10,4,1,3,0,92,1,0,1,0,13,78,62,16,3,0,3,1,2,0,0
E01003190,1878,1400,1238,1198,15,15,8,0,2,0,0,0,0,16,146,100,67,21,0,19,6,6,15,33,4,7,5,17,46,25,21,245,17,145,17,79,49,79,8,4,8,9,50,4,81,18,3,15,5,1,2,2,37,0,9,0,24,4,20,5,15,1,120,5,1,4,0,27,88,70,18,32,0,32,2,30,0,0
E01003191,1494,1222,1114,1100,0,11,3,0,0,0,0,0,0,22,86,59,22,5,2,3,3,1,8,37,11,20,0,6,27,12,15,144,6,100,18,56,26,37,5,4,2,2,24,1,38,7,2,5,8,4,4,0,13,0,1,0,10,2,10,0,10,0,87,5,5,0,0,13,69,60,9,3,0,3,1,2,0,0
E01003192,1639,1253,1114,1088,9,13,1,0,3,0,0,0,0,23,116,82,41,11,6,9,4,5,6,41,6,17,1,17,34,19,15,187,9,120,24,59,37,58,9,5,7,19,18,0,75,6,2,4,16,13,1,2,44,2,3,4,31,4,8,6,2,1,117,4,3,1,1,17,95,85,10,7,0,7,3,4,0,0
E01003193,1568,1270,1132,1100,6,18,8,0,0,0,0,0,0,27,111,89,34,10,6,7,2,6,3,55,1,28,0,26,22,14,8,114,5,94,17,58,19,15,1,0,3,5,6,0,55,4,2,2,9,5,3,1,25,1,15,2,7,0,17,7,10,0,128,5,5,0,0,17,106,79,27,1,0,1,1,0,0,0
E01003194,1678,1319,1111,1097,4,6,4,0,0,0,0,0,0,18,190,111,39,14,5,7,2,3,8,72,5,32,14,21,79,10,69,151,2,112,20,73,19,30,5,6,6,2,11,7,83,7,2,5,11,8,2,1,52,7,10,0,30,5,13,0,13,0,125,1,1,0,0,11,113,83,30,0,0,0,0,0,0,0
E01003195,1547,1217,1087,1063,4,13,7,0,0,0,0,0,0,11,119,98,33,4,4,10,6,1,8,65,9,22,6,28,21,9,12,140,2,87,13,49,25,50,6,14,4,11,15,1,58,4,1,3,3,2,1,0,45,1,7,3,34,0,6,0,6,0,123,3,2,1,0,12,108,69,39,9,0,9,2,7,0,0
E01003196,1673,1334,1210,1195,3,9,3,0,0,0,0,0,0,17,107,78,29,10,6,7,1,1,4,49,7,15,3,24,29,12,17,130,8,102,21,59,22,19,1,8,0,3,7,1,81,7,1,6,6,4,0,2,47,4,5,3,29,6,20,2,18,1,124,4,2,2,1,14,105,82,23,4,0,4,2,2,0,0
E01003197,1628,1267,1187,1171,4,10,2,0,0,0,2,0,0,24,54,46,23,7,5,2,4,4,1,23,3,8,1,11,8,2,6,145,1,113,12,70,31,31,1,10,0,3,17,0,108,4,0,4,6,5,1,0,78,4,13,7,44,10,20,4,16,0,103,5,0,5,0,9,89,71,18,5,0,5,2,3,0,0
E01003198,1461,1261,1129,1064,9,36,20,0,0,1,1,0,0,26,104,78,58,12,15,6,4,1,20,20,0,4,3,13,26,9,17,66,0,36,7,21,8,30,2,0,9,2,17,0,46,7,3,4,10,2,5,3,15,1,9,2,3,0,14,1,13,0,71,21,15,6,3,15,32,20,12,17,0,17,12,5,0,0
E01003199,1728,1453,1236,1164,6,47,19,0,0,0,1,0,1,42,173,119,79,17,20,4,3,10,25,40,10,19,0,11,54,18,36,69,4,28,5,13,10,37,3,0,22,1,11,0,108,12,7,5,29,11,15,3,53,0,45,1,5,2,14,1,13,0,67,28,23,5,2,21,16,14,2,31,0,31,24,7,0,0
E01003200,1553,1338,1204,1133,9,34,26,0,2,0,0,0,0,21,113,89,63,12,15,7,2,7,20,26,1,9,0,16,24,7,17,46,7,4,3,1,0,34,1,0,24,2,7,1,75,9,6,3,28,6,10,12,27,0,9,2,4,12,11,0,11,0,66,42,30,12,2,13,9,7,2,28,0,28,15,13,0,0
E01003201,1664,1366,1178,1133,8,19,16,2,0,0,1,0,0,24,163,120,65,19,17,7,5,8,9,55,7,15,2,31,43,15,28,103,4,52,16,23,13,47,2,10,8,5,22,0,83,4,1,3,32,24,1,7,30,1,20,2,7,0,17,0,17,0,98,25,15,10,0,19,54,37,17,14,0,14,9,5,0,0
E01003202,1559,1340,1163,1092,8,35,28,0,0,0,2,0,1,32,142,117,85,19,8,17,4,22,15,32,5,9,4,14,25,7,18,55,3,15,1,6,8,37,5,0,18,0,14,0,74,4,0,4,18,2,3,13,30,4,16,3,7,0,22,3,19,0,63,35,19,16,0,17,11,8,3,27,0,27,17,10,0,0
E01003203,1769,1365,1112,1062,11,25,14,0,0,0,0,0,0,41,212,174,86,15,25,10,8,8,20,88,5,41,9,33,38,5,33,175,7,113,13,74,26,55,0,3,19,9,24,0,113,7,0,7,31,24,3,4,54,6,23,0,15,10,20,4,16,1,101,28,18,10,1,21,51,37,14,15,0,15,10,5,0,0
E01003204,1391,1158,1018,961,15,27,15,0,0,0,0,0,1,18,121,86,49,11,12,2,6,1,17,37,0,15,2,20,35,15,20,92,1,63,10,33,20,28,5,5,7,1,10,0,65,5,2,3,14,4,5,5,36,2,5,2,14,13,9,2,7,1,59,19,14,5,2,10,28,23,5,17,0,17,10,7,0,0
E01003205,1332,866,774,757,4,10,3,0,0,0,0,0,0,17,75,58,36,12,4,6,4,3,7,22,2,8,4,8,17,9,8,251,12,169,23,109,37,70,3,11,0,5,51,0,118,7,0,7,25,16,9,0,54,6,10,6,19,13,31,1,30,1,92,5,5,0,0,18,69,56,13,5,0,5,5,0,0,0
E01003206,1582,1311,1111,1048,20,24,19,0,0,0,1,0,0,15,184,146,102,36,18,5,11,10,22,44,2,16,0,26,38,4,34,46,4,17,4,10,3,25,2,0,12,0,11,0,109,5,1,4,27,10,6,11,58,4,19,4,31,0,19,2,17,0,70,20,14,6,0,18,32,21,11,46,0,44,37,7,2,0
