WD22CD_proposed,Total,Europe: Total,Europe: United Kingdom: Total,Europe: United Kingdom: England,Europe: United Kingdom: Northern Ireland,Europe: United Kingdom: Scotland,Europe: United Kingdom: Wales,Europe: Great Britain not otherwise specified,Europe: United Kingdom not otherwise specified,Europe: Guernsey,Europe: Jersey,Europe: Channel Islands not otherwise specified,Europe: Isle of Man,Europe: Ireland,Europe: Other Europe: Total,Europe: Other Europe: EU Countries: Total,Europe: Other Europe: EU countries: Member countries in March 2001: Total,Europe: Other Europe: EU countries: Member countries in March 2001: France,Europe: Other Europe: EU countries: Member countries in March 2001: Germany,Europe: Other Europe: EU countries: Member countries in March 2001: Italy,Europe: Other Europe: EU countries: Member countries in March 2001: Portugal,Europe: Other Europe: EU countries: Member countries in March 2001: Spain (including Canary Islands),Europe: Other Europe: EU countries: Member countries in March 2001: Other member countries in March 2001,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Total,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Lithuania,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Poland,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Romania,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Other EU accession countries,Europe: Other Europe: Rest of Europe: Total,Europe: Other Europe: Rest of Europe: Turkey,Europe: Other Europe: Rest of Europe: Other Europe,Africa: Total,Africa: North Africa,Africa: Central and Western Africa: Total,Africa: Central and Western Africa: Ghana,Africa: Central and Western Africa: Nigeria,Africa: Central and Western Africa: Other Central and Western Africa,Africa: South and Eastern Africa: Total,Africa: South and Eastern Africa: Kenya,Africa: South and Eastern Africa: Somalia,Africa: South and Eastern Africa: South Africa,Africa: South and Eastern Africa: Zimbabwe,Africa: South and Eastern Africa: Other South and Eastern Africa,Africa: Africa not otherwise specified,Middle East and Asia: Total,Middle East and Asia: Middle East: Total,Middle East and Asia: Middle East: Iran,Middle East and Asia: Middle East: Other Middle East,Middle East and Asia: Eastern Asia: Total,Middle East and Asia: Eastern Asia: China,Middle East and Asia: Eastern Asia: Hong Kong (Special Administrative Region of China),Middle East and Asia: Eastern Asia: Other Eastern Asia,Middle East and Asia: Southern Asia: Total,Middle East and Asia: Southern Asia: Bangladesh,Middle East and Asia: Southern Asia: India,Middle East and Asia: Southern Asia: Pakistan,Middle East and Asia: Southern Asia: Sri Lanka,Middle East and Asia: Southern Asia: Other Southern Asia,Middle East and Asia: South-East Asia: Total,Middle East and Asia: South-East Asia: Philippines,Middle East and Asia: South-East Asia: Other South-East Asia,Middle East and Asia: Central Asia,The Americas and the Caribbean: Total,The Americas and the Caribbean: North America: Total,The Americas and the Caribbean: North America: United States,The Americas and the Caribbean: North America: Other North America,The Americas and the Caribbean: Central America,The Americas and the Caribbean: South America,The Americas and the Caribbean: The Caribbean: Total,The Americas and the Caribbean: The Caribbean: Jamaica,The Americas and the Caribbean: The Caribbean: Other Caribbean,Antarctica and Oceania: Total,Antarctica and Oceania: Antarctica,Antarctica and Oceania: Australasia: Total,Antarctica and Oceania: Australasia: Australia,Antarctica and Oceania: Australasia: Other Australasia,Antarctica and Oceania: Other Oceania,Other
E05013714,10627,8340,7539,7408,34,69,23,0,5,0,2,0,0,128,671,478,233,64,20,46,23,18,62,245,48,85,17,95,193,88,105,1054,54,727,112,412,203,261,29,45,22,41,124,12,492,57,14,43,52,37,9,6,292,13,42,16,185,36,88,18,70,3,687,24,11,13,2,97,564,459,105,54,0,54,11,43,0,0
E05013715,15544,12553,10842,10299,94,278,167,2,2,1,7,0,3,256,1444,1110,687,170,142,79,51,76,169,423,32,162,30,199,334,102,232,1071,49,631,108,359,164,390,25,31,128,26,180,1,942,62,20,42,262,140,62,60,431,37,185,30,121,58,180,23,157,7,770,228,158,70,10,169,363,261,102,208,0,206,144,62,2,0
E05013716,16587,12689,10565,10053,121,234,156,1,0,5,3,0,4,300,1812,1554,999,222,196,165,94,102,220,555,44,250,25,236,258,64,194,1363,70,863,151,473,239,426,30,60,114,43,179,4,1100,59,11,48,348,150,62,136,464,46,268,45,40,65,224,22,202,5,1194,195,140,55,14,260,725,552,173,241,0,239,132,107,2,0
E05013717,16097,12448,10922,10693,48,111,67,1,2,5,3,1,3,222,1292,1018,431,71,82,120,46,30,82,587,97,168,35,287,274,72,202,1160,45,777,126,489,162,334,31,30,50,55,168,4,1114,67,16,51,116,63,27,26,812,49,113,74,497,79,119,18,101,0,1329,58,40,18,2,189,1080,818,262,46,0,45,36,9,1,0
E05013718,14937,12080,10444,10037,73,210,119,2,3,3,2,0,0,273,1358,1166,561,109,118,138,37,42,117,605,32,292,52,229,192,53,139,938,42,586,139,299,148,307,40,22,89,38,118,3,713,57,20,37,148,49,38,61,355,25,135,68,100,27,149,26,123,4,1032,133,104,29,4,179,716,538,178,174,0,171,90,81,3,0
E05013719,14507,9529,7903,7610,70,131,81,3,8,1,1,0,0,160,1464,1193,676,169,102,119,83,59,144,517,79,186,46,206,271,47,224,2220,70,1650,216,996,438,486,53,156,50,37,190,14,1680,114,28,86,495,349,81,65,454,83,93,52,125,101,602,34,568,15,1010,99,73,26,13,267,631,488,143,68,0,66,37,29,2,0
E05013720,16845,13972,12774,12563,40,117,50,2,2,0,5,1,1,206,985,758,266,66,57,43,28,28,44,492,79,158,44,211,227,94,133,1250,74,833,146,515,172,340,28,28,57,73,154,3,788,60,20,40,60,40,7,13,553,59,100,23,341,30,112,43,69,3,802,48,42,6,0,129,625,489,136,33,0,31,25,6,2,0
E05013721,10917,7274,5830,5588,48,130,61,1,2,0,3,0,0,142,1299,1032,545,132,68,123,68,52,102,487,67,213,36,171,267,50,217,1737,74,1152,211,567,374,504,32,136,105,65,166,7,1167,81,22,59,324,187,78,59,316,37,109,19,87,64,431,29,402,15,647,75,62,13,9,236,327,264,63,92,0,88,65,23,4,0
E05013722,14854,11944,10227,9814,63,211,135,3,1,0,2,0,2,246,1467,1238,584,111,113,133,48,38,141,654,53,247,39,315,229,54,175,1224,62,677,161,323,193,475,41,57,114,86,177,10,758,84,37,47,175,60,46,69,295,21,84,47,112,31,193,34,159,11,797,152,109,43,11,162,472,345,127,131,0,129,93,36,2,0
E05013723,14982,12366,10949,10645,50,165,87,0,2,0,3,0,0,200,1214,976,355,87,68,51,42,32,75,621,144,186,43,248,238,89,149,1080,62,686,139,404,143,326,41,10,67,87,121,6,847,70,35,35,91,47,17,27,559,37,187,32,251,52,125,21,104,2,620,66,47,19,6,131,417,330,87,69,0,63,33,30,6,0
