regionCode,regionName,UtlaCode,UtlaName,LtlaCode,LtlaName,areaCode,areaName,areaType,date,cumVaccinationThirdInjectionUptakeByVaccinationDatePercentage
E12000007,London,E09000023,Lewisham,E09000023,Lewisham,E02000653,Silwood & Pepys,msoa,2021-12-19,23.7
E12000007,London,E09000023,Lewisham,E09000023,Lewisham,E02000654,Deptford North,msoa,2021-12-19,23.7
E12000007,London,E09000023,Lewisham,E09000023,Lewisham,E02000655,New Cross Gate,msoa,2021-12-19,23.8
E12000007,London,E09000023,Lewisham,E09000023,Lewisham,E02000657,New Cross South,msoa,2021-12-19,26.1
E12000007,London,E09000023,Lewisham,E09000023,Lewisham,E02000658,Telegraph Hill,msoa,2021-12-19,31.1
E12000007,London,E09000023,Lewisham,E09000023,Lewisham,E02000659,Blackheath West,msoa,2021-12-19,34.0
E12000007,London,E09000023,Lewisham,E09000023,Lewisham,E02000660,Brockley East & St Johns,msoa,2021-12-19,31.4
E12000007,London,E09000023,Lewisham,E09000023,Lewisham,E02000661,Blackheath Village,msoa,2021-12-19,41.0
E12000007,London,E09000023,Lewisham,E09000023,Lewisham,E02000662,Brockley West,msoa,2021-12-19,27.9
E12000007,London,E09000023,Lewisham,E09000023,Lewisham,E02000663,Loampit & Hilly Fields,msoa,2021-12-19,34.9
E12000007,London,E09000023,Lewisham,E09000023,Lewisham,E02000664,Lewisham Central & Park,msoa,2021-12-19,24.9
E12000007,London,E09000023,Lewisham,E09000023,Lewisham,E02000665,Manor House,msoa,2021-12-19,37.1
E12000007,London,E09000023,Lewisham,E09000023,Lewisham,E02000666,Ladywell,msoa,2021-12-19,35.7
E12000007,London,E09000023,Lewisham,E09000023,Lewisham,E02000667,Crofton Park,msoa,2021-12-19,41.0
E12000007,London,E09000023,Lewisham,E09000023,Lewisham,E02000668,Lee,msoa,2021-12-19,42.0
E12000007,London,E09000023,Lewisham,E09000023,Lewisham,E02000669,Hither Green,msoa,2021-12-19,34.1
E12000007,London,E09000023,Lewisham,E09000023,Lewisham,E02000670,Catford East & Mountsfield Park,msoa,2021-12-19,27.8
E12000007,London,E09000023,Lewisham,E09000023,Lewisham,E02000671,Honor Oak,msoa,2021-12-19,40.3
E12000007,London,E09000023,Lewisham,E09000023,Lewisham,E02000672,Catford Bridge,msoa,2021-12-19,30.3
E12000007,London,E09000023,Lewisham,E09000023,Lewisham,E02000673,Forest Hill West,msoa,2021-12-19,40.6
E12000007,London,E09000023,Lewisham,E09000023,Lewisham,E02000674,Corbett Estate,msoa,2021-12-19,36.6
E12000007,London,E09000023,Lewisham,E09000023,Lewisham,E02000675,Grove Park & Lee South,msoa,2021-12-19,39.1
E12000007,London,E09000023,Lewisham,E09000023,Lewisham,E02000676,Forest Hill East,msoa,2021-12-19,41.2
E12000007,London,E09000023,Lewisham,E09000023,Lewisham,E02000677,Culverley Green,msoa,2021-12-19,34.2
E12000007,London,E09000023,Lewisham,E09000023,Lewisham,E02000678,Further Green,msoa,2021-12-19,30.3
E12000007,London,E09000023,Lewisham,E09000023,Lewisham,E02000679,Perry Vale,msoa,2021-12-19,36.2
E12000007,London,E09000023,Lewisham,E09000023,Lewisham,E02000680,Upper Sydenham,msoa,2021-12-19,35.4
E12000007,London,E09000023,Lewisham,E09000023,Lewisham,E02000681,Bellingham & Perry Hill,msoa,2021-12-19,30.7
E12000007,London,E09000023,Lewisham,E09000023,Lewisham,E02000682,Forster Park & Southend,msoa,2021-12-19,27.5
E12000007,London,E09000023,Lewisham,E09000023,Lewisham,E02000683,Chinbrook,msoa,2021-12-19,29.7
E12000007,London,E09000023,Lewisham,E09000023,Lewisham,E02000685,Sydenham Wells,msoa,2021-12-19,36.3
E12000007,London,E09000023,Lewisham,E09000023,Lewisham,E02000686,Beckenham Hill,msoa,2021-12-19,25.0
E12000007,London,E09000023,Lewisham,E09000023,Lewisham,E02000687,Lower Sydenham,msoa,2021-12-19,37.4
E12000007,London,E09000023,Lewisham,E09000023,Lewisham,E02006783,Downham East,msoa,2021-12-19,28.8
E12000007,London,E09000023,Lewisham,E09000023,Lewisham,E02006784,Downham West,msoa,2021-12-19,33.2
E12000007,London,E09000023,Lewisham,E09000023,Lewisham,E02006798,New Cross & Deptford South,msoa,2021-12-19,24.6
