MSOA11CD,MSOA11NM,LAD19CD,LAD19NM,date,vacc_uptake_2nd_pc,WD22CD_proposed
E02000653,Silwood & Pepys,E09000023,Lewisham,2021-12-19,58.0,E05013721
E02000654,Deptford North,E09000023,Lewisham,2021-12-19,54.5,E05013719
E02000655,New Cross Gate,E09000023,Lewisham,2021-12-19,55.6,E05013728
E02000657,New Cross South,E09000023,Lewisham,2021-12-19,56.7,E05013716
E02000658,Telegraph Hill,E09000023,Lewisham,2021-12-19,61.1,E05013732
E02000659,Blackheath West,E09000023,Lewisham,2021-12-19,61.3,E05013715
E02000660,Brockley East & St Johns,E09000023,Lewisham,2021-12-19,61.4,E05013716
E02000661,Blackheath Village,E09000023,Lewisham,2021-12-19,67.5,E05013715
E02000662,Brockley West,E09000023,Lewisham,2021-12-19,56.0,E05013732
E02000663,Loampit & Hilly Fields,E09000023,Lewisham,2021-12-19,63.6,E05013725
E02000664,Lewisham Central & Park,E09000023,Lewisham,2021-12-19,56.4,E05013727
E02000665,Manor House,E09000023,Lewisham,2021-12-19,64.0,E05013726
E02000666,Ladywell,E09000023,Lewisham,2021-12-19,65.0,E05013725
E02000667,Crofton Park,E09000023,Lewisham,2021-12-19,68.9,E05013718
E02000668,Lee,E09000023,Lewisham,2021-12-19,68.4,E05013726
E02000669,Hither Green,E09000023,Lewisham,2021-12-19,63.3,E05013724
E02000670,Catford East & Mountsfield Park,E09000023,Lewisham,2021-12-19,55.4,E05013730
E02000671,Honor Oak,E09000023,Lewisham,2021-12-19,68.3,E05013718
E02000672,Catford Bridge,E09000023,Lewisham,2021-12-19,60.0,E05013730
E02000673,Forest Hill West,E09000023,Lewisham,2021-12-19,69.2,E05013722
E02000674,Corbett Estate,E09000023,Lewisham,2021-12-19,61.3,E05013717
E02000675,Grove Park & Lee South,E09000023,Lewisham,2021-12-19,65.5,E05013723
E02000676,Forest Hill East,E09000023,Lewisham,2021-12-19,67.6,E05013729
E02000677,Culverley Green,E09000023,Lewisham,2021-12-19,60.1,E05013717
E02000678,Further Green,E09000023,Lewisham,2021-12-19,57.6,E05013724
E02000679,Perry Vale,E09000023,Lewisham,2021-12-19,65.0,E05013729
E02000680,Upper Sydenham,E09000023,Lewisham,2021-12-19,63.5,E05013722
E02000681,Bellingham & Perry Hill,E09000023,Lewisham,2021-12-19,58.0,E05013729
E02000682,Forster Park & Southend,E09000023,Lewisham,2021-12-19,55.4,E05013717
E02000683,Chinbrook,E09000023,Lewisham,2021-12-19,58.5,E05013723
E02000685,Sydenham Wells,E09000023,Lewisham,2021-12-19,62.9,E05013731
E02000686,Beckenham Hill,E09000023,Lewisham,2021-12-19,53.6,E05013714
E02000687,Lower Sydenham,E09000023,Lewisham,2021-12-19,64.9,E05013731
E02006783,Downham East,E09000023,Lewisham,2021-12-19,55.8,E05013720
E02006784,Downham West,E09000023,Lewisham,2021-12-19,60.4,E05013720
E02006798,New Cross & Deptford South,E09000023,Lewisham,2021-12-19,55.5,E05013719
