MSOA11CD,MSOA11NM,LAD19CD,LAD19NM,date,vacc_uptake_3rd_pc,WD22CD_proposed
E02000653,Silwood & Pepys,E09000023,Lewisham,2021-12-19,23.7,E05013721
E02000654,Deptford North,E09000023,Lewisham,2021-12-19,23.7,E05013719
E02000655,New Cross Gate,E09000023,Lewisham,2021-12-19,23.8,E05013728
E02000657,New Cross South,E09000023,Lewisham,2021-12-19,26.1,E05013716
E02000658,Telegraph Hill,E09000023,Lewisham,2021-12-19,31.1,E05013732
E02000659,Blackheath West,E09000023,Lewisham,2021-12-19,34.0,E05013715
E02000660,Brockley East & St Johns,E09000023,Lewisham,2021-12-19,31.4,E05013716
E02000661,Blackheath Village,E09000023,Lewisham,2021-12-19,41.0,E05013715
E02000662,Brockley West,E09000023,Lewisham,2021-12-19,27.9,E05013732
E02000663,Loampit & Hilly Fields,E09000023,Lewisham,2021-12-19,34.9,E05013725
E02000664,Lewisham Central & Park,E09000023,Lewisham,2021-12-19,24.9,E05013727
E02000665,Manor House,E09000023,Lewisham,2021-12-19,37.1,E05013726
E02000666,Ladywell,E09000023,Lewisham,2021-12-19,35.7,E05013725
E02000667,Crofton Park,E09000023,Lewisham,2021-12-19,41.0,E05013718
E02000668,Lee,E09000023,Lewisham,2021-12-19,42.0,E05013726
E02000669,Hither Green,E09000023,Lewisham,2021-12-19,34.1,E05013724
E02000670,Catford East & Mountsfield Park,E09000023,Lewisham,2021-12-19,27.8,E05013730
E02000671,Honor Oak,E09000023,Lewisham,2021-12-19,40.3,E05013718
E02000672,Catford Bridge,E09000023,Lewisham,2021-12-19,30.3,E05013730
E02000673,Forest Hill West,E09000023,Lewisham,2021-12-19,40.6,E05013722
E02000674,Corbett Estate,E09000023,Lewisham,2021-12-19,36.6,E05013717
E02000675,Grove Park & Lee South,E09000023,Lewisham,2021-12-19,39.1,E05013723
E02000676,Forest Hill East,E09000023,Lewisham,2021-12-19,41.2,E05013729
E02000677,Culverley Green,E09000023,Lewisham,2021-12-19,34.2,E05013717
E02000678,Further Green,E09000023,Lewisham,2021-12-19,30.3,E05013724
E02000679,Perry Vale,E09000023,Lewisham,2021-12-19,36.2,E05013729
E02000680,Upper Sydenham,E09000023,Lewisham,2021-12-19,35.4,E05013722
E02000681,Bellingham & Perry Hill,E09000023,Lewisham,2021-12-19,30.7,E05013729
E02000682,Forster Park & Southend,E09000023,Lewisham,2021-12-19,27.5,E05013717
E02000683,Chinbrook,E09000023,Lewisham,2021-12-19,29.7,E05013723
E02000685,Sydenham Wells,E09000023,Lewisham,2021-12-19,36.3,E05013731
E02000686,Beckenham Hill,E09000023,Lewisham,2021-12-19,25.0,E05013714
E02000687,Lower Sydenham,E09000023,Lewisham,2021-12-19,37.4,E05013731
E02006783,Downham East,E09000023,Lewisham,2021-12-19,28.8,E05013720
E02006784,Downham West,E09000023,Lewisham,2021-12-19,33.2,E05013720
E02006798,New Cross & Deptford South,E09000023,Lewisham,2021-12-19,24.6,E05013719
