LSOA11CD,LSOA11NM,LAD19CD,LAD19NM,IMD_rank,IMD_decile,WD22CD_proposed
E01003189,Lewisham 034A,E09000023,Lewisham,3400,2,E05013714
E01003190,Lewisham 034B,E09000023,Lewisham,5993,2,E05013714
E01003191,Lewisham 034C,E09000023,Lewisham,5923,2,E05013714
E01003192,Lewisham 034D,E09000023,Lewisham,2371,1,E05013714
E01003193,Lewisham 029A,E09000023,Lewisham,7450,3,E05013729
E01003194,Lewisham 029B,E09000023,Lewisham,6054,2,E05013730
E01003195,Lewisham 029C,E09000023,Lewisham,13849,5,E05013729
E01003196,Lewisham 029D,E09000023,Lewisham,3631,2,E05013714
E01003197,Lewisham 029E,E09000023,Lewisham,3348,2,E05013714
E01003198,Lewisham 009A,E09000023,Lewisham,15575,5,E05013715
E01003199,Lewisham 007A,E09000023,Lewisham,20519,7,E05013715
E01003200,Lewisham 009B,E09000023,Lewisham,22667,7,E05013715
E01003201,Lewisham 007B,E09000023,Lewisham,8912,3,E05013715
E01003202,Lewisham 009C,E09000023,Lewisham,25548,8,E05013715
E01003203,Lewisham 009D,E09000023,Lewisham,10983,4,E05013715
E01003204,Lewisham 007C,E09000023,Lewisham,13701,5,E05013715
E01003205,Lewisham 007D,E09000023,Lewisham,5441,2,E05013715
E01003206,Lewisham 007E,E09000023,Lewisham,19655,6,E05013715
E01003207,Lewisham 005A,E09000023,Lewisham,5288,2,E05013716
E01003209,Lewisham 005B,E09000023,Lewisham,10315,4,E05013716
E01003210,Lewisham 005C,E09000023,Lewisham,12574,4,E05013716
E01003211,Lewisham 008B,E09000023,Lewisham,11780,4,E05013716
E01003212,Lewisham 005D,E09000023,Lewisham,12114,4,E05013716
E01003213,Lewisham 008C,E09000023,Lewisham,13684,5,E05013716
E01003214,Lewisham 008D,E09000023,Lewisham,10004,4,E05013716
E01003215,Lewisham 005E,E09000023,Lewisham,10868,4,E05013716
E01003216,Lewisham 025A,E09000023,Lewisham,12238,4,E05013717
E01003217,Lewisham 022A,E09000023,Lewisham,13562,5,E05013717
E01003218,Lewisham 022B,E09000023,Lewisham,18170,6,E05013724
E01003219,Lewisham 025B,E09000023,Lewisham,15835,5,E05013717
E01003220,Lewisham 022C,E09000023,Lewisham,10734,4,E05013724
E01003221,Lewisham 025C,E09000023,Lewisham,7242,3,E05013717
E01003222,Lewisham 022D,E09000023,Lewisham,12694,4,E05013724
E01003223,Lewisham 025D,E09000023,Lewisham,17192,6,E05013717
E01003224,Lewisham 022E,E09000023,Lewisham,12703,4,E05013717
E01003225,Lewisham 015A,E09000023,Lewisham,25222,8,E05013718
E01003226,Lewisham 019A,E09000023,Lewisham,17209,6,E05013718
E01003227,Lewisham 019B,E09000023,Lewisham,19214,6,E05013718
E01003228,Lewisham 019C,E09000023,Lewisham,16022,5,E05013718
E01003229,Lewisham 019D,E09000023,Lewisham,6878,3,E05013718
E01003230,Lewisham 019E,E09000023,Lewisham,12776,4,E05013718
E01003231,Lewisham 015B,E09000023,Lewisham,11609,4,E05013718
E01003232,Lewisham 015C,E09000023,Lewisham,21837,7,E05013718
E01003233,Lewisham 015D,E09000023,Lewisham,17613,6,E05013718
E01003235,Lewisham 038A,E09000023,Lewisham,8806,3,E05013720
E01003236,Lewisham 037A,E09000023,Lewisham,5272,2,E05013720
E01003237,Lewisham 037B,E09000023,Lewisham,7764,3,E05013720
E01003238,Lewisham 037C,E09000023,Lewisham,5339,2,E05013720
E01003239,Lewisham 037D,E09000023,Lewisham,6092,2,E05013720
E01003240,Lewisham 038B,E09000023,Lewisham,6899,3,E05013720
E01003241,Lewisham 038C,E09000023,Lewisham,6627,3,E05013720
E01003243,Lewisham 038D,E09000023,Lewisham,5046,2,E05013720
E01003244,Lewisham 001A,E09000023,Lewisham,8412,3,E05013721
E01003245,Lewisham 001B,E09000023,Lewisham,5786,2,E05013728
E01003246,Lewisham 002A,E09000023,Lewisham,3988,2,E05013719
E01003247,Lewisham 001C,E09000023,Lewisham,16096,5,E05013721
E01003248,Lewisham 002B,E09000023,Lewisham,7672,3,E05013721
E01003249,Lewisham 001D,E09000023,Lewisham,11039,4,E05013721
E01003250,Lewisham 001E,E09000023,Lewisham,7991,3,E05013721
E01003251,Lewisham 002C,E09000023,Lewisham,8929,3,E05013721
E01003252,Lewisham 002D,E09000023,Lewisham,4413,2,E05013719
E01003253,Lewisham 002E,E09000023,Lewisham,5562,2,E05013719
E01003254,Lewisham 021A,E09000023,Lewisham,21913,7,E05013722
E01003255,Lewisham 021B,E09000023,Lewisham,16542,6,E05013722
E01003256,Lewisham 028A,E09000023,Lewisham,7863,3,E05013722
E01003257,Lewisham 028B,E09000023,Lewisham,12841,4,E05013722
E01003258,Lewisham 028C,E09000023,Lewisham,7446,3,E05013722
E01003259,Lewisham 028D,E09000023,Lewisham,13495,5,E05013722
E01003260,Lewisham 021C,E09000023,Lewisham,19513,6,E05013722
E01003261,Lewisham 021D,E09000023,Lewisham,18301,6,E05013722
E01003262,Lewisham 021E,E09000023,Lewisham,15134,5,E05013722
E01003263,Lewisham 023A,E09000023,Lewisham,8997,3,E05013723
E01003264,Lewisham 031A,E09000023,Lewisham,9917,4,E05013723
E01003265,Lewisham 031B,E09000023,Lewisham,8272,3,E05013723
E01003266,Lewisham 031C,E09000023,Lewisham,4473,2,E05013723
E01003267,Lewisham 031D,E09000023,Lewisham,5847,2,E05013723
E01003268,Lewisham 023B,E09000023,Lewisham,12132,4,E05013723
E01003269,Lewisham 023C,E09000023,Lewisham,9214,3,E05013723
E01003270,Lewisham 023D,E09000023,Lewisham,22714,7,E05013723
E01003271,Lewisham 023E,E09000023,Lewisham,26075,8,E05013723
E01003272,Lewisham 014A,E09000023,Lewisham,15368,5,E05013716
E01003273,Lewisham 011A,E09000023,Lewisham,16925,6,E05013725
E01003274,Lewisham 014B,E09000023,Lewisham,16957,6,E05013725
E01003275,Lewisham 014C,E09000023,Lewisham,7727,3,E05013725
E01003276,Lewisham 014D,E09000023,Lewisham,13770,5,E05013725
E01003277,Lewisham 011B,E09000023,Lewisham,12566,4,E05013716
E01003278,Lewisham 011C,E09000023,Lewisham,10084,4,E05013725
E01003279,Lewisham 011D,E09000023,Lewisham,17690,6,E05013725
E01003280,Lewisham 016A,E09000023,Lewisham,9617,3,E05013726
E01003281,Lewisham 016B,E09000023,Lewisham,16775,6,E05013726
E01003282,Lewisham 013A,E09000023,Lewisham,11731,4,E05013726
E01003283,Lewisham 013B,E09000023,Lewisham,22979,7,E05013726
E01003284,Lewisham 013C,E09000023,Lewisham,14973,5,E05013726
E01003285,Lewisham 016C,E09000023,Lewisham,20277,7,E05013726
E01003286,Lewisham 013D,E09000023,Lewisham,7935,3,E05013726
E01003287,Lewisham 016D,E09000023,Lewisham,21549,7,E05013726
E01003288,Lewisham 012A,E09000023,Lewisham,7648,3,E05013715
E01003290,Lewisham 012C,E09000023,Lewisham,2875,1,E05013724
E01003291,Lewisham 012D,E09000023,Lewisham,3061,1,E05013725
E01003292,Lewisham 017A,E09000023,Lewisham,13870,5,E05013724
E01003293,Lewisham 017B,E09000023,Lewisham,9001,3,E05013730
E01003295,Lewisham 017D,E09000023,Lewisham,8362,3,E05013724
E01003296,Lewisham 012E,E09000023,Lewisham,8690,3,E05013727
E01003297,Lewisham 003A,E09000023,Lewisham,8320,3,E05013728
E01003298,Lewisham 039A,E09000023,Lewisham,7030,3,E05013719
E01003299,Lewisham 003B,E09000023,Lewisham,6679,3,E05013728
E01003300,Lewisham 039B,E09000023,Lewisham,6321,2,E05013719
E01003301,Lewisham 003C,E09000023,Lewisham,10338,4,E05013728
E01003302,Lewisham 003D,E09000023,Lewisham,7226,3,E05013728
