LSOA11CD,DLA (entitled)
E01003189,65.0
E01003190,52.0
E01003191,48.0
E01003192,49.0
E01003193,56.0
E01003194,49.0
E01003195,24.0
E01003196,58.0
E01003197,64.0
E01003198,23.0
E01003199,20.0
E01003200,6.0
E01003201,28.0
E01003202,5.0
E01003203,23.0
E01003204,31.0
E01003205,24.0
E01003206,23.0
E01003207,45.0
E01003209,33.0
E01003210,19.0
E01003211,13.0
E01003212,44.0
E01003213,24.0
E01003214,25.0
E01003215,24.0
E01003216,38.0
E01003217,30.0
E01003218,20.0
E01003219,42.0
E01003220,42.0
E01003221,57.0
E01003222,30.0
E01003223,28.0
E01003224,32.0
E01003225,30.0
E01003226,19.0
E01003227,31.0
E01003228,27.0
E01003229,39.0
E01003230,36.0
E01003231,30.0
E01003232,23.0
E01003233,28.0
E01003235,33.0
E01003236,53.0
E01003237,52.0
E01003238,40.0
E01003239,41.0
E01003240,59.0
E01003241,66.0
E01003243,30.0
E01003244,41.0
E01003245,41.0
E01003246,60.0
E01003247,5.0
E01003248,43.0
E01003249,34.0
E01003250,63.0
E01003251,36.0
E01003252,40.0
E01003253,36.0
E01003254,21.0
E01003255,32.0
E01003256,46.0
E01003257,16.0
E01003258,48.0
E01003259,32.0
E01003260,30.0
E01003261,12.0
E01003262,22.0
E01003263,61.0
E01003264,54.0
E01003265,38.0
E01003266,52.0
E01003267,47.0
E01003268,34.0
E01003269,45.0
E01003270,23.0
E01003271,25.0
E01003272,19.0
E01003273,26.0
E01003274,41.0
E01003275,47.0
E01003276,32.0
E01003277,15.0
E01003278,46.0
E01003279,21.0
E01003280,57.0
E01003281,27.0
E01003282,28.0
E01003283,19.0
E01003284,39.0
E01003285,18.0
E01003286,52.0
E01003287,30.0
E01003288,54.0
E01003290,41.0
E01003291,55.0
E01003292,35.0
E01003293,24.0
E01003295,54.0
E01003296,64.0
E01003297,0.0
E01003298,33.0
E01003299,30.0
E01003300,38.0
E01003301,28.0
E01003302,34.0
E01003303,37.0
E01003304,20.0
E01003305,50.0
E01003307,26.0
E01003308,34.0
E01003309,38.0
E01003310,32.0
E01003311,14.0
E01003312,16.0
E01003313,44.0
E01003314,17.0
E01003315,17.0
E01003316,15.0
E01003317,39.0
E01003318,61.0
E01003319,38.0
E01003320,29.0
E01003321,43.0
E01003322,40.0
E01003323,36.0
E01003324,41.0
E01003325,41.0
E01003326,41.0
E01003327,24.0
E01003328,55.0
E01003329,15.0
E01003330,54.0
E01003331,34.0
E01003332,39.0
E01003333,28.0
E01003334,30.0
E01003335,42.0
E01003336,65.0
E01003337,43.0
E01003338,53.0
E01003339,39.0
E01003340,18.0
E01003341,21.0
E01003342,12.0
E01003343,27.0
E01003344,30.0
E01003345,34.0
E01003346,34.0
E01003347,69.0
E01003348,58.0
E01003349,43.0
E01003350,32.0
E01003351,76.0
E01003352,61.0
E01003353,28.0
E01003354,27.0
E01032564,54.0
E01032565,35.0
E01032579,24.0
E01033320,17.0
E01033322,24.0
E01033324,47.0
E01033325,0.0
E01033327,30.0
E01033341,30.0
