"date","geography","geography code","Rural Urban","Qualification: All categories: Highest level of qualification; measures: Value","Qualification: No qualifications; measures: Value","Qualification: Level 1 qualifications; measures: Value","Qualification: Level 2 qualifications; measures: Value","Qualification: Apprenticeship; measures: Value","Qualification: Level 3 qualifications; measures: Value","Qualification: Level 4 qualifications and above; measures: Value","Qualification: Other qualifications; measures: Value"
"2011","E00016112","E00016112","Total",236,56,32,29,1,26,79,13
"2011","E00016113","E00016113","Total",297,102,47,36,6,32,50,24
"2011","E00016114","E00016114","Total",212,48,31,36,2,19,58,18
"2011","E00016115","E00016115","Total",233,73,38,37,4,23,43,15
"2011","E00016116","E00016116","Total",245,24,29,32,2,27,100,31
"2011","E00016117","E00016117","Total",214,53,45,38,5,13,42,18
"2011","E00016118","E00016118","Total",310,55,44,37,9,44,99,22
"2011","E00016119","E00016119","Total",254,46,31,51,4,26,74,22
"2011","E00016120","E00016120","Total",234,65,39,38,7,24,50,11
"2011","E00016121","E00016121","Total",206,33,19,28,2,24,74,26
"2011","E00016122","E00016122","Total",244,64,36,38,3,29,55,19
"2011","E00016123","E00016123","Total",242,41,38,33,10,30,75,15
"2011","E00016124","E00016124","Total",205,63,22,35,3,30,41,11
"2011","E00016125","E00016125","Total",240,68,37,27,8,39,47,14
"2011","E00016126","E00016126","Total",264,60,44,35,7,32,75,11
"2011","E00016127","E00016127","Total",313,48,34,48,12,43,96,32
"2011","E00016128","E00016128","Total",254,79,46,32,7,29,46,15
"2011","E00016129","E00016129","Total",230,50,39,36,3,19,54,29
"2011","E00016130","E00016130","Total",255,82,35,38,2,20,68,10
"2011","E00016131","E00016131","Total",243,64,27,33,3,30,74,12
"2011","E00016132","E00016132","Total",209,39,47,31,0,13,61,18
"2011","E00016133","E00016133","Total",256,67,47,39,6,30,51,16
"2011","E00016134","E00016134","Total",219,83,39,24,4,15,37,17
"2011","E00016135","E00016135","Total",255,76,37,35,2,27,54,24
"2011","E00016136","E00016136","Total",220,75,24,34,1,17,53,16
"2011","E00016137","E00016137","Total",274,76,48,38,2,29,52,29
"2011","E00016138","E00016138","Total",220,71,28,42,3,17,48,11
"2011","E00016139","E00016139","Total",247,78,26,42,6,29,44,22
"2011","E00016140","E00016140","Total",201,57,28,29,4,17,50,16
"2011","E00016141","E00016141","Total",212,73,34,27,1,14,34,29
"2011","E00016142","E00016142","Total",230,65,48,30,2,21,36,28
"2011","E00016143","E00016143","Total",211,55,31,41,7,21,40,16
