LSOA11CD,Total,No qualifications,Level 1 qualifications,Level 2 qualifications,Apprenticeship,Level 3 qualifications,Level 4 qualifications and above,Other qualifications
E01003189,1194,373,164,193,16,115,240,93
E01003190,1336,287,211,196,16,133,321,172
E01003191,1101,249,212,197,22,91,240,90
E01003192,1237,345,203,188,26,117,240,118
E01003193,1240,312,172,169,30,137,332,88
E01003194,1312,308,195,180,28,138,325,138
E01003195,1186,217,151,185,22,138,379,94
E01003196,1220,362,181,174,27,154,243,79
E01003197,1232,352,196,180,19,125,277,83
E01003198,1185,169,88,115,15,77,669,52
E01003199,1420,121,86,134,7,118,858,96
E01003200,1327,95,72,106,9,138,854,53
E01003201,1310,238,116,159,13,118,561,105
E01003202,1339,122,75,111,11,102,851,67
E01003203,1504,252,121,144,9,127,716,135
E01003204,1109,157,82,115,5,111,570,69
E01003205,988,228,114,189,11,113,240,93
E01003206,1276,128,78,102,12,108,773,75
E01003207,1119,244,114,145,11,133,352,120
E01003209,1672,203,161,204,12,283,664,145
E01003210,1497,172,98,135,10,187,770,125
E01003211,1325,138,91,133,12,154,705,92
E01003212,1711,195,152,177,18,229,793,147
E01003213,1643,146,139,162,11,182,881,122
E01003214,1418,209,139,144,6,174,591,155
E01003215,1687,131,124,147,13,410,701,161
E01003216,1482,226,196,215,25,184,521,115
E01003217,1263,244,170,185,23,109,429,103
E01003218,1155,177,147,188,30,119,411,83
E01003219,1317,218,204,199,23,144,441,88
E01003220,1255,228,171,155,11,136,449,105
E01003221,1529,287,167,225,18,159,537,136
E01003222,1269,242,186,181,22,149,403,86
E01003223,1371,245,179,196,26,150,452,123
E01003224,1307,205,183,196,24,146,447,106
E01003225,1223,168,112,162,15,126,571,69
E01003226,1432,151,123,151,21,196,677,113
E01003227,1358,184,118,173,16,134,648,85
E01003228,1238,180,72,109,22,120,682,53
E01003229,1249,288,149,149,13,120,429,101
E01003230,1523,257,173,222,17,143,598,113
E01003231,1286,202,133,127,8,135,593,88
E01003232,1350,199,135,165,24,157,574,96
E01003233,1360,205,128,142,21,111,646,107
E01003235,1014,259,172,150,29,105,241,58
E01003236,1149,341,180,182,22,102,229,93
E01003237,1095,369,155,159,18,100,210,84
E01003238,1019,290,155,166,21,99,191,97
E01003239,1048,308,150,186,19,110,191,84
E01003240,1347,417,203,208,17,145,258,99
E01003241,1253,357,153,180,33,115,315,100
E01003243,1055,321,170,139,32,92,213,88
E01003244,1099,182,140,141,12,128,359,137
E01003245,1065,242,158,148,20,100,304,93
E01003246,1136,239,133,160,13,111,358,122
E01003247,1499,184,104,150,16,164,666,215
E01003248,1225,218,130,156,19,127,414,161
E01003249,1600,252,174,196,11,178,635,154
E01003250,1427,249,138,171,11,117,606,135
E01003251,1450,328,239,217,15,154,324,173
E01003252,1083,291,165,157,11,111,229,119
E01003253,1167,247,145,123,12,126,382,132
E01003254,1177,146,77,117,20,97,641,79
E01003255,1603,153,132,139,14,146,904,115
E01003256,1673,266,169,175,17,198,708,140
E01003257,1325,259,121,165,15,116,564,85
E01003258,1068,214,151,170,9,109,318,97
E01003259,1321,182,132,152,18,112,633,92
E01003260,1318,154,153,142,17,151,607,94
E01003261,1170,142,110,143,19,150,535,71
E01003262,1062,117,97,104,15,98,528,103
E01003263,1284,308,167,175,26,122,377,109
E01003264,1298,285,176,205,28,133,366,105
E01003265,1164,263,165,157,12,144,312,111
E01003266,1346,417,212,178,24,153,278,84
E01003267,1183,376,172,196,27,108,225,79
E01003268,1371,248,161,190,33,140,471,128
E01003269,1242,268,180,147,22,147,400,78
E01003270,1336,183,177,191,32,146,493,114
E01003271,1373,266,188,177,36,170,465,71
E01003272,1647,176,126,167,18,265,745,150
E01003273,1699,192,222,158,41,168,743,175
E01003274,1377,142,123,151,19,127,687,128
E01003275,1341,293,175,185,18,142,398,130
E01003276,1442,219,159,189,16,158,601,100
E01003277,1417,143,102,155,22,164,732,99
E01003278,1601,181,113,180,23,199,721,184
E01003279,1331,169,125,148,15,150,648,76
E01003280,1242,260,157,189,29,135,380,92
E01003281,1211,170,139,187,24,137,486,68
E01003282,2046,247,169,196,31,165,1020,218
E01003283,1657,190,103,136,13,146,971,98
