OA11CD,Total,No qualifications,Level 1 qualifications,Level 2 qualifications,Apprenticeship,Level 3 qualifications,Level 4 qualifications and above,Other qualifications
E00016112,236,56,32,29,1,26,79,13
E00016113,297,102,47,36,6,32,50,24
E00016114,212,48,31,36,2,19,58,18
E00016115,233,73,38,37,4,23,43,15
E00016116,245,24,29,32,2,27,100,31
E00016117,214,53,45,38,5,13,42,18
E00016118,310,55,44,37,9,44,99,22
E00016119,254,46,31,51,4,26,74,22
E00016120,234,65,39,38,7,24,50,11
E00016121,206,33,19,28,2,24,74,26
E00016122,244,64,36,38,3,29,55,19
E00016123,242,41,38,33,10,30,75,15
E00016124,205,63,22,35,3,30,41,11
E00016125,240,68,37,27,8,39,47,14
E00016126,264,60,44,35,7,32,75,11
E00016127,313,48,34,48,12,43,96,32
E00016128,254,79,46,32,7,29,46,15
E00016129,230,50,39,36,3,19,54,29
E00016130,255,82,35,38,2,20,68,10
E00016131,243,64,27,33,3,30,74,12
E00016132,209,39,47,31,0,13,61,18
E00016133,256,67,47,39,6,30,51,16
E00016134,219,83,39,24,4,15,37,17
E00016135,255,76,37,35,2,27,54,24
E00016136,220,75,24,34,1,17,53,16
E00016137,274,76,48,38,2,29,52,29
E00016138,220,71,28,42,3,17,48,11
E00016139,247,78,26,42,6,29,44,22
E00016140,201,57,28,29,4,17,50,16
E00016141,212,73,34,27,1,14,34,29
E00016142,230,65,48,30,2,21,36,28
E00016143,211,55,31,41,7,21,40,16
E00016144,181,59,32,33,2,19,23,13
E00016145,226,45,33,32,1,19,54,42
E00016146,199,61,31,32,5,16,38,16
E00016147,252,63,49,49,5,22,48,16
E00016148,223,55,30,38,3,25,49,23
E00016149,204,49,34,28,2,19,49,23
E00016150,224,44,30,33,6,28,54,29
E00016151,206,62,42,35,4,20,30,13
E00016152,193,45,32,28,11,23,40,14
E00016153,215,39,40,38,5,22,49,22
E00016154,227,69,30,22,4,21,56,25
E00016155,294,53,39,51,5,23,78,45
E00016156,230,68,39,32,3,24,46,18
E00016157,251,63,43,38,7,26,46,28
E00016158,248,41,31,44,5,32,77,18
E00016159,229,25,15,25,1,17,125,21
E00016160,240,22,16,24,1,21,137,19
E00016161,297,40,13,22,4,28,172,18
E00016162,226,31,13,21,2,17,138,4
E00016163,246,22,24,15,4,34,125,22
E00016164,268,53,22,42,5,18,101,27
E00016165,227,33,11,10,1,16,139,17
E00016166,164,6,5,13,1,19,109,11
E00016167,233,9,10,27,2,41,139,5
E00016168,157,3,9,11,0,11,118,5
E00016169,237,20,6,18,1,22,158,12
E00016170,250,68,23,24,3,20,83,29
E00016171,270,11,12,18,0,24,194,11
E00016172,202,28,15,20,3,16,110,10
E00016173,244,22,18,28,2,27,135,12
E00016174,212,11,8,15,1,18,150,9
E00016175,264,51,23,35,1,22,117,15
E00016176,240,11,7,10,1,16,183,12
E00016177,207,22,13,28,3,9,123,9
E00016178,201,56,20,27,3,15,70,10
E00016179,229,33,18,29,4,16,111,18
E00016180,214,23,20,20,0,16,125,10
E00016181,264,50,37,26,3,36,93,19
E00016182,264,16,11,32,1,22,167,15
E00016183,225,13,15,13,2,20,154,8
E00016184,212,12,8,26,1,23,124,18
E00016185,195,15,11,16,1,10,136,6
E00016186,258,25,15,25,1,20,155,17
E00016187,298,37,22,26,6,17,178,12
E00016188,237,26,23,20,1,15,136,16
E00016189,243,20,8,13,2,13,185,2
E00016190,214,80,15,15,0,11,69,24
E00016191,218,13,13,15,4,13,153,7
E00016192,262,55,20,30,0,28,99,30
E00016193,220,11,12,26,1,15,130,25
E00016194,220,27,29,14,3,24,101,22
E00016195,217,34,11,17,2,7,136,10
E00016196,291,39,32,37,1,21,145,16
E00016197,244,25,9,26,1,31,135,17
E00016198,218,35,12,23,0,22,104,22
E00016199,233,41,21,32,2,36,81,20
E00016200,154,38,18,28,3,20,35,12
E00016201,122,39,17,26,1,7,15,17
E00016202,203,51,30,34,1,28,44,15
E00016203,230,62,26,51,3,16,42,30
