name,points,connection_type,kW,cost,address,postcode,operator,website,email,updated,lon,lat
MFG Stanstead Road,4,CCS (Type 2),150,£0.39/kWh,"163-165 Stanstead Road, Perry Vale, London, England",SE23 1HP,MFG EV Power,https://www.motorfuelgroup.com/mfg-ev-power/,NA,2021-09-01T20:16:00Z,-0.044296642130120745,51.44238230901041
MFG Stanstead Road,4,CHAdeMO,100,£0.39/kWh,"163-165 Stanstead Road, Perry Vale, London, England",SE23 1HP,MFG EV Power,https://www.motorfuelgroup.com/mfg-ev-power/,NA,2021-09-01T20:16:00Z,-0.044296642130120745,51.44238230901041
Tesco Superstore-Lewisham,2,Type 2 (Socket Only),22,"Free,£0.27/kWh","290-290a Lewisham Road, London",SE13 7PA,POD Point (UK),http://www.pod-point.com/,enquiries@pod-point.com,2021-03-26T18:40:00Z,-0.012300000000000002,51.465958
Tesco Superstore-Lewisham,2,Type 2 (Socket Only),7,"Free,£0.27/kWh","290-290a Lewisham Road, London",SE13 7PA,POD Point (UK),http://www.pod-point.com/,enquiries@pod-point.com,2021-03-26T18:40:00Z,-0.012300000000000002,51.465958
Lidl-Lewisham,2,Type 2 (Socket Only),22,£0.25/kWh,"104 - 120 Lee High Road, Lewisham, London",SE13 5PR,POD Point (UK),http://www.pod-point.com/,enquiries@pod-point.com,2021-03-25T15:51:00Z,-0.005262000000000001,51.459996
Lidl-Lewisham,2,CCS (Type 2),50,£0.25/kWh,"104 - 120 Lee High Road, Lewisham, London",SE13 5PR,POD Point (UK),http://www.pod-point.com/,enquiries@pod-point.com,2021-03-25T15:51:00Z,-0.005262000000000001,51.459996
Lidl-Lewisham,2,CHAdeMO,50,£0.25/kWh,"104 - 120 Lee High Road, Lewisham, London",SE13 5PR,POD Point (UK),http://www.pod-point.com/,enquiries@pod-point.com,2021-03-25T15:51:00Z,-0.005262000000000001,51.459996
Lidl - Bellingham,1,Type 2 (Socket Only),22,£0.25/kWh,"233-249 Southend Ln, London, England",SE6 3RS,POD Point (UK),http://www.pod-point.com/,enquiries@pod-point.com,2021-03-20T06:28:00Z,-0.026315753015978792,51.4263737039388
Lidl - Bellingham,1,CCS (Type 2),50,£0.25/kWh,"233-249 Southend Ln, London, England",SE6 3RS,POD Point (UK),http://www.pod-point.com/,enquiries@pod-point.com,2021-03-20T06:28:00Z,-0.026315753015978792,51.4263737039388
Lidl - Bellingham,1,CHAdeMO,50,£0.25/kWh,"233-249 Southend Ln, London, England",SE6 3RS,POD Point (UK),http://www.pod-point.com/,enquiries@pod-point.com,2021-03-20T06:28:00Z,-0.026315753015978792,51.4263737039388
Vanguard Street Car Park,NA,CHAdeMO,50,NA,"8 Vanguard St, Deptford, London",SE8 4DQ,Chargemaster,NA,NA,2020-12-30T20:35:00Z,-0.026096,51.47411
Vanguard Street Car Park,NA,CCS (Type 2),50,NA,"8 Vanguard St, Deptford, London",SE8 4DQ,Chargemaster,NA,NA,2020-12-30T20:35:00Z,-0.026096,51.47411
Vanguard Street Car Park,NA,Type 2 (Tethered Connector),43,NA,"8 Vanguard St, Deptford, London",SE8 4DQ,Chargemaster,NA,NA,2020-12-30T20:35:00Z,-0.026096,51.47411
Shell Garage Lewisham,NA,Type 2 (Socket Only),22,£1.80 connection plus 30p per kWh. £10 overstay fee after 65 mins.,"357-361 Lewisham High Street, London",SE13 6NZ,The GeniePoint Network ( Engie EV Solutions ),https://www.geniepoint.co.uk/,GenieSupport@chargepointservices.com,2020-12-30T20:26:00Z,-0.016361,51.451978999999994
Shell Garage Lewisham,NA,CHAdeMO,36,£1.80 connection plus 30p per kWh. £10 overstay fee after 65 mins.,"357-361 Lewisham High Street, London",SE13 6NZ,The GeniePoint Network ( Engie EV Solutions ),https://www.geniepoint.co.uk/,GenieSupport@chargepointservices.com,2020-12-30T20:26:00Z,-0.016361,51.451978999999994
Shell Garage Lewisham,NA,CCS (Type 2),36,£1.80 connection plus 30p per kWh. £10 overstay fee after 65 mins.,"357-361 Lewisham High Street, London",SE13 6NZ,The GeniePoint Network ( Engie EV Solutions ),https://www.geniepoint.co.uk/,GenieSupport@chargepointservices.com,2020-12-30T20:26:00Z,-0.016361,51.451978999999994
Hicks Street,NA,Type 2 (Socket Only),7,NA,"Hicks Street, Lewisham",SE8 5AG,Source London,http://www.sourcelondon.net/,membership@sourcelondon.net,2020-09-08T02:47:00Z,-0.040206,51.488037000000006
Hicks Street,NA,Type 1 (J1772),3,NA,"Hicks Street, Lewisham",SE8 5AG,Source London,http://www.sourcelondon.net/,membership@sourcelondon.net,2020-09-08T02:47:00Z,-0.040206,51.488037000000006
