LSOA11CD,Total,Economically active: Total,Economically active: Employee: Part-time,Economically active: Employee: Full-time,Economically active: Self-employed with employees: Part-time,Economically active: Self-employed with employees: Full-time,Economically active: Self-employed without employees: Part-time,Economically active: Self-employed without employees: Full-time,Economically active: Unemployed,Economically active: Full-time student,Economically inactive: Total,Economically inactive: Retired,Economically inactive: Student (including full-time students),Economically inactive: Looking after home or family,Economically inactive: Long-term sick or disabled,Economically inactive: Other
E01003189,1101,710,142,363,6,12,22,39,84,42,391,82,93,73,90,53
E01003190,1284,904,225,423,2,14,19,68,101,52,380,82,80,82,88,48
E01003191,1044,752,143,400,1,9,26,51,83,39,292,80,54,69,60,29
E01003192,1164,788,176,382,5,9,14,41,110,51,376,113,57,69,85,52
E01003193,1138,791,162,406,4,16,26,62,74,41,347,140,50,57,72,28
E01003194,1218,871,197,442,8,19,29,59,77,40,347,120,63,61,55,48
E01003195,1099,820,141,472,3,21,35,48,45,55,279,99,59,54,37,30
E01003196,1130,777,168,400,6,18,26,45,77,37,353,97,89,69,66,32
E01003197,1156,769,160,392,6,11,10,44,97,49,387,100,80,78,86,43
E01003198,1051,795,97,504,4,23,36,60,46,25,256,95,48,49,40,24
E01003199,1358,1103,124,703,10,31,54,97,47,37,255,80,55,63,26,31
E01003200,1251,996,107,644,3,44,46,88,33,31,255,110,66,49,15,15
E01003201,1224,895,135,488,4,15,51,65,90,47,329,75,90,54,73,37
E01003202,1194,949,105,640,3,28,52,76,26,19,245,134,48,40,9,14
E01003203,1424,1115,132,720,7,17,43,66,86,44,309,85,81,47,53,43
E01003204,1055,821,98,480,2,23,26,73,83,36,234,66,62,45,26,35
E01003205,937,569,109,235,5,9,31,34,95,51,368,76,135,46,51,60
E01003206,1209,950,95,556,5,33,65,103,62,31,259,78,63,57,48,13
E01003207,1069,726,135,378,0,9,29,38,58,79,343,73,132,44,57,37
E01003209,1606,1183,200,554,2,16,49,84,93,185,423,78,214,42,44,45
E01003210,1460,1176,168,641,3,27,61,97,86,93,284,55,94,39,58,38
E01003211,1292,1043,154,610,4,23,58,91,54,49,249,62,70,35,48,34
E01003212,1619,1237,153,673,4,25,58,114,83,127,382,115,148,45,48,26
E01003213,1604,1249,157,699,4,24,71,119,98,77,355,69,163,36,44,43
E01003214,1376,1044,164,547,7,21,36,87,100,82,332,61,100,54,81,36
E01003215,1662,1127,136,510,3,17,58,74,64,265,535,54,386,31,31,33
E01003216,1390,1014,177,517,5,33,29,79,87,87,376,86,107,64,63,56
E01003217,1169,866,155,477,7,16,27,74,56,54,303,109,69,66,27,32
E01003218,1092,823,138,470,5,26,21,61,52,50,269,91,77,52,24,25
E01003219,1216,904,150,499,3,30,26,71,62,63,312,129,89,40,23,31
E01003220,1159,863,150,467,2,19,30,66,74,55,296,92,67,44,58,35
E01003221,1428,987,156,544,6,44,32,56,95,54,441,136,102,91,69,43
E01003222,1181,855,147,465,7,20,33,47,83,53,326,92,87,50,48,49
E01003223,1249,900,138,487,7,46,31,75,56,60,349,123,94,62,30,40
E01003224,1249,916,153,503,6,15,38,68,81,52,333,105,103,34,44,47
E01003225,1162,904,136,510,5,30,47,87,54,35,258,108,68,32,28,22
E01003226,1365,1087,184,611,7,24,54,97,58,52,278,67,98,45,38,30
E01003227,1277,1018,143,600,6,23,48,91,73,34,259,93,65,37,35,29
E01003228,1168,939,102,604,8,17,49,93,45,21,229,89,38,32,44,26
E01003229,1156,812,122,443,6,22,30,53,95,41,344,99,66,53,77,49
E01003230,1458,1091,169,619,8,20,47,94,87,47,367,74,90,65,84,54
E01003231,1234,932,136,502,6,11,45,110,62,60,302,88,88,47,37,42
E01003232,1283,968,156,537,7,28,47,77,73,43,315,107,83,49,30,46
E01003233,1297,967,161,559,2,22,45,81,62,35,330,106,93,59,41,31
E01003235,930,647,124,326,3,25,20,41,65,43,283,96,56,59,49,23
E01003236,1061,674,104,360,7,21,24,57,70,31,387,109,76,77,73,52
