OA11CD,Rural Urban,Total,Economically active: Total,Economically active: Employee: Part-time,Economically active: Employee: Full-time,Economically active: Self-employed with employees: Part-time,Economically active: Self-employed with employees: Full-time,Economically active: Self-employed without employees: Part-time,Economically active: Self-employed without employees: Full-time,Economically active: Unemployed,Economically active: Full-time student,Economically inactive: Total,Economically inactive: Retired,Economically inactive: Student (including full-time students),Economically inactive: Looking after home or family,Economically inactive: Long-term sick or disabled,Economically inactive: Other
E00016403,Total,233,176,40,83,2,5,3,10,27,6,57,8,20,19,5,5
E00016437,Total,343,211,47,97,1,6,5,8,25,22,132,22,55,23,16,16
E00016439,Total,279,191,33,102,1,0,3,9,26,17,88,16,17,14,19,22
E00016442,Total,220,168,40,68,1,1,5,12,29,12,52,2,16,17,7,10
E00016399,Total,302,195,47,83,3,1,2,6,25,28,107,17,34,19,25,12
E00016401,Total,247,187,24,112,0,2,3,8,18,20,60,2,25,18,5,10
E00016406,Total,207,131,41,54,3,3,3,3,15,9,76,10,32,12,12,10
E00016435,Total,288,187,40,96,0,5,2,10,23,11,101,17,28,23,17,16
E00016395,Total,236,170,27,94,0,3,4,9,18,15,66,19,16,12,13,6
E00016404,Total,315,226,25,137,2,5,9,10,17,21,89,22,39,9,9,10
E00016405,Total,276,220,23,138,0,7,6,18,10,18,56,3,29,9,9,6
E00016408,Total,135,122,3,95,1,3,3,8,3,6,13,2,7,3,0,1
E00016410,Total,293,236,24,145,0,6,9,25,12,15,57,12,22,8,6,9
E00016438,Total,221,189,17,146,2,0,2,11,6,5,32,3,16,4,3,6
E00016398,Total,209,154,24,90,0,1,0,5,23,11,55,11,14,8,12,10
E00016431,Total,194,136,18,73,0,0,4,16,13,12,58,9,16,4,20,9
E00016432,Total,300,220,27,132,0,4,5,12,19,21,80,20,23,14,9,14
E00016434,Total,288,205,34,99,0,4,8,11,33,16,83,14,29,7,19,14
E00173943,Total,248,182,26,112,1,0,2,9,21,11,66,14,19,12,13,8
E00173946,Total,312,260,13,197,0,3,3,26,10,8,52,5,38,1,2,6
E00016397,Total,419,348,23,252,1,11,9,19,17,16,71,5,38,8,10,10
E00016433,Total,238,169,15,113,0,4,5,9,10,13,69,29,10,6,13,11
E00016436,Total,154,118,20,72,0,1,1,3,14,7,36,6,8,9,8,5
E00016440,Total,225,148,25,64,1,0,3,7,33,15,77,8,28,22,6,13
E00016441,Total,342,249,38,136,0,2,8,8,37,20,93,19,28,14,21,11
E00016412,Total,282,217,31,118,1,3,10,15,22,17,65,20,17,9,11,8
E00016414,Total,271,172,29,81,0,5,3,9,17,28,99,16,37,10,13,23
E00016418,Total,312,225,39,115,1,10,4,16,19,21,87,9,33,14,16,15
E00016422,Total,223,129,33,58,1,1,4,9,18,5,94,11,33,22,12,16
E00016402,Total,200,129,27,66,1,6,1,4,14,10,71,17,24,12,11,7
E00016407,Total,215,170,16,100,0,4,9,11,24,6,45,10,11,10,6,8
E00016409,Total,254,188,30,103,2,4,4,9,27,9,66,2,22,21,10,11
E00016411,Total,291,230,33,142,1,4,5,17,17,11,61,3,25,16,9,8
E00016413,Total,219,134,23,64,0,5,2,10,19,11,85,14,28,13,18,12
E00016415,Total,247,156,32,76,0,5,5,8,22,8,91,19,33,17,11,11
E00016416,Total,175,114,24,51,1,1,4,8,20,5,61,9,21,12,12,7
E00016419,Total,244,161,41,84,0,0,3,4,22,7,83,19,27,13,10,14
E00016420,Total,217,127,33,54,1,5,3,3,18,10,90,17,17,26,13,17
E00173947,Total,233,166,23,85,0,0,6,2,31,19,67,7,16,17,19,8
E00173948,Total,273,189,29,90,3,3,9,12,23,20,84,5,37,22,9,11
E00016417,Total,228,141,40,55,0,1,4,2,22,17,87,23,27,14,14,9
E00016421,Total,204,131,36,51,1,1,2,6,18,16,73,11,18,15,14,15
E00016423,Total,232,151,34,63,2,6,4,7,22,13,81,8,21,20,14,18
E00016424,Total,212,131,28,55,3,3,5,5,22,10,81,14,19,23,10,15
E00016427,Total,162,102,14,41,1,4,2,1,28,11,60,15,14,12,14,5
E00016396,Total,207,130,21,65,1,0,5,3,26,9,77,17,11,8,29,12
E00016426,Total,220,152,27,79,0,3,5,10,11,17,68,6,18,10,16,18
E00016428,Total,276,219,29,100,1,8,10,22,18,31,57,5,26,10,6,10
E00016429,Total,212,149,18,89,1,4,12,9,8,8,63,29,17,6,4,7
E00016430,Total,194,128,25,63,1,1,4,6,17,11,66,23,12,9,10,12
E00016680,Total,186,164,22,99,2,1,6,5,17,12,22,2,10,4,1,5
E00016716,Total,244,210,27,120,2,1,7,15,18,20,34,0,16,9,1,8
E00016717,Total,152,132,22,71,0,3,4,5,18,9,20,0,9,5,2,4
E00016719,Total,180,131,31,65,0,2,1,3,17,12,49,10,16,4,13,6
E00016720,Total,235,185,28,111,1,3,4,10,12,16,50,3,14,19,9,5
E00016725,Total,173,139,22,78,0,2,7,8,17,5,34,3,9,15,2,5
E00016706,Total,176,116,25,49,0,4,7,7,12,12,60,10,17,17,8,8
E00016708,Total,256,164,30,86,1,1,1,10,22,13,92,13,39,13,17,10
E00016709,Total,318,223,40,99,0,4,8,16,27,29,95,19,45,13,11,7
E00016714,Total,211,154,36,71,0,1,8,6,19,13,57,9,14,14,10,10
E00016715,Total,277,212,21,103,1,11,13,17,27,19,65,11,28,10,10,6
E00016675,Total,190,159,23,87,0,0,7,21,11,10,31,2,12,9,3,5
E00016677,Total,459,259,23,98,0,5,4,12,20,97,200,2,175,11,10,2
E00016683,Total,261,228,15,157,0,3,10,15,12,16,33,5,18,5,2,3
E00016697,Total,249,164,46,63,1,2,4,11,13,24,85,24,23,13,10,15
E00173940,Total,289,217,30,118,0,7,16,11,17,18,72,15,35,4,8,10
E00173949,Total,319,280,44,160,1,7,8,21,11,28,39,1,24,6,2,6
E00016684,Total,185,157,18,101,0,2,6,10,12,8,28,5,14,4,3,2
E00016687,Total,157,124,6,91,1,3,3,7,8,5,33,2,15,5,1,10
E00016694,Total,242,177,35,69,1,0,12,16,23,21,65,15,19,11,10,10
E00016718,Total,188,119,25,46,3,2,3,8,21,11,69,28,14,10,7,10
E00016721,Total,169,112,22,58,0,1,5,8,12,6,57,13,12,9,12,11
E00016723,Total,210,147,35,68,0,4,0,6,25,9,63,10,17,8,15,13
E00016679,Total,209,123,15,75,0,2,4,6,13,8,86,18,9,13,35,11
E00016689,Total,199,158,27,84,1,6,6,9,8,17,41,12,16,4,9,0
E00016693,Total,273,174,27,80,2,8,5,7,18,27,99,20,44,12,17,6
E00016701,Total,174,128,17,73,1,0,5,10,6,16,46,11,17,4,8,6
E00173939,Total,134,98,18,49,1,1,4,4,12,9,36,9,10,11,4,2
E00016210,Total,257,159,25,80,0,2,8,8,11,25,98,30,46,8,10,4
E00016239,Total,264,193,36,112,0,0,6,11,11,17,71,11,26,8,16,10
E00016240,Total,137,86,25,43,0,0,2,0,3,13,51,6,17,6,13,9
E00016241,Total,225,161,26,88,0,5,5,11,19,7,64,15,21,12,8,8
E00016245,Total,186,127,23,55,0,2,8,8,14,17,59,11,22,10,10,6
E00016211,Total,191,130,29,55,0,4,5,7,18,12,61,22,19,7,10,3
E00016213,Total,273,201,30,100,0,4,6,17,22,22,72,16,19,10,13,14
E00016244,Total,293,240,52,111,1,3,10,21,10,32,53,9,30,5,2,7
E00016250,Total,209,155,20,88,0,0,4,9,14,20,54,12,15,9,13,5
E00174011,Total,99,87,7,48,0,2,7,8,5,10,12,0,5,1,2,4
E00174032,Total,457,306,44,127,1,2,15,16,17,84,151,15,121,4,2,9
E00174033,Total,84,64,18,25,0,1,2,6,7,5,20,4,5,6,2,3
E00016216,Total,287,246,44,119,1,7,24,22,14,15,41,9,18,4,4,6
E00016236,Total,328,273,34,153,1,8,7,26,18,26,55,6,19,10,9,11
E00016246,Total,273,188,36,96,0,4,7,8,21,16,85,15,26,15,15,14
E00016248,Total,272,236,27,148,0,4,9,22,13,13,36,8,8,6,9,5
E00016252,Total,300,233,27,125,1,4,14,19,20,23,67,17,23,4,21,2
E00016214,Total,306,242,33,130,0,5,9,26,18,21,64,21,24,10,5,4
E00016215,Total,267,219,27,121,0,3,3,20,15,30,48,9,18,5,11,5
E00016217,Total,330,247,27,134,1,5,10,30,18,22,83,29,29,8,12,5
E00016237,Total,237,167,24,88,1,3,9,11,9,22,70,24,35,5,2,4
E00016247,Total,226,180,22,98,0,3,18,13,11,15,46,16,14,7,5,4
E00016253,Total,253,182,20,102,2,6,9,14,12,17,71,16,28,10,13,4
E00016209,Total,334,238,37,105,1,4,18,18,17,38,96,8,55,17,8,8
E00016235,Total,254,209,25,120,1,3,5,17,13,25,45,9,18,2,10,6
E00016238,Total,346,266,28,123,1,2,12,20,21,59,80,25,33,6,7,9
E00173941,Total,503,267,26,97,0,6,11,10,6,111,236,5,210,6,5,10
E00173942,Total,225,147,20,65,0,2,12,9,7,32,78,7,70,0,1,0
E00016881,Total,188,133,23,64,0,0,7,8,17,14,55,17,17,9,3,9
E00016915,Total,214,157,28,62,0,1,11,14,23,18,57,3,13,13,9,19
E00016916,Total,242,152,29,78,0,1,4,2,26,12,90,21,19,16,16,18
E00016920,Total,230,141,24,61,3,1,2,11,24,15,89,28,29,8,12,12
E00173950,Total,216,152,19,85,0,3,4,8,15,18,64,7,17,16,12,12
E00173951,Total,238,153,36,68,0,4,3,7,24,11,85,26,24,11,13,11
E00016921,Total,227,151,24,76,1,10,11,7,10,12,76,11,22,12,21,10
E00016922,Total,251,174,23,83,1,2,5,23,14,23,77,29,15,10,18,5
E00016923,Total,294,228,22,99,2,5,14,23,13,50,66,16,31,10,4,5
E00016925,Total,354,306,32,159,2,5,19,28,14,47,48,9,15,11,8,5
E00016926,Total,244,186,31,91,0,7,10,15,12,20,58,15,12,15,11,5
E00016917,Total,407,319,45,173,0,8,14,19,20,40,88,15,45,3,13,12
E00016918,Total,331,267,33,135,3,2,18,25,11,40,64,10,44,0,7,3
E00016919,Total,270,211,33,105,3,13,11,16,14,16,59,12,24,5,13,5
E00016924,Total,364,268,28,124,1,12,18,23,18,44,96,21,46,5,10,14
