WD22CD_proposed,Total,Economically active: Total,Economically active: Employee: Part-time,Economically active: Employee: Full-time,Economically active: Self-employed with employees: Part-time,Economically active: Self-employed with employees: Full-time,Economically active: Self-employed without employees: Part-time,Economically active: Self-employed without employees: Full-time,Economically active: Unemployed,Economically active: Full-time student,Economically inactive: Total,Economically inactive: Retired,Economically inactive: Student (including full-time students),Economically inactive: Looking after home or family,Economically inactive: Long-term sick or disabled,Economically inactive: Other
E05013714,7325,5013,1104,2518,30,76,126,301,574,284,2312,590,480,472,501,269
E05013715,11806,8947,1126,5373,51,233,426,700,646,392,2859,908,720,522,397,312
E05013716,13672,10448,1383,5824,33,173,491,816,707,1021,3224,653,1432,367,457,315
E05013717,11622,8348,1438,4433,58,265,281,658,690,525,3274,1105,799,583,432,355
E05013718,11400,8718,1309,4985,55,197,412,783,609,368,2682,831,689,419,414,329
E05013719,11096,7708,1333,3728,36,141,281,429,886,874,3388,615,1284,543,486,460
E05013720,11405,7810,1551,3989,46,159,230,492,851,492,3595,1078,723,729,655,410
E05013721,8315,6048,888,3463,20,111,151,353,636,426,2267,401,768,392,360,346
E05013722,10990,8452,1290,4614,53,196,463,811,600,425,2538,808,624,428,384,294
E05013723,10900,7794,1394,4240,41,225,291,611,629,363,3106,1126,642,531,504,303
E05013724,14148,10381,1673,5720,75,204,337,742,939,691,3767,1005,967,654,691,450
E05013725,12427,9214,1383,4882,51,196,395,742,719,846,3213,846,1093,433,468,373
E05013726,10999,8417,1294,4967,40,195,403,634,526,358,2582,915,599,468,352,248
E05013727,3110,2358,337,1397,6,63,70,185,170,130,752,180,216,133,128,95
E05013728,6390,4703,798,2456,24,87,160,273,484,421,1687,287,594,305,277,224
E05013729,13522,10222,1544,5880,43,213,484,856,734,468,3300,1040,778,562,552,368
E05013730,12458,9009,1500,4635,55,186,372,701,882,678,3449,882,793,623,699,452
E05013731,11934,8595,1325,4741,40,171,416,688,736,478,3339,1100,780,562,509,388
E05013732,12736,9608,1409,4931,56,202,497,883,758,872,3128,718,1037,453,513,407
