LSOA11CD,Total,Part-time: Total,Part-time: 15 hours or less worked,Part-time: 16 to 30 hours worked,Full-time: Total,Full-time: 31 to 48 hours worked,Full-time: 49 or more hours worked
E01003189,613,193,55,138,420,371,49
E01003190,791,270,70,200,521,446,75
E01003191,662,190,41,149,472,421,51
E01003192,656,219,71,148,437,380,57
E01003193,706,209,68,141,497,406,91
E01003194,779,251,70,181,528,448,80
E01003195,754,203,65,138,551,478,73
E01003196,683,213,52,161,470,395,75
E01003197,656,203,50,153,453,385,68
E01003198,741,152,54,98,589,373,216
E01003199,1049,210,79,131,839,608,231
E01003200,959,179,73,106,780,521,259
E01003201,798,218,76,142,580,447,133
E01003202,920,169,67,102,751,578,173
E01003203,1021,203,63,140,818,649,169
E01003204,727,145,46,99,582,437,145
E01003205,460,170,47,123,290,245,45
E01003206,881,187,63,124,694,482,212
E01003207,646,208,76,132,438,389,49
E01003209,1038,340,104,236,698,609,89
E01003210,1064,281,103,178,783,628,155
E01003211,979,247,57,190,732,588,144
E01003212,1131,282,99,183,849,674,175
E01003213,1127,278,80,198,849,693,156
E01003214,921,251,75,176,670,552,118
E01003215,986,354,165,189,632,523,109
E01003216,905,264,112,152,641,526,115
E01003217,799,226,78,148,573,501,72
E01003218,748,186,49,137,562,478,84
E01003219,817,207,58,149,610,521,89
E01003220,773,203,60,143,570,465,105
E01003221,882,232,64,168,650,524,126
E01003222,755,213,72,141,542,462,80
E01003223,823,205,69,136,618,504,114
E01003224,825,227,78,149,598,522,76
E01003225,839,205,68,137,634,523,111
E01003226,1019,283,105,178,736,599,137
E01003227,931,212,73,139,719,571,148
E01003228,888,170,41,129,718,564,154
E01003229,703,178,64,114,525,445,80
E01003230,996,258,76,182,738,624,114
E01003231,854,218,80,138,636,529,107
E01003232,887,235,74,161,652,523,129
E01003233,896,232,58,174,664,561,103
E01003235,573,177,61,116,396,322,74
E01003236,589,147,55,92,442,397,45
E01003237,589,196,59,137,393,339,54
E01003238,587,178,45,133,409,353,56
E01003239,596,165,44,121,431,374,57
E01003240,750,201,65,136,549,476,73
E01003241,632,179,55,124,453,384,69
E01003243,547,194,53,141,353,301,52
E01003244,621,213,69,144,408,364,44
E01003245,595,197,61,136,398,338,60
E01003246,647,191,64,127,456,385,71
E01003247,1077,203,86,117,874,695,179
E01003248,735,172,49,123,563,476,87
E01003249,1023,198,78,120,825,680,145
E01003250,905,193,72,121,712,535,177
E01003251,754,252,64,188,502,409,93
E01003252,523,215,66,149,308,253,55
E01003253,680,205,70,135,475,386,89
E01003254,808,212,68,144,596,472,124
E01003255,1205,235,66,169,970,744,226
E01003256,991,265,74,191,726,594,132
E01003257,778,215,73,142,563,437,126
E01003258,582,188,57,131,394,335,59
E01003259,893,197,68,129,696,589,107
E01003260,906,288,88,200,618,459,159
E01003261,794,202,61,141,592,470,122
E01003262,741,193,63,130,548,453,95
E01003263,719,202,74,128,517,446,71
E01003264,749,201,59,142,548,458,90
E01003265,675,169,37,132,506,429,77
E01003266,665,200,58,142,465,412,53
E01003267,641,187,56,131,454,387,67
E01003268,901,238,71,167,663,549,114
E01003269,754,204,69,135,550,443,107
E01003270,913,214,62,152,699,579,120
E01003271,901,256,72,184,645,519,126
E01003272,1067,267,100,167,800,629,171
E01003273,880,269,88,181,611,515,96
E01003274,973,263,79,184,710,568,142
E01003275,714,208,75,133,506,427,79
E01003276,954,260,92,168,694,547,147
E01003277,992,263,99,164,729,576,153
E01003278,1093,288,93,195,805,654,151
E01003279,903,233,83,150,670,561,109
E01003280,738,230,65,165,508,434,74
E01003281,763,172,55,117,591,476,115
E01003282,1483,386,124,262,1097,894,203
E01003283,1188,278,84,194,910,706,204
E01003284,956,218,68,150,738,599,139
E01003285,905,211,67,144,694,582,112
E01003286,688,205,53,152,483,398,85
E01003287,1087,232,80,152,855,659,196
E01003288,791,219,68,151,572,495,77
E01003290,922,200,64,136,722,582,140
E01003291,595,163,52,111,432,372,60
E01003292,913,191,68,123,722,562,160
E01003293,772,168,54,114,604,489,115
E01003295,788,237,82,155,551,454,97
E01003296,1175,241,82,159,934,791,143
E01003297,845,229,70,159,616,500,116
E01003298,558,187,60,127,371,319,52
E01003299,741,244,85,159,497,425,72
E01003300,578,204,72,132,374,329,45
E01003301,1163,343,139,204,820,672,148
E01003302,720,210,67,143,510,445,65
E01003303,682,212,80,132,470,391,79
E01003304,985,295,84,211,690,575,115
E01003305,599,177,74,103,422,338,84
E01003307,776,166,49,117,610,504,106
E01003308,931,232,78,154,699,567,132
E01003309,620,186,69,117,434,382,52
E01003310,840,203,76,127,637,527,110
E01003311,801,192,67,125,609,478,131
E01003312,958,194,67,127,764,638,126
E01003313,711,215,56,159,496,406,90
E01003314,928,194,65,129,734,600,134
E01003315,717,163,42,121,554,445,109
E01003316,805,209,68,141,596,479,117
E01003317,879,239,67,172,640,543,97
E01003318,772,222,63,159,550,479,71
E01003319,807,253,101,152,554,487,67
E01003320,665,191,71,120,474,418,56
E01003321,972,306,98,208,666,558,108
E01003322,699,193,53,140,506,425,81
E01003323,717,205,74,131,512,430,82
E01003324,666,206,68,138,460,401,59
E01003325,766,230,84,146,536,465,71
E01003326,698,185,45,140,513,428,85
E01003327,881,236,92,144,645,515,130
E01003328,873,208,66,142,665,543,122
E01003329,835,216,60,156,619,533,86
E01003330,601,179,56,123,422,352,70
E01003331,617,153,48,105,464,394,70
E01003332,751,159,44,115,592,489,103
E01003333,747,185,58,127,562,473,89
E01003334,842,208,55,153,634,534,100
E01003335,630,214,65,149,416,354,62
E01003336,556,191,66,125,365,323,42
E01003337,681,240,70,170,441,371,70
E01003338,737,243,71,172,494,425,69
E01003339,945,267,108,159,678,557,121
E01003340,1140,327,135,192,813,667,146
E01003341,851,244,89,155,607,479,128
E01003342,967,216,65,151,751,629,122
E01003343,726,219,76,143,507,413,94
E01003344,1029,270,118,152,759,598,161
E01003345,1013,222,72,150,791,652,139
E01003346,647,218,63,155,429,373,56
E01003347,596,221,68,153,375,341,34
E01003348,630,185,59,126,445,374,71
E01003349,542,186,48,138,356,302,54
E01003350,535,192,52,140,343,300,43
E01003351,578,181,46,135,397,337,60
E01003352,735,233,75,158,502,413,89
E01003353,824,244,87,157,580,499,81
E01003354,824,208,67,141,616,521,95
E01032564,519,182,55,127,337,310,27
E01032565,538,160,45,115,378,327,51
E01032579,725,261,85,176,464,390,74
E01033320,762,174,66,108,588,496,92
E01033322,829,124,33,91,705,596,109
E01033324,815,218,60,158,597,488,109
E01033325,989,81,26,55,908,700,208
E01033327,869,185,50,135,684,560,124
E01033341,612,164,56,108,448,374,74
