OA11CD,Rural Urban,Total,Part-time: Total,Part-time: 15 hours or less worked,Part-time: 16 to 30 hours worked,Full-time: Total,Full-time: 31 to 48 hours worked,Full-time: 49 or more hours worked
E00016403,Total,145,45,10,35,100,87,13
E00016437,Total,184,71,26,45,113,100,13
E00016439,Total,157,45,21,24,112,100,12
E00016442,Total,135,52,12,40,83,77,6
E00016399,Total,158,63,25,38,95,83,12
E00016401,Total,165,38,9,29,127,108,19
E00016406,Total,112,50,13,37,62,50,12
E00016435,Total,160,46,14,32,114,97,17
E00016395,Total,152,42,19,23,110,92,18
E00016404,Total,206,50,23,27,156,120,36
E00016405,Total,200,35,13,22,165,132,33
E00016408,Total,117,9,4,5,108,81,27
E00016410,Total,219,43,18,25,176,138,38
E00016438,Total,183,24,9,15,159,132,27
E00016398,Total,130,27,10,17,103,88,15
E00016431,Total,121,24,13,11,97,84,13
E00016432,Total,199,44,15,29,155,123,32
E00016434,Total,168,49,14,35,119,106,13
E00173943,Total,155,32,17,15,123,110,13
E00173946,Total,250,22,9,13,228,169,59
E00016397,Total,331,46,23,23,285,212,73
E00016433,Total,153,26,11,15,127,89,38
E00016436,Total,101,24,7,17,77,59,18
E00016440,Total,114,39,10,29,75,58,17
E00016441,Total,206,58,21,37,148,117,31
E00016412,Total,190,53,23,30,137,114,23
E00016414,Total,150,49,13,36,101,86,15
E00016418,Total,196,49,13,36,147,123,24
E00016422,Total,111,40,15,25,71,62,9
E00016402,Total,112,32,8,24,80,70,10
E00016407,Total,146,28,8,20,118,101,17
E00016409,Total,159,42,11,31,117,103,14
E00016411,Total,210,43,13,30,167,135,32
E00016413,Total,108,27,9,18,81,67,14
E00016415,Total,130,40,5,35,90,79,11
E00016416,Total,93,31,10,21,62,50,12
E00016419,Total,137,47,14,33,90,77,13
E00016420,Total,105,43,7,36,62,52,10
E00173947,Total,126,36,11,25,90,72,18
E00173948,Total,163,55,17,38,108,79,29
E00016417,Total,116,54,15,39,62,53,9
E00016421,Total,108,49,18,31,59,45,14
E00016423,Total,122,45,12,33,77,68,9
E00016424,Total,105,42,10,32,63,52,11
E00016427,Total,72,25,11,14,47,35,12
E00016396,Total,102,32,11,21,70,59,11
E00016426,Total,138,44,15,29,94,75,19
E00016428,Total,195,58,22,36,137,108,29
E00016429,Total,140,38,10,28,102,83,19
E00016430,Total,105,33,12,21,72,61,11
E00016680,Total,147,42,19,23,105,78,27
E00016716,Total,187,49,12,37,138,121,17
E00016717,Total,112,31,8,23,81,64,17
E00016719,Total,110,35,9,26,75,67,8
E00016720,Total,170,42,12,30,128,100,28
E00016725,Total,119,30,10,20,89,70,19
E00016706,Total,103,41,16,25,62,49,13
E00016708,Total,139,41,12,29,98,87,11
E00016709,Total,187,65,20,45,122,104,18
E00016714,Total,132,50,13,37,82,73,9
E00016715,Total,180,47,24,23,133,112,21
E00016675,Total,145,36,12,24,109,79,30
E00016677,Total,201,79,46,33,122,110,12
E00016683,Total,211,35,10,25,176,149,27
E00016697,Total,143,63,20,43,80,70,10
E00173940,Total,197,56,22,34,141,111,30
E00173949,Total,266,74,29,45,192,153,39
E00016684,Total,144,30,9,21,114,107,7
E00016687,Total,116,14,6,8,102,88,14
E00016694,Total,146,58,19,39,88,75,13
E00016718,Total,98,38,18,20,60,52,8
E00016721,Total,99,31,9,22,68,60,8
E00016723,Total,117,39,6,33,78,63,15
E00016679,Total,106,23,7,16,83,65,18
E00016689,Total,143,43,20,23,100,86,14
E00016693,Total,144,47,19,28,97,65,32
E00016701,Total,122,34,15,19,88,76,12
E00173939,Total,84,30,13,17,54,46,8
E00016210,Total,141,48,16,32,93,88,5
E00016239,Total,180,56,25,31,124,114,10
E00016240,Total,79,33,16,17,46,38,8
E00016241,Total,138,32,8,24,106,91,15
E00016245,Total,108,39,11,28,69,58,11
E00016211,Total,109,41,9,32,68,60,8
E00016213,Total,173,49,17,32,124,106,18
E00016244,Total,224,72,19,53,152,132,20
E00016250,Total,134,35,17,18,99,92,7
E00174011,Total,79,21,10,11,58,45,13
E00174032,Total,262,101,29,72,161,143,18
E00174033,Total,57,21,3,18,36,31,5
E00016216,Total,232,77,27,50,155,117,38
E00016236,Total,245,57,18,39,188,146,42
E00016246,Total,160,48,18,30,112,103,9
E00016248,Total,220,43,14,29,177,141,36
E00016252,Total,207,56,26,30,151,121,30
E00016214,Total,222,57,20,37,165,130,35
E00016215,Total,199,44,21,23,155,129,26
E00016217,Total,226,47,11,36,179,134,45
E00016237,Total,154,47,15,32,107,85,22
E00016247,Total,163,47,19,28,116,95,21
E00016253,Total,167,40,13,27,127,101,26
E00016209,Total,205,76,24,52,129,110,19
E00016235,Total,192,48,16,32,144,121,23
E00016238,Total,235,74,32,42,161,136,25
E00173941,Total,219,102,65,37,117,90,27
E00173942,Total,135,54,28,26,81,66,15
E00016881,Total,110,38,12,26,72,60,12
E00016915,Total,131,49,15,34,82,69,13
E00016916,Total,122,37,10,27,85,71,14
E00016920,Total,113,38,11,27,75,65,10
E00173950,Total,133,35,10,25,98,88,10
E00173951,Total,128,46,13,33,82,72,10
E00016921,Total,138,43,17,26,95,82,13
E00016922,Total,159,41,17,24,118,95,23
E00016923,Total,201,72,40,32,129,116,13
E00016925,Total,280,65,21,44,215,162,53
E00016926,Total,167,46,13,33,121,102,19
E00016917,Total,282,81,33,48,201,179,22
E00016918,Total,245,74,25,49,171,142,29
E00016919,Total,194,59,27,32,135,112,23
E00016924,Total,240,75,37,38,165,122,43
E00016927,Total,179,38,13,25,141,112,29
E00016879,Total,248,69,22,47,179,139,40
E00016884,Total,194,57,27,30,137,106,31
E00016886,Total,213,63,22,41,150,126,24
E00016893,Total,196,55,18,37,141,108,33
E00016885,Total,165,49,23,26,116,93,23
E00016887,Total,122,37,7,30,85,74,11
E00016889,Total,137,44,16,28,93,75,18
E00016890,Total,136,41,18,23,95,86,9
E00016895,Total,166,48,12,36,118,85,33
E00016159,Total,150,27,7,20,123,91,32
E00016173,Total,166,41,11,30,125,93,32
E00016176,Total,208,40,15,25,168,109,59
E00016184,Total,176,39,17,22,137,106,31
E00016186,Total,184,29,11,18,155,119,36
E00016188,Total,165,34,18,16,131,90,41
E00016164,Total,139,40,12,28,99,74,25
E00016170,Total,131,36,15,21,95,85,10
E00016175,Total,169,39,14,25,130,104,26
E00016181,Total,157,55,20,35,102,80,22
E00016182,Total,202,48,15,33,154,104,50
E00016162,Total,152,28,8,20,124,87,37
E00016198,Total,143,30,6,24,113,85,28
E00016202,Total,107,38,11,27,69,58,11
E00016205,Total,181,28,11,17,153,103,50
E00016208,Total,144,21,10,11,123,104,19
E00016199,Total,133,38,10,28,95,79,16
E00016200,Total,66,30,11,19,36,34,2
E00016201,Total,54,21,7,14,33,30,3
E00016203,Total,75,35,8,27,40,32,8
E00016207,Total,132,46,11,35,86,70,16
E00016163,Total,176,47,13,34,129,96,33
E00016165,Total,149,27,14,13,122,71,51
E00016168,Total,136,16,7,9,120,88,32
E00016169,Total,138,38,17,21,100,63,37
E00016172,Total,144,32,11,21,112,87,25
E00016177,Total,138,27,1,26,111,77,34
E00016219,Total,146,52,12,40,94,78,16
E00016220,Total,176,42,8,34,134,109,25
E00016221,Total,181,40,9,31,141,111,30
E00016223,Total,132,32,6,26,100,78,22
E00016225,Total,170,43,12,31,127,97,30
E00016255,Total,174,38,10,28,136,115,21
E00016218,Total,168,38,15,23,130,114,16
E00016222,Total,196,56,18,38,140,108,32
E00016224,Total,230,47,9,38,183,145,38
E00016226,Total,163,44,12,32,119,106,13
E00016227,Total,197,48,19,29,149,124,25
E00016228,Total,173,45,7,38,128,96,32
E00016229,Total,241,59,15,44,182,145,37
E00016230,Total,189,50,18,32,139,118,21
E00016231,Total,155,35,10,25,120,103,17
E00016232,Total,163,56,14,42,107,81,26
E00016233,Total,173,51,18,33,122,105,17
E00016212,Total,172,48,9,39,124,109,15
E00016249,Total,97,27,7,20,70,60,10
E00016254,Total,186,58,18,40,128,96,32
E00173952,Total,108,24,4,20,84,73,11
E00174016,Total,132,31,13,18,101,82,19
E00174022,Total,120,30,9,21,90,68,22
E00174008,Total,182,17,7,10,165,128,37
E00174010,Total,166,18,3,15,148,123,25
E00174013,Total,179,20,5,15,159,120,39
E00174015,Total,154,8,5,3,146,109,37
E00174025,Total,181,14,6,8,167,137,30
E00174027,Total,127,4,0,4,123,83,40
E00016178,Total,108,40,13,27,68,44,24
E00016179,Total,151,30,7,23,121,87,34
E00016180,Total,135,27,12,15,108,71,37
E00016187,Total,173,29,11,18,144,83,61
E00016189,Total,174,26,11,15,148,88,60
E00016166,Total,127,26,8,18,101,71,30
E00016167,Total,139,35,16,19,104,55,49
E00016171,Total,223,37,14,23,186,127,59
E00016174,Total,152,27,10,17,125,71,54
E00016204,Total,157,25,11,14,132,100,32
E00016206,Total,161,29,14,15,132,97,35
E00016160,Total,146,34,15,19,112,91,21
E00016183,Total,165,32,12,20,133,94,39
E00016185,Total,127,34,18,16,93,74,19
E00016191,Total,142,18,5,13,124,90,34
E00016195,Total,143,21,8,13,122,96,26
E00016197,Total,197,30,9,21,167,133,34
E00016161,Total,213,42,15,27,171,128,43
E00016190,Total,107,18,7,11,89,66,23
E00016192,Total,165,35,11,24,130,116,14
E00016193,Total,179,19,3,16,160,128,32
E00016194,Total,162,37,9,28,125,106,19
E00016196,Total,195,52,18,34,143,105,38
E00016905,Total,144,51,17,34,93,88,5
E00016907,Total,139,43,18,25,96,83,13
E00016908,Total,88,25,12,13,63,60,3
E00016910,Total,109,44,10,34,65,52,13
E00016912,Total,76,28,9,19,48,40,8
E00016909,Total,176,73,25,48,103,88,15
E00016911,Total,182,51,13,38,131,104,27
E00016913,Total,187,64,22,42,123,111,12
E00016914,Total,136,52,10,42,84,68,16
E00016896,Total,194,39,10,29,155,132,23
E00016898,Total,173,34,12,22,139,116,23
E00016900,Total,197,47,10,37,150,125,25
E00016901,Total,103,28,10,18,75,57,18
E00016904,Total,146,39,15,24,107,94,13
E00016906,Total,154,29,8,21,125,105,20
E00016883,Total,207,63,29,34,144,114,30
E00016888,Total,175,36,11,25,139,113,26
E00016891,Total,243,54,25,29,189,135,54
E00016892,Total,181,45,23,22,136,103,33
E00016894,Total,223,72,30,42,151,133,18
E00016880,Total,155,50,13,37,105,89,16
E00016897,Total,251,59,24,35,192,158,34
E00016899,Total,214,36,11,25,178,142,36
E00016902,Total,183,39,15,24,144,120,24
E00016903,Total,210,38,9,29,172,143,29
E00016564,Total,161,47,16,31,114,94,20
E00016567,Total,80,28,5,23,52,50,2
E00016569,Total,164,38,8,30,126,109,17
E00016571,Total,184,52,11,41,132,110,22
E00173700,Total,143,52,27,25,91,77,14
E00173702,Total,148,52,21,31,96,75,21
E00016558,Total,151,38,9,29,113,94,19
E00016561,Total,161,35,12,23,126,106,20
E00016566,Total,137,39,19,20,98,77,21
E00016568,Total,184,47,20,27,137,97,40
E00016572,Total,183,64,25,39,119,95,24
E00016575,Total,176,40,14,26,136,107,29
E00016557,Total,116,38,10,28,78,69,9
E00016559,Total,198,52,14,38,146,125,21
E00016560,Total,224,54,18,36,170,141,29
E00016562,Total,203,49,14,35,154,119,35
E00016563,Total,161,42,13,29,119,95,24
E00016565,Total,191,53,24,29,138,105,33
E00016544,Total,169,45,19,26,124,101,23
E00016574,Total,185,47,17,30,138,120,18
E00016576,Total,184,47,18,29,137,115,22
E00016577,Total,196,52,21,31,144,115,29
E00016578,Total,169,42,8,34,127,110,17
E00016635,Total,228,53,20,33,175,145,30
E00016640,Total,105,22,7,15,83,74,9
E00016641,Total,151,56,18,38,95,82,13
E00016642,Total,168,52,15,37,116,105,11
E00016643,Total,139,36,8,28,103,89,14
E00016630,Total,188,37,12,25,151,114,37
E00016647,Total,194,41,13,28,153,117,36
E00016648,Total,199,44,16,28,155,130,25
E00016649,Total,151,47,16,31,104,91,13
E00016651,Total,190,31,7,24,159,130,29
E00016629,Total,148,47,15,32,101,90,11
E00016650,Total,148,35,13,22,113,96,17
E00016652,Total,102,30,12,18,72,63,9
E00016654,Total,87,16,3,13,71,59,12
E00016657,Total,110,35,9,26,75,64,11
E00016633,Total,115,43,18,25,72,61,11
E00016636,Total,167,26,8,18,141,119,22
E00016638,Total,111,20,7,13,91,77,14
E00016639,Total,185,50,12,38,135,118,17
E00016674,Total,167,38,10,28,129,103,26
E00174018,Total,284,40,18,22,244,204,40
E00174019,Total,78,13,4,9,65,59,6
E00174021,Total,68,11,5,6,57,50,7
E00016628,Total,195,52,17,35,143,122,21
E00016637,Total,228,47,14,33,181,148,33
E00174024,Total,166,25,7,18,141,111,30
E00174029,Total,157,32,7,25,125,103,22
E00174030,Total,123,29,5,24,94,76,18
E00016644,Total,218,53,18,35,165,150,15
E00016645,Total,203,57,19,38,146,112,34
E00016646,Total,191,54,19,35,137,112,25
E00016584,Total,385,138,50,88,247,191,56
E00016596,Total,175,39,12,27,136,106,30
E00016598,Total,263,60,21,39,203,167,36
E00016623,Total,262,45,14,31,217,181,36
E00174036,Total,105,28,9,19,77,66,11
E00174038,Total,293,76,18,58,217,183,34
E00016585,Total,145,31,13,18,114,93,21
E00016593,Total,278,69,20,49,209,155,54
E00016600,Total,213,62,16,46,151,108,43
E00016602,Total,189,41,10,31,148,111,37
E00016624,Total,167,31,8,23,136,114,22
E00016625,Total,196,44,17,27,152,125,27
E00016587,Total,208,57,20,37,151,121,30
E00016594,Total,195,33,11,22,162,136,26
E00016605,Total,240,60,15,45,180,145,35
E00016608,Total,127,22,5,17,105,89,16
E00016626,Total,186,46,17,29,140,108,32
E00016589,Total,133,49,12,37,84,66,18
E00016595,Total,91,29,5,24,62,55,7
E00016597,Total,78,25,5,20,53,43,10
E00016599,Total,151,35,11,24,116,89,27
E00016601,Total,128,48,16,32,80,68,12
E00016607,Total,107,19,4,15,88,77,11
E00016573,Total,196,45,16,29,151,119,32
E00016579,Total,177,37,8,29,140,109,31
E00016580,Total,222,59,26,33,163,136,27
E00016581,Total,241,58,23,35,183,133,50
E00016582,Total,231,68,27,41,163,132,31
E00016546,Total,200,53,17,36,147,116,31
E00016547,Total,257,75,23,52,182,143,39
E00016548,Total,183,54,16,38,129,107,22
E00016550,Total,205,54,15,39,151,124,27
E00016583,Total,128,27,8,19,101,78,23
E00016542,Total,164,47,21,26,117,102,15
E00016552,Total,122,46,17,29,76,66,10
E00016554,Total,157,37,12,25,120,96,24
E00016555,Total,108,33,11,22,75,64,11
E00016556,Total,163,45,14,31,118,99,19
E00016543,Total,194,47,17,30,147,119,28
E00016545,Total,158,43,13,30,115,89,26
E00016549,Total,205,53,21,32,152,121,31
E00016551,Total,206,55,16,39,151,112,39
E00016553,Total,191,62,25,37,129,106,23
E00016335,Total,137,34,15,19,103,91,12
E00016336,Total,174,43,11,32,131,109,22
E00016339,Total,174,43,14,29,131,100,31
E00016340,Total,190,42,14,28,148,118,30
E00016341,Total,164,43,14,29,121,105,16
E00016309,Total,161,42,16,26,119,96,23
E00016323,Total,116,31,14,17,85,75,10
E00016324,Total,223,54,20,34,169,133,36
E00016325,Total,183,50,22,28,133,110,23
E00016327,Total,171,41,8,33,130,115,15
E00016326,Total,172,39,9,30,133,106,27
E00016329,Total,190,40,12,28,150,111,39
E00016332,Total,188,63,23,40,125,94,31
E00016333,Total,156,40,13,27,116,101,15
E00016337,Total,181,53,17,36,128,111,17
E00016311,Total,173,43,12,31,130,110,20
E00016328,Total,173,47,15,32,126,102,24
E00016330,Total,125,26,5,21,99,83,16
E00016331,Total,183,50,9,41,133,119,14
E00016334,Total,242,66,17,49,176,147,29
E00016613,Total,224,69,20,49,155,133,22
E00016614,Total,146,48,15,33,98,82,16
E00016615,Total,170,43,14,29,127,99,28
E00016618,Total,99,32,9,23,67,61,6
E00016621,Total,99,38,7,31,61,59,2
E00016609,Total,148,26,7,19,122,98,24
E00016617,Total,172,39,13,26,133,96,37
E00016619,Total,152,34,12,22,118,101,17
E00016620,Total,164,39,14,25,125,102,23
E00016622,Total,127,34,9,25,93,79,14
E00016588,Total,191,45,16,29,146,123,23
E00016592,Total,211,49,14,35,162,135,27
E00016604,Total,101,16,6,10,85,71,14
E00016611,Total,140,27,8,19,113,98,15
E00016612,Total,110,37,14,23,73,57,16
E00016616,Total,152,37,9,28,115,98,17
E00016590,Total,237,48,20,28,189,154,35
E00016591,Total,165,48,13,35,117,81,36
E00016603,Total,266,55,26,29,211,146,65
E00016606,Total,237,50,13,37,187,153,34
E00016610,Total,182,31,8,23,151,125,26
E00016653,Total,175,30,9,21,145,107,38
E00016655,Total,175,44,18,26,131,96,35
E00016656,Total,182,51,19,32,131,104,27
E00016662,Total,158,32,10,22,126,107,19
E00016664,Total,223,34,12,22,189,148,41
