WD22CD_proposed,Total,Part-time: Total,Part-time: 15 hours or less worked,Part-time: 16 to 30 hours worked,Full-time: Total,Full-time: 31 to 48 hours worked,Full-time: 49 or more hours worked
E05013714,4346,1397,365,1032,2949,2554,395
E05013715,8208,1816,628,1188,6392,4746,1646
E05013716,9479,2456,813,1643,7023,5704,1319
E05013717,7504,2061,691,1370,5443,4575,868
E05013718,8013,1991,639,1352,6022,4939,1083
E05013719,6565,2141,728,1413,4424,3735,689
E05013720,6786,2073,603,1470,4713,4073,640
E05013721,5304,1286,441,845,4018,3283,735
E05013722,7698,1995,618,1377,5703,4553,1150
E05013723,7053,1912,577,1335,5141,4303,838
E05013724,9243,2448,774,1674,6795,5678,1117
E05013725,8208,2201,748,1453,6007,4907,1100
E05013726,7808,1932,596,1336,5876,4748,1128
E05013727,2154,474,147,327,1680,1394,286
E05013728,4108,1223,420,803,2885,2389,496
E05013729,9330,2299,742,1557,7031,5790,1241
E05013730,7913,2268,745,1523,5645,4816,829
E05013731,7692,2010,617,1393,5682,4735,947
E05013732,8645,2439,870,1569,6206,5114,1092
