LSOA11CD,Total,"1. Managers, directors and senior officials",2. Professional occupations,3. Associate professional and technical occupations,4. Administrative and secretarial occupations,5. Skilled trades occupations,"6. Caring, leisure and other service occupations",7. Sales and customer service occupations,8. Process plant and machine operatives,9. Elementary occupations
E01003189,613,43,93,57,77,63,90,65,42,83
E01003190,791,57,93,119,87,95,135,77,34,94
E01003191,662,43,91,70,92,73,82,67,49,95
E01003192,656,30,91,60,79,72,95,87,45,97
E01003193,706,64,130,73,97,80,91,44,50,77
E01003194,779,61,111,103,122,72,95,70,49,96
E01003195,754,60,170,97,120,70,71,67,42,57
E01003196,683,35,86,72,96,78,100,61,55,100
E01003197,656,45,83,70,76,56,84,87,49,106
E01003198,741,125,257,148,55,18,44,37,15,42
E01003199,1049,168,349,227,115,35,54,43,11,47
E01003200,959,157,351,240,75,30,22,38,14,32
E01003201,798,92,217,114,84,56,77,53,26,79
E01003202,920,143,343,204,109,26,33,27,12,23
E01003203,1021,88,299,206,129,45,83,44,29,98
E01003204,727,94,250,131,70,43,50,37,9,43
E01003205,460,28,91,46,57,30,61,46,31,70
E01003206,881,128,276,215,74,54,35,40,17,42
E01003207,646,36,101,80,69,51,76,64,50,119
E01003209,1038,106,149,175,137,55,113,124,32,147
E01003210,1064,108,283,258,93,68,83,65,12,94
E01003211,979,104,309,224,101,42,76,41,11,71
E01003212,1131,119,256,227,133,83,102,64,33,114
E01003213,1127,142,315,250,109,61,90,53,26,81
E01003214,921,74,204,174,115,82,78,58,31,105
E01003215,986,72,177,226,90,76,101,87,19,138
E01003216,905,94,187,128,119,73,85,109,30,80
E01003217,799,77,163,113,126,81,67,72,36,64
E01003218,748,66,186,94,113,65,76,61,38,49
E01003219,817,73,147,113,129,74,87,74,48,72
E01003220,773,72,201,111,85,60,74,71,31,68
E01003221,882,101,200,123,110,64,83,80,33,88
E01003222,755,87,166,88,102,63,71,74,40,64
E01003223,823,67,194,101,105,95,70,74,47,70
E01003224,825,71,182,116,122,65,87,70,43,69
E01003225,839,101,216,152,106,59,65,48,27,65
E01003226,1019,123,276,199,111,75,73,51,29,82
E01003227,931,125,300,181,90,55,52,49,27,52
E01003228,888,110,309,194,98,45,42,29,16,45
E01003229,703,62,145,123,94,58,60,64,29,68
E01003230,996,107,223,173,130,77,83,71,44,88
E01003231,854,70,221,179,92,70,67,48,35,72
E01003232,887,91,230,155,118,76,80,45,32,60
E01003233,896,84,267,169,108,52,70,58,30,58
E01003235,573,67,88,68,76,69,66,60,23,56
E01003236,589,37,79,79,69,82,86,55,28,74
E01003237,589,42,88,60,69,74,77,65,40,74
E01003238,587,44,64,59,78,63,93,73,47,66
E01003239,596,40,76,55,85,71,100,49,41,79
E01003240,750,63,95,71,106,75,102,94,70,74
E01003241,632,57,97,71,98,71,63,65,49,61
E01003243,547,36,72,65,80,46,69,57,47,75
E01003244,621,32,88,64,58,60,105,50,44,120
E01003245,595,39,111,71,71,44,68,67,22,102
E01003246,647,48,106,91,62,62,68,66,23,121
E01003247,1077,114,228,172,111,82,77,70,44,179
E01003248,735,59,141,94,82,48,102,49,35,125
E01003249,1023,81,257,186,121,55,92,73,48,110
E01003250,905,66,184,197,101,54,72,75,39,117
E01003251,754,52,102,65,74,99,106,80,37,139
E01003252,523,35,54,35,38,48,99,72,32,110
E01003253,680,53,123,100,64,52,85,56,28,119
E01003254,808,106,286,149,84,43,57,29,17,37
E01003255,1205,135,358,317,116,72,65,44,25,73
E01003256,991,90,232,162,115,72,105,73,41,101
E01003257,778,83,182,147,87,59,76,49,30,65
E01003258,582,38,109,73,73,60,71,51,33,74
E01003259,893,100,246,174,105,60,63,48,29,68
E01003260,906,100,250,164,89,67,62,71,31,72
E01003261,794,69,258,156,93,50,57,51,23,37
E01003262,741,75,213,143,91,49,63,39,16,52
E01003263,719,72,128,105,107,81,67,50,39,70
E01003264,749,84,137,110,113,76,70,66,40,53
E01003265,675,61,101,107,81,59,82,54,25,105
E01003266,665,37,86,66,98,82,91,68,54,83
E01003267,641,35,80,65,90,99,74,66,52,80
E01003268,901,99,181,174,117,94,80,71,33,52
E01003269,754,78,169,120,94,77,61,57,30,68
E01003270,913,96,204,121,152,81,93,58,49,59
E01003271,901,98,203,150,135,81,74,56,38,66
E01003272,1067,117,286,209,93,80,82,58,27,115
E01003273,880,83,227,127,78,55,74,75,39,122
E01003274,973,111,280,161,119,67,70,67,31,67
E01003275,714,70,147,78,85,70,77,65,46,76
E01003276,954,98,276,143,124,63,82,49,35,84
E01003277,992,101,280,244,99,57,58,59,23,71
E01003278,1093,105,239,189,107,106,87,63,49,148
E01003279,903,96,268,154,102,57,75,59,26,66
E01003280,738,71,155,99,108,67,69,65,29,75
E01003281,763,107,197,119,103,71,58,45,29,34
E01003282,1483,179,429,276,154,82,103,100,41,119
E01003283,1188,162,408,252,79,68,76,52,25,66
E01003284,956,117,259,190,113,56,77,47,27,70
E01003285,905,103,252,144,147,59,66,47,25,62
E01003286,688,62,141,97,74,58,83,58,34,81
E01003287,1087,141,374,221,115,64,56,43,24,49
E01003288,791,84,141,110,103,65,72,81,30,105
E01003290,922,104,200,189,95,63,57,71,29,114
E01003291,595,52,89,100,61,65,52,57,25,94
