LSOA11CD,Total,"1. Managers, directors and senior officials",11. Corporate managers and directors,111. Chief Executives and Senior Officials,112. Production Managers and Directors,113. Functional Managers and Directors,115. Financial Institution Managers and Directors,116. Managers and Directors in Transport and Logistics,117. Senior Officers in Protective Services,118. Health and Social Services Managers and Directors,119. Managers and Directors in Retail and Wholesale,12. Other managers and proprietors,121. Managers and Proprietors in Agriculture Related Services,122. Managers and Proprietors in Hospitality and Leisure Services,124. Managers and Proprietors in Health and Care Services,125. Managers and Proprietors in Other Services,2. Professional occupations,"21. Science research, engineering and technology professionals",211. Natural and Social Science Professionals,212. Engineering Professionals,213. Information Technology and Telecommunications Professionals,214. Conservation and Environment Professionals,215. Research and Development Managers,22. Health professionals,221. Health Professionals,222. Therapy Professionals,223. Nursing and Midwifery Professionals,23. Teaching and educational professionals,231. Teaching and Educational Professionals,"24. Business, media and public service professionals",241. Legal Professionals,242. Research and Administrative Professionals,"243. Architects, Town Planners and Surveyors",244. Welfare Professionals,245. Librarians and Related Professionals,246. Quality and Regulatory Professionals,247. Media Professionals,3. Associate professional and technical occupations,"31. Science, engineering and technology associate professionals","311. Science, Engineering and Production Technicians",312. Draughtspersons and Related Architectural Technicians,313. Information Technology Technicians,32. Health and social care associate professionals,321. Health Associate Professionals,323. Welfare and Housing Associate Professionals,33. Protective Service Occupations,331. Protective Service Occupations,"34. Culture, media and sports occupations","341. Artistic, Literary and Media Occupations",342. Design Occupations,344. Sports and Fitness Occupations,35. Business and public service associate professionals,351. Transport Associate Professionals,352. Legal Associate Professionals,"353. Business, Finance and Related Associate Professionals","354. Sales, Marketing and Related Associate Professionals",355. Conservation and Environmental associate professionals,356. Public Services and Other Associate Professionals,4. Administrative and secretarial occupations,41. Administrative occupations,411. Government and Related Organisations,412. Finance,413. Records,415. Other Administrative Occupations,416. Office Managers and Supervisors,42. Secretarial and related occupations,421. Secretarial and Related Occupations,5. Skilled trades occupations,51. Skilled agricultural and related trades,511. Agricultural and Related Trades,"52. Skilled metal, electrical and electronic trades","521. Metal Forming, Welding and Related Trades","522. Metal Machining, Fitting and Instrument Making Trades",523. Vehicle Trades,524. Electrical and Electronic Trades,"525. Skilled Metal, Electrical and Electronic Trades Supervisors",53. Skilled construction and building trades,531. Construction and Building Trades,532. Building Finishing Trades,533. Construction and Building Trades Supervisors,"54. Textiles, printing and other skilled trades",541. Textiles and Garments Trades,542. Printing Trades,543. Food Preparation and Hospitality Trades,544. Other Skilled Trades,"6. Caring, leisure and other service occupations",61. Caring personal service occupations,612. Childcare and Related Personal Services,613. Animal Care and Control Services,614. Caring Personal Services,"62. Leisure, travel and related personal service occupations",621. Leisure and Travel Services,622. Hairdressers and Related Services,623. Housekeeping and Related Services,624. Cleaning and Housekeeping Managers and Supervisors,7. Sales and customer service occupations,71. Sales occupations,711. Sales Assistants and Retail Cashiers,712. Sales Related Occupations,713. Sales Supervisors,72. Customer service occupations,721. Customer Service Occupations,722. Customer Service Managers and Supervisors,"8. Process, plant and machine operatives","81. Process, plant and machine operatives",811. Process Operatives,812. Plant and Machine Operatives,813. Assemblers and Routine Operatives,814. Construction Operatives,82. Transport and mobile machine drivers and operatives,821. Road Transport Drivers,822. Mobile Machine Drivers and Operatives,823. Other Drivers and Transport Operatives,9. Elementary occupations,91. Elementary trades and related occupations,911. Elementary Agricultural Occupations,912. Elementary Construction Occupations,913. Elementary Process Plant Occupations,92. Elementary administration and service occupations,921. Elementary Administration Occupations,923. Elementary Cleaning Occupations,924. Elementary Security Occupations,925. Elementary Sales Occupations,926. Elementary Storage Occupations,927. Other Elementary Services Occupations
E01003189,613,43,24,2,2,1,2,4,0,2,11,19,0,4,1,14,93,15,2,4,9,0,0,33,5,1,27,19,19,26,1,9,4,5,0,0,7,57,6,3,1,2,10,1,9,7,7,5,1,2,2,29,0,0,12,13,0,4,77,63,17,12,10,23,1,14,14,63,7,7,20,2,9,2,7,0,22,15,4,3,14,0,1,12,1,90,70,36,0,34,20,6,5,6,3,65,50,47,0,3,15,13,2,42,6,0,0,0,6,36,29,4,3,83,2,0,0,2,81,6,25,14,7,7,22
E01003190,791,57,31,0,5,10,2,3,0,5,6,26,0,13,0,13,93,18,0,2,15,1,0,26,5,2,19,27,27,22,1,14,2,2,0,0,3,119,14,8,1,5,16,3,13,5,5,30,24,4,2,54,1,1,16,11,0,25,87,68,14,25,14,11,4,19,19,95,5,5,19,2,4,5,8,0,37,23,14,0,34,1,1,30,2,135,114,51,0,63,21,11,4,5,1,77,59,52,2,5,18,14,4,34,10,0,4,2,4,24,17,3,4,94,21,0,18,3,73,9,23,8,5,2,26
E01003191,662,43,29,0,7,4,7,1,0,5,5,14,0,1,2,11,91,21,0,6,14,1,0,20,2,2,16,25,25,25,4,7,2,10,0,0,2,70,11,5,0,6,9,3,6,8,8,9,7,0,2,33,0,6,8,8,0,11,92,68,21,16,11,13,7,24,24,73,3,3,20,2,8,2,8,0,29,20,8,1,21,2,1,14,4,82,59,25,1,33,23,4,11,7,1,67,60,55,1,4,7,7,0,49,9,0,3,2,4,40,34,0,6,95,4,0,2,2,91,12,27,17,9,6,20
E01003192,656,30,21,0,2,4,4,3,0,0,8,9,0,3,1,5,91,18,2,2,12,0,2,34,5,0,29,17,17,22,4,4,2,7,1,2,2,60,5,4,0,1,9,0,9,7,7,12,7,2,3,27,0,0,5,16,0,6,79,60,15,19,7,14,5,19,19,72,6,6,13,0,5,2,5,1,26,18,7,1,27,2,2,22,1,95,71,20,1,50,24,2,5,6,11,87,72,65,2,5,15,11,4,45,13,1,5,2,5,32,29,1,2,97,5,0,4,1,92,5,34,20,5,8,20
E01003193,706,64,32,1,5,6,3,3,0,5,9,32,0,9,3,20,130,20,2,4,13,0,1,27,4,1,22,34,34,49,11,18,3,5,1,1,10,73,3,0,1,2,4,0,4,7,7,21,14,4,3,38,0,2,8,12,0,16,97,73,12,22,12,24,3,24,24,80,1,1,29,0,5,8,16,0,31,24,6,1,19,3,1,15,0,91,66,27,0,39,25,6,9,7,3,44,31,23,4,4,13,10,3,50,22,1,3,3,15,28,23,2,3,77,2,0,2,0,75,7,23,17,3,6,19
E01003194,779,61,40,0,5,13,2,2,2,5,11,21,0,3,1,17,111,24,2,2,20,0,0,20,4,3,13,37,37,30,3,14,3,9,0,0,1,103,12,8,0,4,16,3,13,6,6,24,12,7,5,45,1,1,21,13,0,9,122,102,27,34,14,18,9,20,20,72,6,6,18,0,5,2,11,0,25,19,5,1,23,1,3,17,2,95,72,22,1,49,23,2,14,5,2,70,60,57,0,3,10,9,1,49,8,3,1,1,3,41,39,2,0,96,2,0,2,0,94,15,25,16,7,3,28
E01003195,754,60,36,1,4,11,6,2,0,3,9,24,0,10,1,13,170,26,3,6,15,1,1,40,10,2,28,43,43,61,8,26,5,13,1,1,7,97,17,5,2,10,19,1,18,5,5,19,15,2,2,37,0,4,10,11,0,12,120,84,21,20,11,27,5,36,36,70,5,5,21,3,2,7,8,1,25,15,10,0,19,2,4,11,2,71,51,31,1,19,20,5,7,4,4,67,51,36,7,8,16,16,0,42,12,1,2,3,6,30,27,3,0,57,0,0,0,0,57,7,13,7,2,1,27
E01003196,683,35,18,0,3,1,3,0,0,2,9,17,0,9,0,8,86,23,5,4,14,0,0,25,7,0,18,19,19,19,1,8,2,7,1,0,0,72,4,2,0,2,10,4,6,9,9,14,5,6,3,35,0,2,17,7,0,9,96,80,17,24,13,23,3,16,16,78,3,3,19,0,4,4,11,0,36,23,12,1,20,4,1,12,3,100,81,38,1,42,19,3,7,6,3,61,49,44,3,2,12,12,0,55,11,1,3,1,6,44,36,2,6,100,6,0,5,1,94,7,23,24,8,10,22
E01003197,656,45,22,0,5,4,1,0,0,1,11,23,0,8,2,13,83,17,1,7,8,0,1,22,1,3,18,12,12,32,3,14,1,12,0,1,1,70,13,1,1,11,14,4,10,4,4,11,8,1,2,28,0,1,12,6,0,9,76,60,22,14,4,16,4,16,16,56,6,6,19,1,4,2,12,0,16,13,3,0,15,1,1,11,2,84,71,29,1,41,13,5,4,3,1,87,75,68,3,4,12,12,0,49,17,3,4,0,10,32,29,0,3,106,8,0,6,2,98,14,25,21,5,10,23
E01003198,741,125,93,5,6,55,16,3,1,1,6,32,0,8,3,21,257,34,3,3,25,3,0,51,33,7,11,52,52,120,37,48,5,2,1,2,25,148,6,1,2,3,4,0,4,1,1,38,27,8,3,99,0,1,47,37,0,14,55,37,17,8,4,6,2,18,18,18,0,0,3,0,2,0,1,0,5,4,1,0,10,0,2,7,1,44,27,13,1,13,17,7,5,3,2,37,30,24,2,4,7,7,0,15,4,0,0,2,2,11,11,0,0,42,2,1,1,0,40,7,12,6,0,3,12
