OA11CD,Rural Urban,Total,"1. Managers, directors and senior officials",11. Corporate managers and directors,111. Chief Executives and Senior Officials,112. Production Managers and Directors,113. Functional Managers and Directors,115. Financial Institution Managers and Directors,116. Managers and Directors in Transport and Logistics,117. Senior Officers in Protective Services,118. Health and Social Services Managers and Directors,119. Managers and Directors in Retail and Wholesale,12. Other managers and proprietors,121. Managers and Proprietors in Agriculture Related Services,122. Managers and Proprietors in Hospitality and Leisure Services,124. Managers and Proprietors in Health and Care Services,125. Managers and Proprietors in Other Services,2. Professional occupations,"21. Science research, engineering and technology professionals",211. Natural and Social Science Professionals,212. Engineering Professionals,213. Information Technology and Telecommunications Professionals,214. Conservation and Environment Professionals,215. Research and Development Managers,22. Health professionals,221. Health Professionals,222. Therapy Professionals,223. Nursing and Midwifery Professionals,23. Teaching and educational professionals,231. Teaching and Educational Professionals,"24. Business, media and public service professionals",241. Legal Professionals,242. Research and Administrative Professionals,"243. Architects, Town Planners and Surveyors",244. Welfare Professionals,245. Librarians and Related Professionals,246. Quality and Regulatory Professionals,247. Media Professionals,3. Associate professional and technical occupations,"31. Science, engineering and technology associate professionals","311. Science, Engineering and Production Technicians",312. Draughtspersons and Related Architectural Technicians,313. Information Technology Technicians,32. Health and social care associate professionals,321. Health Associate Professionals,323. Welfare and Housing Associate Professionals,33. Protective Service Occupations,331. Protective Service Occupations,"34. Culture, media and sports occupations","341. Artistic, Literary and Media Occupations",342. Design Occupations,344. Sports and Fitness Occupations,35. Business and public service associate professionals,351. Transport Associate Professionals,352. Legal Associate Professionals,"353. Business, Finance and Related Associate Professionals","354. Sales, Marketing and Related Associate Professionals",355. Conservation and Environmental associate professionals,356. Public Services and Other Associate Professionals,4. Administrative and secretarial occupations,41. Administrative occupations,411. Government and Related Organisations,412. Finance,413. Records,415. Other Administrative Occupations,416. Office Managers and Supervisors,42. Secretarial and related occupations,421. Secretarial and Related Occupations,5. Skilled trades occupations,51. Skilled agricultural and related trades,511. Agricultural and Related Trades,"52. Skilled metal, electrical and electronic trades","521. Metal Forming, Welding and Related Trades","522. Metal Machining, Fitting and Instrument Making Trades",523. Vehicle Trades,524. Electrical and Electronic Trades,"525. Skilled Metal, Electrical and Electronic Trades Supervisors",53. Skilled construction and building trades,531. Construction and Building Trades,532. Building Finishing Trades,533. Construction and Building Trades Supervisors,"54. Textiles, printing and other skilled trades",541. Textiles and Garments Trades,542. Printing Trades,543. Food Preparation and Hospitality Trades,544. Other Skilled Trades,"6. Caring, leisure and other service occupations",61. Caring personal service occupations,612. Childcare and Related Personal Services,613. Animal Care and Control Services,614. Caring Personal Services,"62. Leisure, travel and related personal service occupations",621. Leisure and Travel Services,622. Hairdressers and Related Services,623. Housekeeping and Related Services,624. Cleaning and Housekeeping Managers and Supervisors,7. Sales and customer service occupations,71. Sales occupations,711. Sales Assistants and Retail Cashiers,712. Sales Related Occupations,713. Sales Supervisors,72. Customer service occupations,721. Customer Service Occupations,722. Customer Service Managers and Supervisors,"8. Process, plant and machine operatives","81. Process, plant and machine operatives",811. Process Operatives,812. Plant and Machine Operatives,813. Assemblers and Routine Operatives,814. Construction Operatives,82. Transport and mobile machine drivers and operatives,821. Road Transport Drivers,822. Mobile Machine Drivers and Operatives,823. Other Drivers and Transport Operatives,9. Elementary occupations,91. Elementary trades and related occupations,911. Elementary Agricultural Occupations,912. Elementary Construction Occupations,913. Elementary Process Plant Occupations,92. Elementary administration and service occupations,921. Elementary Administration Occupations,923. Elementary Cleaning Occupations,924. Elementary Security Occupations,925. Elementary Sales Occupations,926. Elementary Storage Occupations,927. Other Elementary Services Occupations
E00016403,Total,145,9,2,0,0,2,0,0,0,0,0,7,0,3,0,4,29,10,4,0,6,0,0,11,0,1,10,2,2,6,2,3,1,0,0,0,0,20,1,0,0,1,1,0,1,0,0,6,4,1,1,12,0,0,5,3,0,4,11,10,4,2,2,2,0,1,1,14,1,1,2,0,0,0,0,2,3,1,2,0,8,1,2,5,0,24,18,5,0,13,6,0,4,1,1,10,7,6,1,0,3,3,0,9,3,0,1,0,2,6,6,0,0,19,2,0,0,2,17,1,5,5,0,2,4
E00016437,Total,184,8,6,0,4,0,1,0,0,1,0,2,0,0,0,2,18,6,2,2,2,0,0,6,2,0,4,0,0,6,1,5,0,0,0,0,0,13,3,3,0,0,4,2,2,1,1,1,1,0,0,4,0,0,0,1,0,3,21,17,1,11,3,1,1,4,4,18,0,0,2,0,1,1,0,0,7,3,4,0,9,0,0,7,2,39,26,10,0,16,13,2,7,4,0,17,14,14,0,0,3,3,0,10,5,1,0,1,3,5,4,0,1,40,4,0,2,2,36,3,12,11,1,1,8
E00016439,Total,157,5,3,0,1,1,0,0,0,0,1,2,0,1,0,1,24,7,1,0,6,0,0,5,1,0,4,4,4,8,2,3,0,1,1,0,1,20,0,0,0,0,1,0,1,1,1,3,2,1,0,15,0,0,4,8,0,3,15,12,2,6,2,1,1,3,3,13,1,1,2,0,0,0,2,0,1,0,1,0,9,1,0,6,2,25,15,8,0,7,10,3,2,1,4,10,9,8,0,1,1,1,0,15,3,0,3,0,0,12,10,1,1,30,3,0,0,3,27,2,9,4,2,1,9
E00016442,Total,135,10,4,0,1,0,0,2,0,0,1,6,0,2,2,2,17,5,0,2,3,0,0,5,1,0,4,1,1,6,0,2,0,4,0,0,0,11,3,1,0,2,2,0,2,0,0,0,0,0,0,6,0,2,2,1,0,1,11,10,2,3,1,4,0,1,1,15,0,0,1,0,1,0,0,0,4,4,0,0,10,0,0,10,0,17,10,1,0,9,7,1,3,1,2,13,10,10,0,0,3,3,0,10,2,1,0,0,1,8,7,0,1,31,1,0,1,0,30,6,6,1,2,1,14
E00016399,Total,158,3,1,0,0,0,0,0,0,1,0,2,0,0,0,2,18,3,0,2,1,0,0,6,0,0,6,6,6,3,0,2,0,0,0,1,0,12,2,1,0,1,0,0,0,1,1,4,2,1,1,5,0,0,3,0,0,2,23,19,1,2,2,13,1,4,4,14,0,0,1,0,1,0,0,0,4,2,2,0,9,0,1,8,0,25,17,8,1,8,8,0,5,1,2,25,17,17,0,0,8,7,1,3,3,0,1,1,1,0,0,0,0,35,1,0,0,1,34,2,9,8,3,0,12
E00016401,Total,165,12,7,0,3,1,2,0,0,0,1,5,0,0,0,5,53,6,2,1,3,0,0,18,3,0,15,9,9,20,1,14,1,2,0,1,1,31,4,0,1,3,3,1,2,4,4,4,3,1,0,16,0,1,4,6,0,5,17,13,1,5,2,4,1,4,4,4,0,0,1,0,0,0,1,0,1,1,0,0,2,0,0,2,0,12,7,3,0,4,5,3,1,0,1,10,8,8,0,0,2,2,0,5,3,1,0,1,1,2,2,0,0,21,0,0,0,0,21,2,7,5,0,2,5
E00016406,Total,112,9,5,0,0,0,0,3,0,0,2,4,0,1,0,3,21,6,1,0,3,0,2,4,2,0,2,7,7,4,0,3,1,0,0,0,0,9,1,1,0,0,2,0,2,0,0,0,0,0,0,6,0,0,1,1,0,4,14,7,1,1,4,1,0,7,7,6,1,1,1,0,0,0,1,0,0,0,0,0,4,0,0,4,0,13,7,2,0,5,6,0,4,0,2,13,9,8,0,1,4,4,0,7,2,0,0,1,1,5,4,0,1,20,1,0,1,0,19,1,3,2,0,2,11
E00016435,Total,160,15,9,0,0,3,2,2,0,0,2,6,0,3,0,3,19,6,1,0,4,0,1,6,2,0,4,1,1,6,0,1,1,2,0,0,2,19,2,2,0,0,3,1,2,1,1,4,3,0,1,9,0,2,3,4,0,0,17,13,5,4,2,1,1,4,4,20,0,0,7,0,2,2,3,0,5,3,2,0,8,0,1,7,0,18,8,4,0,4,10,1,5,4,0,19,15,14,0,1,4,4,0,7,5,0,0,1,4,2,2,0,0,26,2,0,1,1,24,1,5,3,3,2,10
E00016395,Total,152,7,5,0,1,2,1,0,0,0,1,2,0,1,0,1,31,8,1,1,6,0,0,5,1,1,3,8,8,10,0,6,1,1,0,0,2,11,2,2,0,0,1,0,1,0,0,3,3,0,0,5,0,1,2,1,0,1,12,9,0,4,0,4,1,3,3,19,2,2,6,1,1,1,3,0,4,3,1,0,7,0,0,7,0,13,7,5,0,2,6,2,2,1,1,16,13,13,0,0,3,3,0,10,3,1,2,0,0,7,7,0,0,33,1,1,0,0,32,5,4,3,1,1,18
E00016404,Total,206,20,10,1,1,1,1,1,0,1,4,10,0,3,1,6,35,15,0,1,14,0,0,5,4,0,1,5,5,10,0,4,1,0,0,0,5,38,2,1,0,1,2,1,1,1,1,11,10,1,0,22,0,4,6,10,0,2,23,14,1,5,3,5,0,9,9,14,1,1,1,0,0,0,1,0,5,4,1,0,7,0,0,6,1,18,6,4,0,2,12,2,2,1,7,12,11,8,2,1,1,1,0,8,3,0,2,1,0,5,4,0,1,38,1,0,0,1,37,0,8,3,1,0,25
