WD22CD_proposed,Total,"1. Managers, directors and senior officials",11. Corporate managers and directors,111. Chief Executives and Senior Officials,112. Production Managers and Directors,113. Functional Managers and Directors,115. Financial Institution Managers and Directors,116. Managers and Directors in Transport and Logistics,117. Senior Officers in Protective Services,118. Health and Social Services Managers and Directors,119. Managers and Directors in Retail and Wholesale,12. Other managers and proprietors,121. Managers and Proprietors in Agriculture Related Services,122. Managers and Proprietors in Hospitality and Leisure Services,124. Managers and Proprietors in Health and Care Services,125. Managers and Proprietors in Other Services,2. Professional occupations,"21. Science research, engineering and technology professionals",211. Natural and Social Science Professionals,212. Engineering Professionals,213. Information Technology and Telecommunications Professionals,214. Conservation and Environment Professionals,215. Research and Development Managers,22. Health professionals,221. Health Professionals,222. Therapy Professionals,223. Nursing and Midwifery Professionals,23. Teaching and educational professionals,231. Teaching and Educational Professionals,"24. Business, media and public service professionals",241. Legal Professionals,242. Research and Administrative Professionals,"243. Architects, Town Planners and Surveyors",244. Welfare Professionals,245. Librarians and Related Professionals,246. Quality and Regulatory Professionals,247. Media Professionals,3. Associate professional and technical occupations,"31. Science, engineering and technology associate professionals","311. Science, Engineering and Production Technicians",312. Draughtspersons and Related Architectural Technicians,313. Information Technology Technicians,32. Health and social care associate professionals,321. Health Associate Professionals,323. Welfare and Housing Associate Professionals,33. Protective Service Occupations,331. Protective Service Occupations,"34. Culture, media and sports occupations","341. Artistic, Literary and Media Occupations",342. Design Occupations,344. Sports and Fitness Occupations,35. Business and public service associate professionals,351. Transport Associate Professionals,352. Legal Associate Professionals,"353. Business, Finance and Related Associate Professionals","354. Sales, Marketing and Related Associate Professionals",355. Conservation and Environmental associate professionals,356. Public Services and Other Associate Professionals,4. Administrative and secretarial occupations,41. Administrative occupations,411. Government and Related Organisations,412. Finance,413. Records,415. Other Administrative Occupations,416. Office Managers and Supervisors,42. Secretarial and related occupations,421. Secretarial and Related Occupations,5. Skilled trades occupations,51. Skilled agricultural and related trades,511. Agricultural and Related Trades,"52. Skilled metal, electrical and electronic trades","521. Metal Forming, Welding and Related Trades","522. Metal Machining, Fitting and Instrument Making Trades",523. Vehicle Trades,524. Electrical and Electronic Trades,"525. Skilled Metal, Electrical and Electronic Trades Supervisors",53. Skilled construction and building trades,531. Construction and Building Trades,532. Building Finishing Trades,533. Construction and Building Trades Supervisors,"54. Textiles, printing and other skilled trades",541. Textiles and Garments Trades,542. Printing Trades,543. Food Preparation and Hospitality Trades,544. Other Skilled Trades,"6. Caring, leisure and other service occupations",61. Caring personal service occupations,612. Childcare and Related Personal Services,613. Animal Care and Control Services,614. Caring Personal Services,"62. Leisure, travel and related personal service occupations",621. Leisure and Travel Services,622. Hairdressers and Related Services,623. Housekeeping and Related Services,624. Cleaning and Housekeeping Managers and Supervisors,7. Sales and customer service occupations,71. Sales occupations,711. Sales Assistants and Retail Cashiers,712. Sales Related Occupations,713. Sales Supervisors,72. Customer service occupations,721. Customer Service Occupations,722. Customer Service Managers and Supervisors,"8. Process, plant and machine operatives","81. Process, plant and machine operatives",811. Process Operatives,812. Plant and Machine Operatives,813. Assemblers and Routine Operatives,814. Construction Operatives,82. Transport and mobile machine drivers and operatives,821. Road Transport Drivers,822. Mobile Machine Drivers and Operatives,823. Other Drivers and Transport Operatives,9. Elementary occupations,91. Elementary trades and related occupations,911. Elementary Agricultural Occupations,912. Elementary Construction Occupations,913. Elementary Process Plant Occupations,92. Elementary administration and service occupations,921. Elementary Administration Occupations,923. Elementary Cleaning Occupations,924. Elementary Security Occupations,925. Elementary Sales Occupations,926. Elementary Storage Occupations,927. Other Elementary Services Occupations
E05013714,4346,274,160,2,29,29,20,11,0,15,54,114,0,39,7,68,572,125,12,25,83,2,3,166,26,9,131,127,127,154,14,61,13,46,2,3,15,479,60,29,3,28,75,17,58,42,42,83,53,16,14,219,2,10,78,64,0,65,557,440,118,121,65,111,25,117,117,465,33,33,119,7,36,17,58,1,173,114,52,7,140,10,9,108,13,626,502,215,4,283,124,32,37,35,20,471,389,354,11,24,82,72,10,290,68,7,19,7,35,222,188,10,24,612,46,0,35,11,566,58,168,112,43,45,140
E05013715,8208,1090,764,48,73,374,132,19,6,29,83,326,1,99,16,210,2551,475,44,84,311,13,23,423,239,63,121,502,502,1151,247,446,127,50,23,36,222,1626,89,29,9,51,95,24,71,46,46,458,331,100,27,938,3,34,451,299,0,151,845,593,141,156,85,150,61,252,252,390,17,17,92,3,20,38,28,3,109,70,39,0,172,10,11,133,18,522,342,159,5,178,180,77,50,35,18,434,347,281,37,29,87,67,20,192,74,7,24,14,29,118,103,7,8,558,31,1,18,12,527,44,134,93,15,32,209
E05013716,9479,985,592,32,68,243,63,24,0,31,131,393,1,129,19,244,2397,486,44,64,353,9,16,263,103,43,117,610,610,1038,134,399,126,91,34,29,225,2001,141,57,23,61,125,26,99,36,36,915,684,200,31,784,7,32,286,301,1,157,1006,755,169,196,131,183,76,251,251,580,25,25,130,5,26,25,70,4,171,120,46,5,254,14,15,193,32,761,497,208,12,277,264,101,73,44,46,642,492,434,37,21,150,128,22,208,74,9,22,18,25,134,121,7,6,899,38,5,19,14,861,73,199,127,20,46,396
E05013717,7504,681,376,18,55,107,26,23,2,58,87,305,2,93,19,191,1496,280,31,71,165,2,11,338,77,12,249,398,398,480,67,170,68,97,11,15,52,934,107,38,8,61,116,16,100,65,65,201,130,40,31,445,2,27,152,151,2,111,1086,805,204,230,105,218,48,281,281,745,21,21,230,8,45,42,132,3,273,172,90,11,221,12,15,176,18,738,550,261,5,284,188,50,72,44,22,733,584,506,37,41,149,125,24,379,100,16,30,11,43,279,246,13,20,712,36,1,20,15,676,93,182,122,27,50,202
E05013718,8013,873,538,20,68,238,50,26,1,49,86,335,1,94,21,219,2187,380,47,75,228,15,15,334,113,46,175,582,582,891,113,338,92,94,14,29,211,1525,160,41,20,99,127,39,88,52,52,574,439,106,29,612,0,20,188,260,2,142,947,690,170,186,103,166,65,257,257,567,29,29,132,9,21,23,76,3,186,134,45,7,220,21,11,161,27,592,441,237,8,196,151,58,45,34,14,463,367,305,28,34,96,84,12,269,80,10,13,8,49,189,155,17,17,590,30,1,20,9,560,67,135,98,23,22,215
E05013719,6565,477,264,5,35,74,19,12,2,29,88,213,0,84,7,122,1065,235,28,33,169,3,2,176,34,9,133,286,286,368,26,145,42,71,20,10,54,912,96,21,18,57,84,18,66,25,25,315,217,75,23,392,0,11,135,159,0,87,708,533,108,139,101,160,25,175,175,609,16,16,110,5,28,21,53,3,170,107,60,3,313,16,12,276,9,774,492,169,8,315,282,62,136,60,24,637,503,438,34,31,134,125,9,281,87,10,20,16,41,194,159,19,16,1102,54,4,24,26,1048,71,272,189,22,51,443
E05013720,6786,534,311,4,52,88,16,17,7,17,110,223,2,75,15,131,937,165,12,46,97,3,7,280,48,13,219,228,228,264,32,116,34,45,6,10,21,679,88,35,5,48,97,20,77,77,77,121,76,20,25,296,0,18,101,101,0,76,907,651,160,184,87,173,47,256,256,801,24,24,271,18,69,66,114,4,335,226,83,26,171,16,15,134,6,905,718,332,11,375,187,39,79,51,18,734,597,530,31,36,137,120,17,472,127,18,32,22,55,345,306,13,26,817,50,5,31,14,767,94,235,153,49,71,165
E05013721,5304,424,233,5,33,71,35,20,1,16,52,191,1,83,4,103,1029,290,29,40,214,5,2,171,66,9,96,147,147,421,41,225,40,38,6,8,63,804,86,20,23,43,75,20,55,28,28,166,111,40,15,449,0,27,187,154,3,78,562,421,66,166,56,108,25,141,141,411,14,14,91,2,19,21,47,2,101,66,31,4,205,6,8,168,23,571,337,136,0,201,234,54,88,57,35,407,320,286,18,16,87,77,10,262,81,10,24,17,30,181,157,9,15,834,41,2,17,22,793,58,223,130,17,39,326
E05013722,7698,796,501,25,74,221,40,19,3,31,88,295,1,89,13,192,2134,381,37,58,263,9,14,351,139,48,164,526,526,876,121,300,106,90,27,13,219,1485,113,37,20,56,121,39,82,48,48,605,465,99,41,598,1,24,197,250,2,124,853,640,183,163,93,156,45,213,213,532,29,29,109,4,10,23,70,2,174,116,49,9,220,10,17,164,29,619,414,211,10,193,205,80,69,33,23,455,348,284,37,27,107,92,15,245,83,13,21,16,33,162,143,2,17,579,28,2,21,5,551,48,144,120,17,32,190
E05013723,7053,668,413,16,84,126,56,25,5,22,79,255,1,88,33,133,1305,234,13,57,152,5,7,266,59,27,180,360,360,445,56,187,49,69,12,15,57,1042,115,46,5,64,104,33,71,94,94,193,129,33,31,536,5,35,204,174,1,117,1004,756,178,233,114,182,49,248,248,748,27,27,206,8,41,44,108,5,299,212,74,13,216,12,16,169,19,714,531,258,9,264,183,44,74,40,25,554,448,392,30,26,106,94,12,367,112,9,27,16,60,255,220,12,23,651,36,1,28,7,615,68,190,93,23,54,187
