OA11CD,Total,"1. Managers, directors and senior officials",2. Professional occupations,3. Associate professional and technical occupations,4. Administrative and secretarial occupations,5. Skilled trades occupations,"6. Caring, leisure and other service occupations",7. Sales and customer service occupations,8. Process plant and machine operatives,9. Elementary occupations
E00016403,145,9,29,20,11,14,24,10,9,19
E00016437,184,8,18,13,21,18,39,17,10,40
E00016439,157,5,24,20,15,13,25,10,15,30
E00016442,135,10,17,11,11,15,17,13,10,31
E00016399,158,3,18,12,23,14,25,25,3,35
E00016401,165,12,53,31,17,4,12,10,5,21
E00016406,112,9,21,9,14,6,13,13,7,20
E00016435,160,15,19,19,17,20,18,19,7,26
E00016395,152,7,31,11,12,19,13,16,10,33
E00016404,206,20,35,38,23,14,18,12,8,38
E00016405,200,22,43,30,22,16,14,16,8,29
E00016408,117,17,34,22,11,3,8,3,4,15
E00016410,219,24,41,46,21,16,11,13,7,40
E00016438,183,24,44,25,22,14,13,10,7,24
E00016398,130,7,34,20,14,8,13,7,8,19
E00016431,121,9,23,23,21,6,13,6,6,14
E00016432,199,10,54,35,24,16,22,13,6,19
E00016434,168,7,25,25,20,11,23,21,15,21
E00173943,155,16,36,26,19,5,13,14,6,20
E00173946,250,32,85,57,23,9,8,12,7,17
E00016397,331,26,96,88,41,15,9,18,8,30
E00016433,153,14,16,36,12,14,13,15,8,25
E00016436,101,7,17,23,12,10,13,6,4,9
E00016440,114,5,19,14,16,6,16,13,5,20
E00016441,206,14,36,36,20,9,21,23,14,33
E00016412,190,18,39,28,16,16,9,18,8,38
E00016414,150,7,15,12,18,20,21,22,6,29
E00016418,196,19,37,42,19,9,16,19,4,31
E00016422,111,4,15,9,9,17,22,7,5,23
E00016402,112,6,9,7,14,8,28,3,6,31
E00016407,146,15,39,20,16,5,12,11,6,22
E00016409,159,10,24,29,15,12,29,7,6,27
E00016411,210,19,60,26,23,12,20,17,6,27
E00016413,108,9,9,12,14,11,13,11,11,18
E00016415,130,14,21,7,13,21,12,7,9,26
E00016416,93,8,5,9,10,14,18,6,7,16
E00016419,137,11,17,9,14,22,21,9,2,32
E00016420,105,6,15,7,7,13,18,15,10,14
E00173947,126,1,14,16,12,9,22,25,3,24
E00173948,163,12,30,17,18,20,15,18,6,27
E00016417,116,8,18,8,10,11,23,15,4,19
E00016421,108,7,11,5,2,6,26,19,5,27
E00016423,122,8,15,11,14,11,15,16,6,26
E00016424,105,11,3,8,8,15,18,13,8,21
E00016427,72,1,7,3,4,5,17,9,9,17
E00016396,102,10,19,7,10,11,14,5,4,22
E00016426,138,8,19,19,11,6,24,13,10,28
E00016428,195,14,30,35,16,20,23,19,4,34
E00016429,140,15,45,30,14,7,4,7,3,15
E00016430,105,6,10,9,13,8,20,12,7,20
E00016680,147,11,21,25,16,15,11,25,6,17
E00016716,187,22,32,21,14,14,21,16,7,40
E00016717,112,10,20,14,11,7,9,10,7,24
E00016719,110,4,13,13,13,10,15,17,3,22
E00016720,170,18,27,19,15,13,17,17,10,34
E00016725,119,5,25,21,12,12,12,13,1,18
E00016706,103,9,15,11,10,8,17,8,6,19
E00016708,139,10,36,16,10,9,14,9,5,30
E00016709,187,15,29,37,10,15,28,23,6,24
E00016714,132,12,22,18,15,5,13,15,2,30
E00016715,180,19,28,51,22,8,10,17,4,21
E00016675,145,9,23,18,28,18,16,11,3,19
E00016677,201,25,40,15,19,13,21,29,4,35
E00016683,211,20,50,33,34,20,9,11,3,31
E00016697,143,7,23,16,13,12,23,18,9,22
E00173940,197,13,43,23,24,23,18,15,10,28
E00173949,266,28,69,25,28,23,26,22,8,37
E00016684,144,12,24,22,20,12,14,10,6,24
E00016687,116,21,26,14,18,11,11,3,2,10
E00016694,146,12,28,19,18,9,13,22,8,17
E00016718,98,2,12,9,9,15,15,14,5,17
E00016721,99,7,9,6,11,4,18,14,5,25
E00016723,117,5,8,15,12,6,22,12,6,31
