WD22CD_proposed,Total,"1. Managers, directors and senior officials",2. Professional occupations,3. Associate professional and technical occupations,4. Administrative and secretarial occupations,5. Skilled trades occupations,"6. Caring, leisure and other service occupations",7. Sales and customer service occupations,8. Process plant and machine operatives,9. Elementary occupations
E05013714,4346,274,572,479,557,465,626,471,290,612
E05013715,8208,1090,2551,1626,845,390,522,434,192,558
E05013716,9479,985,2397,2001,1006,580,761,642,208,899
E05013717,7504,681,1496,934,1086,745,738,733,379,712
E05013718,8013,873,2187,1525,947,567,592,463,269,590
E05013719,6565,477,1065,912,708,609,774,637,281,1102
E05013720,6786,534,937,679,907,801,905,734,472,817
E05013721,5304,424,1029,804,562,411,571,407,262,834
E05013722,7698,796,2134,1485,853,532,619,455,245,579
E05013723,7053,668,1305,1042,1004,748,714,554,367,651
E05013724,9243,859,2013,1511,1151,768,874,796,378,893
E05013725,8208,829,2067,1396,868,629,668,570,307,874
E05013726,7808,942,2215,1398,893,525,588,457,234,556
E05013727,2154,216,599,370,234,157,136,169,49,224
E05013728,4108,325,746,545,464,323,454,405,165,681
E05013729,9330,934,2341,1656,1110,771,770,642,418,688
E05013730,7913,658,1512,1129,964,740,899,694,407,910
E05013731,7692,789,1738,1272,941,622,760,536,323,711
E05013732,8645,783,1905,1711,931,649,852,573,304,937
