LSOA11CD,Employment and Support Allowance Caseload
E01003189,98.0
E01003190,91.0
E01003191,54.0
E01003192,111.0
E01003193,54.0
E01003194,73.0
E01003195,30.0
E01003196,75.0
E01003197,101.0
E01003198,43.0
E01003199,40.0
E01003200,12.0
E01003201,59.0
E01003202,12.0
E01003203,66.0
E01003204,52.0
E01003205,37.0
E01003206,37.0
E01003207,77.0
E01003209,52.0
E01003210,47.0
E01003211,51.0
E01003212,53.0
E01003213,24.0
E01003214,40.0
E01003215,16.0
E01003216,77.0
E01003217,27.0
E01003218,23.0
E01003219,37.0
E01003220,60.0
E01003221,77.0
E01003222,53.0
E01003223,31.0
E01003224,41.0
E01003225,11.0
E01003226,13.0
E01003227,18.0
E01003228,44.0
E01003229,69.0
E01003230,71.0
E01003231,39.0
E01003232,27.0
E01003233,34.0
E01003235,46.0
E01003236,77.0
E01003237,54.0
E01003238,65.0
E01003239,57.0
E01003240,73.0
E01003241,76.0
E01003243,56.0
E01003244,60.0
E01003245,61.0
E01003246,94.0
E01003247,44.0
E01003248,69.0
E01003249,75.0
E01003250,87.0
E01003251,62.0
E01003252,62.0
E01003253,48.0
E01003254,10.0
E01003255,38.0
E01003256,93.0
E01003257,40.0
E01003258,47.0
E01003259,41.0
E01003260,26.0
E01003261,40.0
E01003262,32.0
E01003263,49.0
E01003264,43.0
E01003265,49.0
E01003266,100.0
E01003267,70.0
E01003268,43.0
E01003269,52.0
E01003270,17.0
E01003271,11.0
E01003272,50.0
E01003273,16.0
E01003274,40.0
E01003275,75.0
E01003276,54.0
E01003277,43.0
E01003278,62.0
E01003279,34.0
E01003280,72.0
E01003281,34.0
E01003282,65.0
E01003283,26.0
E01003284,37.0
E01003285,6.0
E01003286,83.0
E01003287,30.0
E01003288,65.0
E01003290,110.0
E01003291,93.0
E01003292,38.0
E01003293,54.0
E01003295,65.0
E01003296,93.0
E01003297,30.0
E01003298,39.0
E01003299,66.0
E01003300,44.0
E01003301,34.0
E01003302,45.0
E01003303,44.0
E01003304,45.0
E01003305,75.0
E01003307,38.0
E01003308,64.0
E01003309,46.0
E01003310,83.0
E01003311,38.0
E01003312,40.0
E01003313,60.0
E01003314,44.0
E01003315,35.0
E01003316,18.0
E01003317,57.0
E01003318,140.0
E01003319,62.0
E01003320,65.0
E01003321,121.0
E01003322,42.0
E01003323,54.0
E01003324,49.0
E01003325,35.0
E01003326,39.0
E01003327,43.0
E01003328,71.0
E01003329,44.0
E01003330,44.0
E01003331,49.0
E01003332,50.0
E01003333,38.0
E01003334,101.0
E01003335,68.0
E01003336,66.0
E01003337,76.0
E01003338,79.0
E01003339,53.0
E01003340,25.0
E01003341,37.0
E01003342,29.0
E01003343,26.0
E01003344,42.0
E01003345,29.0
E01003346,61.0
E01003347,71.0
E01003348,45.0
E01003349,56.0
E01003350,46.0
E01003351,56.0
E01003352,72.0
E01003353,22.0
E01003354,38.0
E01032564,74.0
E01032565,77.0
E01032579,71.0
E01033320,50.0
E01033322,32.0
E01033324,58.0
E01033325,0.0
E01033327,50.0
E01033341,31.0
