LMK_KEY,ADDRESS1,ADDRESS2,ADDRESS3,POSTCODE,BUILDING_REFERENCE_NUMBER,CURRENT_OPERATIONAL_RATING,YR1_OPERATIONAL_RATING,YR2_OPERATIONAL_RATING,OPERATIONAL_RATING_BAND,ELECTRIC_CO2,HEATING_CO2,RENEWABLES_CO2,PROPERTY_TYPE,INSPECTION_DATE,LOCAL_AUTHORITY,CONSTITUENCY,COUNTY,LODGEMENT_DATE,MAIN_BENCHMARK,MAIN_HEATING_FUEL,OTHER_FUEL,SPECIAL_ENERGY_USES,RENEWABLE_SOURCES,TOTAL_FLOOR_AREA,ANNUAL_THERMAL_FUEL_USAGE,TYPICAL_THERMAL_FUEL_USAGE,ANNUAL_ELECTRICAL_FUEL_USAGE,TYPICAL_ELECTRICAL_FUEL_USAGE,RENEWABLES_FUEL_THERMAL,RENEWABLES_ELECTRICAL,YR1_ELECTRICITY_CO2,YR2_ELECTRICITY_CO2,YR1_HEATING_CO2,YR2_HEATING_CO2,YR1_RENEWABLES_CO2,YR2_RENEWABLES_CO2,AIRCON_PRESENT,AIRCON_KW_RATING,ESTIMATED_AIRCON_KW_RATING,AC_INSPECTION_COMMISSIONED,BUILDING_ENVIRONMENT,BUILDING_CATEGORY,ADDRESS,LOCAL_AUTHORITY_LABEL,CONSTITUENCY_LABEL,POSTTOWN,NOMINATED_DATE,OR_ASSESSMENT_END_DATE,LODGEMENT_DATETIME,OCCUPANCY_LEVEL
1038290142009030410051800700710,,Chesterman House,"334-336, New Cross Road",SE14 6AG,917039700000,50,,,B,71,57,,Long term residential,2008-09-30,E09000023,E14000789,Greater London Authority,2009-03-04,Long term residential,Natural Gas,,Not applicable,Not applicable,2308,127,392,56,65,0,0,,,,,,,,,,,Heating and Natural Ventilation,S7;,"Chesterman House, 334-336, New Cross Road",Lewisham,"Lewisham, Deptford",LONDON,2008-09-01,2008-07-31,2009-03-04 10:05:18,
33244461022016021512432092990721,JOO,Lewisham Hospital,Lewisham High Street,SE13 6LH,299964220011,133,181,246,F,117,63,0,General Office,2016-01-13,E09000023,E14000789,Greater London Authority,2016-02-15,General Office,Natural Gas,,,,1849.15,175,108,115,95,0,0,146,203,101,144,0,0,No,,,4,Heating and Natural Ventilation,C1;,"JOO, Lewisham Hospital, Lewisham High Street",Lewisham,"Lewisham, Deptford",LONDON,2015-03-31,2015-03-31,2016-02-15 12:43:20,Standard Occupancy
5619750032020091117573900000725,,Bellingham Leisure Centre,14a Randlesdown Road,SE6 3BT,558074030000,50,53,54,B,107,93,0,Dry Sports And Leisure Facility; Fitness And Health Centre,2020-09-10,E09000023,E14000788,Greater London Authority,2020-09-11,Dry Sports And Leisure Facility,Natural Gas,,,,2771,174,360,71,139,0,0,117,130,101,89,0,0,Yes,,2,3,Heating and Mechanical Ventilation,H8; H7;,"Bellingham Leisure Centre, 14a Randlesdown Road",Lewisham,Lewisham West and Penge,LONDON,2020-04-01,2020-01-31,2020-09-11 17:57:39,Extended Occupancy
11259390962011102711120237200750,,Granville Park Centre,48 Granville Park,SE13 7DX,537292740000,60,62,53,C,44,21,0,Schools and seasonal public buildings,2011-10-23,E09000023,E14000787,Greater London Authority,2011-10-27,Schools and seasonal public buildings,Natural Gas,,,,1526,71,185,53,65,0,0,45,45,24,20,0,0,Yes,,1,4,Heating and Natural Ventilation,S3;,"Granville Park Centre, 48 Granville Park",Lewisham,Lewisham East,LONDON,2011-10-23,2011-09-15,2011-10-27 11:12:02,Extended Occupancy
18683740962013120411363993020750,,Rushey Green Primary School,32-36 Culverley Road,SE6 2LA,592544370000,133,129,118,F,114,67,0,Schools And Seasonal Public Buildings,2011-12-03,E09000023,E14000787,Greater London Authority,2013-12-04,Schools And Seasonal Public Buildings,Natural Gas,,,,2631,131,152,79,40,0,0,104,91,63,64,0,0,Yes,,2,4,Mixed-mode with Natural Ventilation,S3;,"Rushey Green Primary School, 32-36 Culverley Road",Lewisham,Lewisham East,LONDON,2013-12-31,2013-10-31,2013-12-04 11:36:39,Standard Occupancy
25649180962011012510410250220750,,Crossways Sixth Form,Sprules Road,SE4 2NL,550188050000,84,,,D,234,74,0,University Campus,2010-12-23,E09000023,E14000789,Greater London Authority,2011-01-25,University Campus,Natural Gas,,n/a,PV Panels situated on roof.,4058,94,238,105,80,0,0,,,,,,,Yes,,2,3,Air Conditioning,S4;,"Crossways Sixth Form, Sprules Road",Lewisham,"Lewisham, Deptford",LONDON,2010-09-30,2010-09-28,2011-01-25 10:41:02,Standard Occupancy
6742910022016052513041863050760,,Adamsrill Primary School,Adamsrill Road,SE26 4AQ,667510390000,119,,,E,64,49,0,Schools And Seasonal Public Buildings,2016-05-03,E09000023,E14000788,Greater London Authority,2016-05-25,Schools And Seasonal Public Buildings,Natural Gas,,N/A,None,1936,130,138,60,40,0,0,,,,,,,No,,,4,Heating and Natural Ventilation,S3;,"Adamsrill Primary School, Adamsrill Road",Lewisham,Lewisham West and Penge,LONDON,2015-12-17,2015-09-17,2016-05-25 13:04:18,Standard Occupancy
7708670062020030310024586290760,,St. Marys C of E School,Lewisham High Street,SE13 6NX,685076630000,240,,,G,40,59,0,Schools And Seasonal Public Buildings,2020-01-23,E09000023,E14000789,Greater London Authority,2020-03-03,Schools And Seasonal Public Buildings,Natural Gas,,,,843,360,137,86,40,0,0,,,,,,,Yes,,1,4,Heating and Natural Ventilation,S3;,"St. Marys C of E School, Lewisham High Street",Lewisham,"Lewisham, Deptford",LONDON,2020-04-01,2020-01-01,2020-03-03 10:02:45,Standard Occupancy
7137780032010051417320448000298,,Watergate School,Lushington Road,SE6 3WG,888828120000,86,99,,D,120,79,0,Schools And Seasonal Public Buildings; Swimming Pool Centre,2010-05-14,E09000023,E14000788,Greater London Authority,2010-05-14,Schools And Seasonal Public Buildings,Natural Gas,,,,3987,103,170,55,45,0,0,129,,90,,0,,Yes,,2,3,Heating and Natural Ventilation,S3; H6;,"Watergate School, Lushington Road",Lewisham,Lewisham West and Penge,LONDON,2009-11-29,2009-09-04,2010-05-14 17:32:04,
2317710922012112118201727900320,,Lewisham Primary Care N H S Trust,"Lee Health Centre, 2 Handen Road",SE12 8NP,228615710000,102,107,,E,54,35,0,Clinic,2012-10-17,E09000023,E14000787,Greater London Authority,2012-11-21,Clinic,Natural Gas,,,,1179,154,183,84,71,0,0,61,,36,,0,,No,,,4,Heating and Mechanical Ventilation,S5;,"Lewisham Primary Care N H S Trust, Lee Health Centre, 2 Handen Road",Lewisham,Lewisham East,LONDON,2012-10-31,2012-08-31,2012-11-21 18:20:17,Extended Occupancy
33243460022018080814365692070321,AOO,Lewisham Hospital,Lewisham High Street,SE13 6LH,299964220001,93,112,119,D,955,522,0,Hospital - Clinical And Research,2018-03-07,E09000023,E14000789,Greater London Authority,2018-08-08,Hospital - Clinical And Research,Natural Gas,,,,12643.31,213,394,137,90,0,0,1267,1239,512,575,0,0,Yes,,2,3,Heating and Mechanical Ventilation,S6;,"AOO, Lewisham Hospital, Lewisham High Street",Lewisham,"Lewisham, Deptford",LONDON,2018-03-31,2018-03-31,2018-08-08 14:36:56,Standard Occupancy
5246760922008112814444293290350,,London Borough of Lewisham,"Capital House, 47 Rushey Green",SE6 4AS,590963350000,113,,,E,100,55,,General office,2008-11-27,E09000023,E14000787,Greater London Authority,2008-11-28,General office,Natural Gas,,Not applicable,Not applicable,1790,159,114,102,100,0,0,,,,,,,,,,,Heating and Natural Ventilation,C1;,"London Borough of Lewisham, Capital House, 47 Rushey Green",Lewisham,Lewisham East,LONDON,,2008-08-29,2008-11-28 14:44:42,
27283780022013092711481060210360,,Forest Hill Secondary School,Dacres Road,SE23 2XN,664287090000,121,123,117,E,387,300,0,Schools And Seasonal Public Buildings,2013-09-27,E09000023,E14000788,Greater London Authority,2013-09-27,Schools And Seasonal Public Buildings,Natural Gas,,,,10837.66,143,156,65,40,0,0,418,380,228,254,0,0,Yes,,2,3,Heating and Mechanical Ventilation,S3;,"Forest Hill Secondary School, Dacres Road",Lewisham,Lewisham West and Penge,LONDON,2013-07-30,2013-06-01,2013-09-27 11:48:10,Standard Occupancy
25347016032017011614124490900493,,Drumbeat School (Brockley),Revelon Road,SE4 2PR,137045210000,135,173,161,F,68,41,0,Schools And Seasonal Public Buildings,2016-11-01,E09000023,E14000789,Greater London Authority,2017-01-16,Schools And Seasonal Public Buildings,Natural Gas,,,,1692.99,124,132,73,40,0,0,57,42,80,81,0,0,Yes,,2,3,Heating and Natural Ventilation,S3;,"Drumbeat School (Brockley), Revelon Road",Lewisham,"Lewisham, Deptford",LONDON,2016-09-30,2016-07-25,2017-01-16 14:12:44,Standard Occupancy
29121021032019120215324026900494,,St. Josephs RC School,Crossfield Street,SE8 3PH,243646640000,98,110,106,D,40,47,0,Schools And Seasonal Public Buildings,2019-12-02,E09000023,E14000789,Greater London Authority,2019-12-02,Schools And Seasonal Public Buildings,Natural Gas,,,,1847,132,134,39,40,0,0,52,51,49,44,0,0,No,,,4,Heating and Natural Ventilation,S3;,"St. Josephs RC School, Crossfield Street",Lewisham,"Lewisham, Deptford",LONDON,2019-12-01,2019-10-01,2019-12-02 15:32:40,Standard Occupancy
29121025032015051216514476000494,,St. Josephs RC School,Crossfield Street,SE8 3PH,243646640000,63,141,97,C,36,19,0,Schools And Seasonal Public Buildings,2015-03-23,E09000023,E14000789,Greater London Authority,2015-05-12,Schools And Seasonal Public Buildings,Natural Gas,,,,1847,53,131,36,40,0,0,54,41,79,45,0,0,No,,,4,Heating and Natural Ventilation,S3;,"St. Josephs RC School, Crossfield Street",Lewisham,"Lewisham, Deptford",LONDON,2014-12-01,2014-10-31,2015-05-12 16:51:44,Standard Occupancy
24400868232019012412052007900494,DAVIDSON BUILDING,Haberdashers Askes Hatcham College,135 Pepys Road,SE14 5SF,640743650002,139,146,143,F,51,28,0,Schools And Seasonal Public Buildings,2018-12-30,E09000023,E14000789,Greater London Authority,2019-01-24,Schools And Seasonal Public Buildings,Natural Gas,,,,1146.09,126,142,81,40,0,0,53,50,28,27,0,0,Yes,,1,4,Heating and Natural Ventilation,S3;,"DAVIDSON BUILDING, Haberdashers Askes Hatcham College, 135 Pepys Road",Lewisham,"Lewisham, Deptford",LONDON,2018-12-30,2018-10-31,2019-01-24 12:05:20,Standard Occupancy
73070942032012112118420085900495,,Waldron Health Centre,Amersham Vale,SE14 6LD,457542690000,83,,,D,195,159,0,Clinic,2012-10-18,E09000023,E14000789,Greater London Authority,2012-11-21,Clinic,Natural Gas,,,,5796.39,141,182,61,70,0,0,,,,,,,Yes,,2,3,Heating and Mechanical Ventilation,S5;,"Waldron Health Centre, Amersham Vale",Lewisham,"Lewisham, Deptford",LONDON,2012-10-31,2012-08-31,2012-11-21 18:42:00,Standard Occupancy
25364440962016112219190740990520,,Fairlawn Primary School,Honor Oak Road,SE23 3SB,248848010000,162,154,128,G,51,98,0,Schools And Seasonal Public Buildings,2016-11-15,E09000023,E14000788,Greater London Authority,2016-11-22,Schools And Seasonal Public Buildings,Natural Gas,,,,1932,262,132,48,40,0,0,50,57,94,61,0,0,Yes,,2,4,Heating and Natural Ventilation,S3;,"Fairlawn Primary School, Honor Oak Road",Lewisham,Lewisham West and Penge,LONDON,2016-10-29,2016-07-31,2016-11-22 19:19:07,Standard Occupancy
33243760062019061916161692060524,DOC,Lewisham Hospital,Lewisham High Street,SE13 6LH,299964220004,107,93,75,E,96,50,0,Hospital - Clinical And Research,2019-06-05,E09000023,E14000789,Greater London Authority,2019-06-19,Hospital - Clinical And Research,Natural Gas,,,,1118.72,229,370,156,90,0,0,84,61,46,45,0,0,Yes,,2,3,Heating and Mechanical Ventilation,S6;,"DOC, Lewisham Hospital, Lewisham High Street",Lewisham,"Lewisham, Deptford",LONDON,2019-03-31,2019-03-31,2019-06-19 16:16:16,Standard Occupancy
33244961022010033010270492070526,VOO,Lewisham Hospital,Lewisham High Street,SE13 6LH,299964220016,186,,,G,95,63,0,General Office; Storage Facility,2010-03-05,E09000023,E14000789,Greater London Authority,2010-03-30,General Office,Natural Gas,,Not applicable,Not applicable,1199,270,118,144,87,0,0,,,,,,,Yes,,2,5,Air Conditioning,C1; W4;,"VOO, Lewisham Hospital, Lewisham High Street",Lewisham,"Lewisham, Deptford",LONDON,2010-03-30,2010-01-01,2010-03-30 10:27:04,
