PAYBACK_TYPE,LMK_KEY,RECOMMENDATION_ITEM,RECOMMENDATION_CODE,RECOMMENDATION,CO2_IMPACT
MEDIUM,1038290142009030410051800700710,1,X3,Consider implementing regular inspections of the building fabric to check on the condition of insulation and sealing measures and removal of accidental ventilation paths.,MEDIUM
LONG,1038290142009030410051800700710,1,X13,"Engage experts to review the building lighting strategies and propose alterations and/or upgrades to daylighting provisions, luminaries and their control systems and an implementation plan.",MEDIUM
SHORT,1038290142009030410051800700710,1,BF6,"Consider how building fabric airtightness could be improved, for example sealing, draught stripping and closing off unused ventilation openings, chimneys etc.",MEDIUM
SHORT,1038290142009030410051800700710,2,CON10,Seek to minimise simultaneous operation of heating and cooling systems.,MEDIUM
LONG,1038290142009030410051800700710,2,X14,"Engage experts to review the HWS systems provisions and propose remedial works, upgrades and/or alternative provisions to improve effectiveness and efficiency and plan for implementation.",MEDIUM
MEDIUM,1038290142009030410051800700710,2,BF5,Consider applying reflective coating to windows and/or fit shading devices to reduce unwanted solar gain.,LOW
LONG,1038290142009030410051800700710,3,AE4,Consider installing building mounted photovoltaic electricity generating panels.,HIGH
MEDIUM,1038290142009030410051800700710,3,BF22,Consider engaging experts to review the condition of the building fabric and propose measures to improve energy performance.  This might include building pressure tests for air tightness and thermography tests for insulation continuity.,MEDIUM
SHORT,1038290142009030410051800700710,3,X6,"Ensure natural ventilation flow is operating as designed i.e. ensure window, vents and grilles are operable and free from obstructions and partitions do not prevent cross flow.",LOW
SHORT,1038290142009030410051800700710,4,HS17,If stratification occurs consider re-circulating the air during heating.,LOW
LONG,1038290142009030410051800700710,4,AE3,Consider installing building mounted solar water heating.,HIGH
MEDIUM,1038290142009030410051800700710,4,HW19,Engage experts to propose specific measures to reduce hot water wastage and plan to carry this out.,MEDIUM
SHORT,1038290142009030410051800700710,5,SP24,Enable power save settings and power down management on computers and associated equipment.,LOW
SHORT,1038290142009030410051800700710,6,SP14,Consider with experts implementation of an energy efficient equipment procurement regime that will upgrade existing equipment and renew in a planned cost-effective programme.,LOW
MEDIUM,25649180962011012510410250220750,1,HW19,Engage experts to propose specific measures to reduce hot water wastage and plan to carry this out.,MEDIUM
OTHER,25649180962011012510410250220750,1,None,The current metering provisions do not enable the electricity generated from the roof mounted photovoltaic panels to be included in the Operational Rating for this building.  Consider implementing a regime for recording of this data.  CIBSE TM39 gives guidance on this.,LOW
SHORT,25649180962011012510410250220750,1,CON18,Consider upgrading major time controls to include optimum start/stop.,MEDIUM
LONG,25649180962011012510410250220750,1,AE3,Consider installing building mounted solar water heating.,HIGH
LONG,25649180962011012510410250220750,2,AE6,Consider installing a ground source heat pump.,HIGH
OTHER,25649180962011012510410250220750,2,None,"It was pleasing to see that automatic light controls having been installed in the washrooms, and that the corridor lighting is operated on timers.  Consider extending these systems so that individual rooms such as classrooms and offices are included.",MEDIUM
SHORT,25649180962011012510410250220750,2,CA24,Consider installing heat recovery to catering refrigeration condensers in order to aid with HWS generation or to heat room air.,LOW
LONG,25649180962011012510410250220750,3,AE10,Consider a small scale Tri-Generation system as an alternative to conventional separate boiler and chiller systems.,HIGH
SHORT,25649180962011012510410250220750,3,CA23,"Ensure catering equipment such as large ovens and dishwashers are utilised at maximum capacity, and/or install smaller capacity appliances to increase operational flexibility.",LOW
SHORT,25649180962011012510410250220750,4,X27,"Consider with chefs and kitchens managers implementing an energy efficiency plan including maintenance and servicing provisions and operational targets, monitoring and incentives.",MEDIUM
SHORT,25649180962011012510410250220750,5,X20,Consider a programme of fitting energy meters to kitchen facilities as part of the service and maintenance regime.,LOW
SHORT,25649180962011012510410250220750,6,X9,Engage experts to assess the air conditioning systems in accordance with CIBSE TM 44.  (This could be an appropriate opportunity to engage an accredited energy Assessor to undertake an inspection in compliance with the EPB Regulations SI 2007/991 as amended.),MEDIUM
LONG,6742910022016052513041863050760,1,BF2,Consider introducing or improving insulation of flat roofs.,MEDIUM
SHORT,6742910022016052513041863050760,1,OM15,"It is recommended that energy management techniques are introduced.  These could include efforts to gain building users commitment to save energy, allocating responsibility for energy to a specific person (champion), setting targets and monitoring.",MEDIUM
