PAYBACK_TYPE,LMK_KEY,RECOMMENDATION_ITEM,RECOMMENDATION_CODE,RECOMMENDATION,CO2_IMPACT
SHORT,106522735032015110212484186900190,1,EPC-L2,Replace tungsten GLS lamps with CFLs: Payback period dependent on hours of use.,LOW
LONG,106522735032015110212484186900190,1,EPC-H6,Add local temperature control to the heating system.,MEDIUM
MEDIUM,106522735032015110212484186900190,1,EPC-H2,Add time control to heating system.,LOW
MEDIUM,106522735032015110212484186900190,2,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
LONG,106522735032015110212484186900190,2,EPC-H8,Add weather compensation controls to heating system.,MEDIUM
SHORT,106522735032015110212484186900190,2,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,HIGH
MEDIUM,106522735032015110212484186900190,3,EPC-C1,The default chiller efficiency is chosen. It is recommended that the chiller system be investigated to gain an understanding of its efficiency and possible improvements.,LOW
LONG,106522735032015110212484186900190,3,EPC-H5,Add local time control to heating system.,LOW
SHORT,106522735032015110212484186900190,3,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
LONG,106522735032015110212484186900190,4,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
MEDIUM,106522735032015110212484186900190,4,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,MEDIUM
LONG,106522735032015110212484186900190,5,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,MEDIUM
LONG,106525835032015110212372986900098,1,EPC-H2,Add time control to heating system.,LOW
SHORT,106525835032015110212372986900098,1,EPC-L2,Replace tungsten GLS lamps with CFLs: Payback period dependent on hours of use.,LOW
LONG,106525835032015110212372986900098,2,EPC-C1,The default chiller efficiency is chosen. It is recommended that the chiller system be investigated to gain an understanding of its efficiency and possible improvements.,LOW
SHORT,106525835032015110212372986900098,2,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,HIGH
LONG,106525835032015110212372986900098,3,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
SHORT,106525835032015110212372986900098,3,EPC-V1,"In some spaces, the solar gain limit in criterion 3 of ADL2A 2010 is exceeded, which might cause overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.",MEDIUM
LONG,106525835032015110212372986900098,4,EPC-W1,Install more efficient water heater.,LOW
SHORT,106525835032015110212372986900098,4,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
LONG,106525835032015110212372986900098,5,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,MEDIUM
LONG,106531637012018080921472709009433,1,EPC-H1,Consider replacing heating boiler plant with high efficiency type.,HIGH
MEDIUM,106531637012018080921472709009433,1,EPC-H2,Add time control to heating system.,LOW
OTHER,106531637012018080921472709009433,1,USER,Insert Recommendation here,LOW
SHORT,106531637012018080921472709009433,1,EPC-L1,Replace 38mm diameter (T12) fluorescent tubes on failure with 26mm (T8) tubes.,HIGH
SHORT,106531637012018080921472709009433,2,EPC-L2,Replace tungsten GLS lamps with CFLs: Payback period dependent on hours of use.,LOW
LONG,106531637012018080921472709009433,2,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
LONG,106531637012018080921472709009433,3,EPC-H4,The default heat generator efficiency is chosen. It is recommended that the heat generator system be investigated to gain an understanding of its efficiency and possible improvements.,HIGH
SHORT,106531637012018080921472709009433,3,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,LOW
SHORT,106531637012018080921472709009433,4,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
LONG,106531637012018080921472709009433,4,EPC-W3,Improve insulation on HWS storage.,LOW
LONG,106531637012018080921472709009433,5,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,HIGH
LONG,106591360922015110416384526090290,1,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
SHORT,106591360922015110416384526090290,1,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,HIGH
LONG,106591360922015110416384526090290,2,EPC-R3,Consider installing solar water heating.,LOW
SHORT,106591360922015110416384526090290,2,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
LONG,106591360922015110416384526090290,3,EPC-R4,Consider installing PV.,LOW
LONG,106591360922015110416384526090290,4,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",LOW
LONG,106591360922015110416384526090290,5,EPC-R5,Consider installing an air source heat pump.,HIGH
LONG,106604420012015110412004108909340,1,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",LOW
LONG,106604420012015110412004108909340,2,EPC-R5,Consider installing an air source heat pump.,HIGH
LONG,106604420012015110412004108909340,3,EPC-R3,Consider installing solar water heating.,LOW
LONG,106604420012015110412004108909340,4,EPC-R4,Consider installing PV.,LOW
SHORT,106911730922015120106110223990340,1,EPC-L2,Replace tungsten GLS lamps with CFLs: Payback period dependent on hours of use.,LOW
MEDIUM,106911730922015120106110223990340,1,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
LONG,106911730922015120106110223990340,1,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,MEDIUM
MEDIUM,106911730922015120106110223990340,2,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
LONG,106911730922015120106110223990340,2,EPC-R5,Consider installing an air source heat pump.,HIGH
SHORT,106911730922015120106110223990340,2,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,HIGH
LONG,106911730922015120106110223990340,3,EPC-R1,Consider installing a ground source heat pump.,HIGH
