LSOA11CD,All categories: Ethnic group,White,White: English/Welsh/Scottish/Northern Irish/British,White: Irish,White: Gypsy or Irish Traveller,White: Other White,Mixed,Mixed/multiple ethnic group: White and Black Caribbean,Mixed/multiple ethnic group: White and Black African,Mixed/multiple ethnic group: White and Asian,Mixed/multiple ethnic group: Other Mixed,Asian,Asian/Asian British: Indian,Asian/Asian British: Pakistani,Asian/Asian British: Bangladeshi,Asian/Asian British: Chinese,Asian/Asian British: Other Asian,Black,Black/African/Caribbean/Black British: African,Black/African/Caribbean/Black British: Caribbean,Black/African/Caribbean/Black British: Other Black,Other,Other ethnic group: Arab,Other ethnic group: Any other ethnic group
E01003189,1670,877,738,29,2,108,102,48,12,14,28,120,19,5,8,9,79,518,251,187,80,53,16,37
E01003190,1878,712,544,20,1,147,214,109,60,5,40,145,33,4,1,16,91,742,348,267,127,65,25,40
E01003191,1494,743,601,27,1,114,140,65,15,7,53,63,7,0,1,17,38,518,196,205,117,30,6,24
E01003192,1639,817,652,25,7,133,101,62,16,6,17,129,12,11,4,27,75,578,256,225,97,14,4,10
E01003193,1568,890,743,32,6,109,97,52,14,7,24,72,17,3,6,17,29,494,173,243,78,15,2,13
E01003194,1678,797,646,18,1,132,122,56,16,6,44,114,23,2,12,19,58,587,223,258,106,58,2,56
E01003195,1547,697,550,13,0,134,110,58,11,11,30,114,15,9,1,5,84,599,193,314,92,27,1,26
E01003196,1673,856,738,17,5,96,114,58,28,10,18,116,8,9,6,6,87,514,204,225,85,73,13,60
E01003197,1628,805,727,21,1,56,114,55,17,18,24,157,21,11,11,19,95,528,220,207,101,24,0,24
E01003198,1461,1117,944,38,1,134,75,31,5,27,12,55,16,5,3,12,19,198,84,81,33,16,1,15
E01003199,1728,1328,1067,55,0,206,94,31,18,28,17,148,71,6,0,42,29,139,59,59,21,19,0,19
E01003200,1553,1319,1121,37,0,161,60,21,5,15,19,106,27,7,0,33,39,34,11,18,5,34,7,27
E01003201,1664,1031,798,41,0,192,148,64,25,27,32,99,30,2,1,39,27,343,125,155,63,43,8,35
E01003202,1559,1320,1065,42,1,212,62,20,7,17,18,118,33,7,11,29,38,49,30,12,7,10,5,5
E01003203,1769,1119,807,52,0,260,99,49,11,6,33,160,40,1,6,51,62,353,183,129,41,38,13,25
E01003204,1391,919,752,27,1,139,87,29,18,10,30,97,11,7,6,30,43,255,120,89,46,33,8,25
E01003205,1332,478,377,26,1,74,107,66,18,6,17,148,19,8,9,51,61,561,280,175,106,38,12,26
E01003206,1582,1166,930,23,0,213,101,37,5,13,46,102,20,3,7,36,36,152,36,57,59,61,6,55
E01003207,1399,596,444,25,2,125,85,43,18,8,16,154,13,3,23,59,56,524,346,134,44,40,9,31
E01003209,2007,925,624,69,5,227,202,109,40,26,27,139,13,10,11,34,71,654,283,235,136,87,7,80
E01003210,1746,1113,800,43,3,267,110,42,15,22,31,133,18,8,14,22,71,369,196,102,71,21,6,15
E01003211,1566,1037,793,27,4,213,123,45,28,23,27,74,16,7,0,22,29,306,114,128,64,26,9,17
E01003212,1976,1116,861,43,1,211,150,50,24,35,41,108,12,3,5,42,46,547,195,266,86,55,5,50
E01003213,1938,1274,927,50,2,295,135,41,15,25,54,139,30,8,13,46,42,365,134,177,54,25,8,17
E01003214,1772,921,703,39,0,179,152,65,27,14,46,100,33,1,13,6,47,561,222,260,79,38,15,23
E01003215,1950,1052,721,41,3,287,159,37,19,68,35,300,26,23,12,122,117,380,206,115,59,59,40,19
E01003216,1875,830,605,29,1,195,160,73,20,21,46,191,27,34,1,29,100,631,192,347,92,63,12,51
E01003217,1670,671,544,20,1,106,140,71,29,16,24,194,26,7,5,31,125,619,132,390,97,46,0,46
E01003218,1498,703,561,47,9,86,94,24,33,7,30,127,37,8,18,5,59,527,113,325,89,47,2,45
E01003219,1647,679,524,42,0,113,110,44,21,17,28,189,38,17,9,12,113,620,160,388,72,49,3,46
E01003220,1554,735,575,22,0,138,127,65,15,18,29,112,23,12,7,14,56,506,151,276,79,74,1,73
E01003221,1962,835,598,29,0,208,213,85,39,27,62,220,36,20,10,26,128,666,198,350,118,28,4,24
E01003222,1632,707,576,30,0,101,123,57,26,11,29,139,14,4,1,30,90,644,163,383,98,19,7,12
E01003223,1715,778,567,42,0,169,124,50,10,22,42,213,36,44,6,21,106,557,150,295,112,43,6,37
E01003224,1661,731,545,28,4,154,138,68,19,12,39,147,29,3,14,8,93,601,131,366,104,44,9,35
E01003225,1507,968,770,45,0,153,98,46,14,15,23,111,25,23,4,24,35,295,72,175,48,35,8,27
E01003226,1742,1153,896,37,0,220,131,54,16,21,40,153,26,10,12,41,64,284,98,137,49,21,1,20
