OA11CD,Rural Urban,All categories: Ethnic group,White,White: English/Welsh/Scottish/Northern Irish/British,White: Irish,White: Gypsy or Irish Traveller,White: Other White,Mixed,Mixed/multiple ethnic group: White and Black Caribbean,Mixed/multiple ethnic group: White and Black African,Mixed/multiple ethnic group: White and Asian,Mixed/multiple ethnic group: Other Mixed,Asian,Asian/Asian British: Indian,Asian/Asian British: Pakistani,Asian/Asian British: Bangladeshi,Asian/Asian British: Chinese,Asian/Asian British: Other Asian,Black,Black/African/Caribbean/Black British: African,Black/African/Caribbean/Black British: Caribbean,Black/African/Caribbean/Black British: Other Black,Other,Other ethnic group: Arab,Other ethnic group: Any other ethnic group
E00016403,Total,366,90,51,2,0,37,29,5,13,3,8,46,5,0,3,15,23,192,144,33,15,9,3,6
E00016437,Total,538,155,100,8,0,47,38,12,12,5,9,81,12,4,0,31,34,251,161,55,35,13,6,7
E00016439,Total,371,139,80,9,4,46,16,3,7,0,6,23,2,0,0,6,15,185,110,34,41,8,0,8
E00016442,Total,354,81,47,5,0,29,32,9,9,2,12,47,3,2,7,7,28,184,142,20,22,10,3,7
E00016399,Total,466,164,132,7,0,25,38,11,17,1,9,55,8,10,0,9,28,200,133,36,31,9,2,7
E00016401,Total,342,133,89,2,0,42,25,8,5,3,9,50,5,1,0,29,15,118,74,30,14,16,2,14
E00016406,Total,333,96,74,1,0,21,32,8,14,3,7,39,2,0,6,13,18,153,95,33,25,13,9,4
E00016435,Total,418,181,133,8,0,40,40,16,10,7,7,69,1,3,5,25,35,120,59,42,19,8,5,3
E00016395,Total,284,146,100,6,0,40,15,7,5,0,3,31,3,0,4,9,15,85,58,18,9,7,7,0
E00016404,Total,368,207,121,8,1,77,25,10,8,4,3,83,17,3,0,32,31,44,23,17,4,9,5,4
E00016405,Total,301,182,92,5,0,85,12,2,3,5,2,63,8,1,2,25,27,37,15,10,12,7,3,4
E00016408,Total,148,98,66,7,0,25,14,5,3,0,6,14,3,2,0,7,2,12,12,0,0,10,8,2
E00016410,Total,329,222,140,12,0,70,29,6,12,9,2,52,6,0,0,26,20,20,12,7,1,6,2,4
E00016438,Total,243,150,59,7,0,84,7,1,1,1,4,50,10,3,2,17,18,24,13,9,2,12,4,8
E00016398,Total,255,129,109,4,0,16,25,9,10,0,6,16,1,0,0,2,13,85,46,28,11,0,0,0
E00016431,Total,237,125,90,3,1,31,21,10,7,0,4,12,1,0,0,1,10,60,34,23,3,19,4,15
E00016432,Total,349,208,142,7,0,59,16,4,5,0,7,70,11,2,0,29,28,45,29,14,2,10,6,4
E00016434,Total,407,102,66,0,1,35,30,17,3,3,7,51,1,1,8,27,14,211,144,53,14,13,1,12
E00173943,Total,349,170,115,6,0,49,27,14,3,1,9,13,0,0,0,8,5,127,61,50,16,12,0,12
E00173946,Total,331,210,99,3,0,108,24,8,3,6,7,67,9,1,0,44,13,24,11,11,2,6,3,3
E00016397,Total,483,238,136,7,0,95,33,5,1,8,19,133,19,2,5,79,28,76,53,13,10,3,2,1
E00016433,Total,297,179,133,5,0,41,13,10,2,0,1,33,5,0,0,23,5,66,34,21,11,6,3,3
E00016436,Total,206,74,40,2,1,31,18,12,5,1,0,22,0,0,0,16,6,87,54,30,3,5,0,5
E00016440,Total,332,81,49,4,0,28,12,6,0,2,4,43,0,0,0,15,28,192,149,17,26,4,3,1
E00016441,Total,437,181,105,6,2,68,25,12,1,2,10,41,1,3,0,26,11,183,126,38,19,7,2,5
E00016412,Total,347,151,92,7,0,52,17,9,0,0,8,67,10,2,0,41,14,109,46,40,23,3,0,3
E00016414,Total,341,126,86,3,0,37,28,10,7,7,4,41,1,5,0,20,15,137,71,49,17,9,0,9
E00016418,Total,403,163,124,3,0,36,40,15,9,2,14,55,10,0,4,24,17,137,74,49,14,8,0,8
E00016422,Total,348,81,64,4,0,13,14,4,1,4,5,52,0,1,0,27,24,186,109,46,31,15,0,15
E00016402,Total,305,108,89,1,0,18,20,5,3,0,12,32,0,2,1,12,17,141,110,24,7,4,3,1
E00016407,Total,254,104,49,2,0,53,19,8,2,3,6,42,10,0,3,16,13,78,55,13,10,11,4,7
E00016409,Total,388,108,71,3,0,34,36,19,3,4,10,80,0,1,2,25,52,153,98,38,17,11,0,11
E00016411,Total,373,182,120,6,0,56,15,8,2,0,5,54,13,0,6,17,18,104,61,32,11,18,12,6
E00016413,Total,302,131,96,3,0,32,13,6,5,0,2,45,0,0,0,10,35,103,72,15,16,10,0,10
E00016415,Total,340,105,71,1,1,32,29,7,1,4,17,53,12,0,10,9,22,145,93,32,20,8,1,7
E00016416,Total,263,95,79,6,0,10,21,10,4,5,2,45,0,0,0,16,29,94,62,17,15,8,0,8
E00016419,Total,361,102,84,2,0,16,15,14,0,0,1,63,0,1,0,19,43,171,114,21,36,10,0,10
E00016420,Total,345,87,57,3,0,27,25,8,6,1,10,55,3,1,0,16,35,164,109,41,14,14,2,12
E00173947,Total,317,82,51,4,0,27,23,7,4,0,12,54,1,5,0,24,24,146,78,36,32,12,0,12
E00173948,Total,377,128,56,4,0,68,37,19,2,3,13,71,6,0,12,32,21,117,43,51,23,24,4,20
E00016417,Total,351,96,75,1,1,19,30,9,8,6,7,73,0,0,8,44,21,142,77,44,21,10,4,6
E00016421,Total,299,56,42,0,0,14,13,7,2,2,2,73,1,0,5,20,47,148,91,37,20,9,2,7
E00016423,Total,361,85,67,2,0,16,19,5,13,1,0,77,2,3,11,36,25,164,117,39,8,16,10,6
E00016424,Total,310,71,50,3,0,18,17,9,2,3,3,80,0,6,0,39,35,119,57,48,14,23,10,13
E00016427,Total,236,54,28,0,0,26,15,8,6,1,0,35,0,0,0,14,21,131,85,28,18,1,0,1
E00016396,Total,265,115,94,3,0,18,11,9,0,0,2,42,0,5,0,18,19,93,33,45,15,4,0,4
E00016426,Total,313,118,77,5,0,36,27,10,11,2,4,42,0,1,0,11,30,119,81,19,19,7,0,7
E00016428,Total,342,153,89,6,0,58,12,4,3,1,4,46,2,2,0,25,17,126,84,29,13,5,2,3
E00016429,Total,256,175,160,3,0,12,11,1,3,3,4,32,4,2,0,13,13,36,22,11,3,2,1,1
E00016430,Total,262,68,58,5,0,5,17,10,1,0,6,55,0,3,0,25,27,115,52,45,18,7,4,3
E00016680,Total,219,95,52,1,0,42,25,12,10,0,3,37,9,5,1,2,20,54,38,13,3,8,1,7
E00016716,Total,311,112,41,4,0,67,16,3,8,0,5,19,2,5,1,3,8,157,111,19,27,7,5,2
E00016717,Total,183,92,47,0,0,45,14,2,9,1,2,13,4,1,2,4,2,52,38,10,4,12,2,10
E00016719,Total,244,52,37,5,0,10,16,2,8,1,5,18,0,0,0,13,5,153,86,50,17,5,2,3
E00016720,Total,328,143,57,7,0,79,38,3,26,2,7,21,1,0,3,5,12,126,94,27,5,0,0,0
E00016725,Total,253,117,41,2,0,74,32,2,23,4,3,14,5,0,0,1,8,88,58,23,7,2,1,1
E00016706,Total,246,102,75,4,0,23,25,18,0,5,2,11,2,1,0,0,8,88,48,28,12,20,1,19
E00016708,Total,349,148,116,2,0,30,23,11,0,3,9,17,1,0,0,7,9,147,68,54,25,14,2,12
E00016709,Total,394,208,169,3,0,36,17,10,0,3,4,53,4,3,0,22,24,108,44,44,20,8,2,6
E00016714,Total,306,147,106,3,0,38,33,16,6,5,6,22,10,0,0,9,3,83,47,23,13,21,3,18
E00016715,Total,328,178,140,5,0,33,23,11,3,5,4,21,3,5,2,10,1,90,45,38,7,16,3,13
E00016675,Total,233,126,65,3,0,58,7,4,0,2,1,23,6,0,2,5,10,72,35,19,18,5,0,5
E00016677,Total,522,274,166,11,0,97,28,4,3,10,11,117,12,2,5,58,40,86,52,25,9,17,8,9
E00016683,Total,310,155,84,5,0,66,21,3,8,0,10,42,5,1,1,16,19,82,60,10,12,10,3,7
E00016697,Total,367,97,64,5,0,28,28,12,1,9,6,50,1,4,12,4,29,181,109,54,18,11,7,4
E00173940,Total,346,150,121,10,0,19,32,16,7,4,5,33,2,6,0,17,8,120,62,50,8,11,8,3
E00173949,Total,388,154,96,0,0,58,31,4,10,3,14,71,8,1,0,32,30,120,79,25,16,12,0,12
E00016684,Total,234,118,65,7,0,46,10,0,7,0,3,36,7,0,0,17,12,64,38,15,11,6,0,6
E00016687,Total,181,97,61,2,0,34,12,2,1,4,5,32,5,2,1,7,17,35,29,1,5,5,0,5
E00016694,Total,327,111,72,1,0,38,28,18,3,0,7,55,6,0,0,23,26,124,66,48,10,9,4,5
E00016718,Total,256,47,39,0,0,8,21,13,3,3,2,31,0,3,2,10,16,151,71,60,20,6,1,5
E00016721,Total,242,54,39,2,0,13,14,7,3,0,4,21,8,0,0,6,7,151,90,47,14,2,0,2
E00016723,Total,269,66,46,1,0,19,17,8,1,4,4,30,2,6,0,13,9,148,79,51,18,8,2,6
E00016679,Total,318,178,157,5,0,16,23,11,5,3,4,20,3,0,4,5,8,92,39,44,9,5,1,4
E00016689,Total,262,133,107,5,0,21,23,13,1,4,5,15,1,0,0,3,11,90,36,39,15,1,0,1
E00016693,Total,353,165,116,6,0,43,16,8,5,0,3,53,4,0,7,19,23,106,54,36,16,13,0,13
E00016701,Total,224,119,80,6,0,33,5,1,2,1,1,15,1,0,0,5,9,73,48,17,8,12,1,11
E00173939,Total,215,64,46,4,0,14,20,11,4,4,1,1,0,0,0,0,1,122,88,27,7,8,5,3
E00016210,Total,337,174,128,12,0,34,18,13,1,0,4,27,0,0,5,12,10,106,59,39,8,12,2,10
E00016239,Total,325,186,136,5,1,44,23,9,4,4,6,27,1,1,0,11,14,82,55,21,6,7,2,5
E00016240,Total,174,56,43,1,1,11,12,5,4,1,2,16,1,0,12,0,3,86,48,26,12,4,0,4
E00016241,Total,292,120,92,5,0,23,8,5,1,1,1,41,5,1,5,22,8,117,69,37,11,6,4,2
E00016245,Total,271,60,45,2,0,13,24,11,8,2,3,43,6,1,1,14,21,133,115,11,7,11,1,10
E00016211,Total,263,100,62,10,1,27,22,14,1,0,7,11,1,0,4,5,1,118,54,47,17,12,1,11
E00016213,Total,372,142,97,8,1,36,36,18,13,2,3,22,2,0,1,6,13,161,61,73,27,11,1,10
E00016244,Total,358,160,112,12,0,36,36,18,5,9,4,27,6,1,0,5,15,121,62,30,29,14,0,14
E00016250,Total,278,117,70,20,2,25,24,12,9,0,3,22,0,0,5,0,17,111,56,37,18,4,3,1
E00174011,Total,107,49,32,3,0,14,8,1,1,5,1,32,1,8,1,6,16,13,3,8,2,5,1,4
E00174032,Total,498,292,199,13,1,79,59,36,8,10,5,25,3,1,0,12,9,88,35,23,30,34,0,34
E00174033,Total,131,65,52,3,0,10,17,10,3,0,4,0,0,0,0,0,0,42,12,17,13,7,1,6
E00016216,Total,334,252,195,6,0,51,15,5,2,3,5,18,4,4,1,2,7,47,24,12,11,2,0,2
E00016236,Total,379,247,145,9,1,92,33,11,8,2,12,31,7,4,7,6,7,56,32,8,16,12,2,10
E00016246,Total,355,181,136,8,1,36,19,4,1,6,8,42,5,0,6,1,30,110,79,12,19,3,1,2
E00016248,Total,314,226,156,11,1,58,15,7,0,5,3,21,2,0,0,10,9,51,19,26,6,1,1,0
E00016252,Total,364,207,168,9,0,30,28,15,4,6,3,21,0,0,0,3,18,105,42,44,19,3,2,1
E00016214,Total,381,202,153,4,0,45,37,6,6,14,11,15,7,0,0,4,4,120,43,59,18,7,0,7
E00016215,Total,312,171,133,7,0,31,21,14,0,0,7,13,1,1,3,4,4,98,27,55,16,9,0,9
E00016217,Total,403,211,178,9,0,24,35,8,8,10,9,26,1,0,1,9,15,117,34,61,22,14,4,10
E00016237,Total,294,176,121,11,1,43,14,1,2,3,8,32,2,2,0,11,17,65,34,23,8,7,1,6
E00016247,Total,279,184,154,6,0,24,22,6,3,7,6,5,0,0,1,0,4,65,33,23,9,3,0,3
E00016253,Total,307,172,122,6,0,44,21,15,5,1,0,17,1,0,0,14,2,82,24,45,13,15,0,15
E00016209,Total,430,190,137,7,1,45,35,18,8,4,5,55,2,9,0,28,16,145,77,49,19,5,3,2
E00016235,Total,280,163,106,5,0,52,25,4,3,12,6,41,6,0,0,9,26,47,31,9,7,4,0,4
E00016238,Total,390,239,176,14,0,49,26,4,3,7,12,43,2,5,4,18,14,79,36,29,14,3,2,1
E00173941,Total,581,342,257,6,1,78,52,9,4,29,10,97,10,9,7,36,35,59,31,17,11,31,24,7
E00173942,Total,269,118,45,9,1,63,21,2,1,16,2,64,6,0,1,31,26,50,31,11,8,16,11,5
E00016881,Total,232,80,59,7,0,14,21,6,2,0,13,36,1,2,5,13,15,92,55,29,8,3,0,3
E00016915,Total,283,96,51,4,0,41,24,10,7,1,6,19,3,0,1,3,12,130,88,23,19,14,4,10
E00016916,Total,359,106,77,7,0,22,24,18,2,0,4,21,0,0,0,17,4,188,115,51,22,20,5,15
E00016920,Total,333,125,78,11,6,30,9,0,6,1,2,47,2,1,20,12,12,136,82,27,27,16,8,8
E00173950,Total,264,94,50,4,0,40,14,1,0,3,10,55,2,0,2,30,21,91,31,44,16,10,4,6
