WD22CD_proposed,All categories: Ethnic group,White,White: English/Welsh/Scottish/Northern Irish/British,White: Irish,White: Gypsy or Irish Traveller,White: Other White,Mixed,Mixed/multiple ethnic group: White and Black Caribbean,Mixed/multiple ethnic group: White and Black African,Mixed/multiple ethnic group: White and Asian,Mixed/multiple ethnic group: Other Mixed,Asian,Asian/Asian British: Indian,Asian/Asian British: Pakistani,Asian/Asian British: Bangladeshi,Asian/Asian British: Chinese,Asian/Asian British: Other Asian,Black,Black/African/Caribbean/Black British: African,Black/African/Caribbean/Black British: Caribbean,Black/African/Caribbean/Black British: Other Black,Other,Other ethnic group: Arab,Other ethnic group: Any other ethnic group
E05013714,10627,5141,4294,144,17,686,829,418,153,62,196,778,106,41,37,96,498,3592,1543,1409,640,287,66,221
E05013715,15544,10507,8396,369,4,1738,941,409,121,153,258,1241,306,66,66,389,414,2519,1104,939,476,336,67,269
E05013716,16587,9612,7006,435,23,2148,1234,467,203,249,315,1459,377,72,96,437,477,3842,1641,1589,612,440,129,311
E05013717,16097,7420,5783,287,10,1340,1239,519,206,165,349,1827,278,163,96,190,1100,5244,1580,2856,808,367,49,318
E05013718,14937,9026,7025,367,1,1633,1172,461,177,228,306,1094,258,143,51,213,429,3309,1068,1637,604,336,93,243
E05013719,14507,5479,3741,194,4,1540,935,348,210,121,256,2349,153,88,164,944,1000,5337,3254,1442,641,407,101,306
E05013720,16845,9890,8612,248,22,1008,1190,590,164,143,293,1135,157,60,104,115,699,4091,1830,1595,666,539,57,482
E05013721,10917,4584,2911,158,11,1504,726,281,157,78,210,1610,166,37,53,657,697,3708,2403,842,463,289,87,202
E05013722,14854,9176,7185,336,9,1646,1113,451,157,175,330,1100,261,85,43,250,461,3191,1433,1253,505,274,75,199
E05013723,14982,9355,7832,229,6,1288,904,408,128,123,245,1171,306,72,73,175,545,3070,1388,1210,472,482,64,418
E05013724,19088,8890,6929,296,14,1651,1408,682,238,182,306,1860,288,128,75,300,1069,6364,2269,3092,1003,566,84,482
E05013725,16264,8440,6192,334,8,1906,1423,650,195,246,332,1781,392,149,62,416,762,4194,1532,1950,712,426,82,344
E05013726,14573,9665,7879,324,1,1461,856,337,106,191,222,1367,270,52,101,326,618,2391,893,1089,409,294,78,216
E05013727,3880,1968,1289,73,3,603,264,66,50,37,111,637,235,18,14,189,181,852,379,297,176,159,27,132
E05013728,8568,3550,2419,106,0,1025,656,249,191,75,141,895,110,52,36,314,383,3205,1852,949,404,262,62,200
E05013729,18214,10266,8189,392,7,1678,1438,630,203,187,418,1286,230,102,102,203,649,4841,1694,2336,811,383,54,329
E05013730,16863,7023,5121,250,25,1627,1496,576,413,167,340,1550,245,124,100,254,827,6315,2372,2787,1156,479,70,409
E05013731,16124,9392,7532,318,27,1515,1349,544,228,231,346,1134,337,81,40,186,490,3959,1553,1765,641,290,55,235
E05013732,16414,8302,6111,346,16,1829,1299,453,259,232,355,1260,125,63,75,510,487,4918,2237,1817,864,635,156,479
