LSOA11CD,LSOA11NM,LAD19CD,LAD19NM,Region,Number of households,Number of households in fuel poverty,Proportion of households fuel poor (%),WD22CD_proposed
E01003189,Lewisham 034A,E09000023,Lewisham,London,667,179,26.83658170914543,E05013714
E01003190,Lewisham 034B,E09000023,Lewisham,London,861,136,15.795586527293844,E05013714
E01003191,Lewisham 034C,E09000023,Lewisham,London,710,161,22.676056338028168,E05013714
E01003192,Lewisham 034D,E09000023,Lewisham,London,792,160,20.2020202020202,E05013714
E01003193,Lewisham 029A,E09000023,Lewisham,London,711,112,15.752461322081576,E05013729
E01003194,Lewisham 029B,E09000023,Lewisham,London,758,151,19.92084432717678,E05013730
E01003195,Lewisham 029C,E09000023,Lewisham,London,681,131,19.23641703377386,E05013729
E01003196,Lewisham 029D,E09000023,Lewisham,London,669,174,26.00896860986547,E05013714
E01003197,Lewisham 029E,E09000023,Lewisham,London,669,176,26.307922272047833,E05013714
E01003198,Lewisham 009A,E09000023,Lewisham,London,683,82,12.005856515373353,E05013715
E01003199,Lewisham 007A,E09000023,Lewisham,London,853,109,12.778429073856975,E05013715
E01003200,Lewisham 009B,E09000023,Lewisham,London,810,91,11.234567901234568,E05013715
E01003201,Lewisham 007B,E09000023,Lewisham,London,723,120,16.59751037344398,E05013715
E01003202,Lewisham 009C,E09000023,Lewisham,London,816,74,9.068627450980392,E05013715
E01003203,Lewisham 009D,E09000023,Lewisham,London,1031,184,17.846750727449077,E05013715
E01003204,Lewisham 007C,E09000023,Lewisham,London,646,76,11.76470588235294,E05013715
E01003205,Lewisham 007D,E09000023,Lewisham,London,546,70,12.82051282051282,E05013715
E01003206,Lewisham 007E,E09000023,Lewisham,London,751,69,9.187749667110518,E05013715
E01003207,Lewisham 005A,E09000023,Lewisham,London,659,114,17.298937784522003,E05013716
E01003209,Lewisham 005B,E09000023,Lewisham,London,839,142,16.924910607866508,E05013716
E01003210,Lewisham 005C,E09000023,Lewisham,London,892,171,19.170403587443946,E05013716
E01003211,Lewisham 008B,E09000023,Lewisham,London,805,145,18.012422360248447,E05013716
E01003212,Lewisham 005D,E09000023,Lewisham,London,920,174,18.913043478260867,E05013716
E01003213,Lewisham 008C,E09000023,Lewisham,London,867,143,16.49365628604383,E05013716
E01003214,Lewisham 008D,E09000023,Lewisham,London,788,154,19.543147208121827,E05013716
E01003215,Lewisham 005E,E09000023,Lewisham,London,708,190,26.836158192090398,E05013716
E01003216,Lewisham 025A,E09000023,Lewisham,London,732,112,15.300546448087433,E05013717
E01003217,Lewisham 022A,E09000023,Lewisham,London,665,129,19.398496240601503,E05013717
E01003218,Lewisham 022B,E09000023,Lewisham,London,575,87,15.130434782608695,E05013724
E01003219,Lewisham 025B,E09000023,Lewisham,London,674,108,16.023738872403563,E05013717
E01003220,Lewisham 022C,E09000023,Lewisham,London,648,153,23.61111111111111,E05013724
E01003221,Lewisham 025C,E09000023,Lewisham,London,812,151,18.59605911330049,E05013717
E01003222,Lewisham 022D,E09000023,Lewisham,London,673,137,20.356612184249627,E05013724
E01003223,Lewisham 025D,E09000023,Lewisham,London,648,87,13.425925925925927,E05013717
E01003224,Lewisham 022E,E09000023,Lewisham,London,669,137,20.47832585949178,E05013717
E01003225,Lewisham 015A,E09000023,Lewisham,London,632,91,14.39873417721519,E05013718
E01003226,Lewisham 019A,E09000023,Lewisham,London,753,143,18.99070385126162,E05013718
E01003227,Lewisham 019B,E09000023,Lewisham,London,722,103,14.265927977839334,E05013718
E01003228,Lewisham 019C,E09000023,Lewisham,London,717,114,15.899581589958158,E05013718
E01003229,Lewisham 019D,E09000023,Lewisham,London,785,146,18.59872611464968,E05013718
E01003230,Lewisham 019E,E09000023,Lewisham,London,919,168,18.280739934711644,E05013718
E01003231,Lewisham 015B,E09000023,Lewisham,London,731,146,19.972640218878247,E05013718
E01003232,Lewisham 015C,E09000023,Lewisham,London,693,82,11.832611832611832,E05013718
E01003233,Lewisham 015D,E09000023,Lewisham,London,714,160,22.408963585434176,E05013718
E01003235,Lewisham 038A,E09000023,Lewisham,London,567,95,16.75485008818342,E05013720
E01003236,Lewisham 037A,E09000023,Lewisham,London,692,209,30.20231213872832,E05013720
E01003237,Lewisham 037B,E09000023,Lewisham,London,651,192,29.493087557603687,E05013720
E01003238,Lewisham 037C,E09000023,Lewisham,London,610,161,26.39344262295082,E05013720
E01003239,Lewisham 037D,E09000023,Lewisham,London,598,171,28.595317725752505,E05013720
E01003240,Lewisham 038B,E09000023,Lewisham,London,777,224,28.82882882882883,E05013720
E01003241,Lewisham 038C,E09000023,Lewisham,London,738,104,14.092140921409213,E05013720
E01003243,Lewisham 038D,E09000023,Lewisham,London,626,135,21.56549520766773,E05013720
E01003244,Lewisham 001A,E09000023,Lewisham,London,654,90,13.761467889908257,E05013721
E01003245,Lewisham 001B,E09000023,Lewisham,London,619,105,16.962843295638123,E05013728
E01003246,Lewisham 002A,E09000023,Lewisham,London,595,102,17.142857142857142,E05013719
E01003247,Lewisham 001C,E09000023,Lewisham,London,735,128,17.414965986394556,E05013721
E01003248,Lewisham 002B,E09000023,Lewisham,London,763,97,12.7129750982962,E05013721
