LSOA11CD,All categories: Long-term health problem or disability,Day-to-day activities limited a lot,Day-to-day activities limited a little,Day-to-day activities not limited,Day-to-day activities limited a lot: Age 16 to 64,Day-to-day activities limited a little: Age 16 to 64,Day-to-day activities not limited: Age 16 to 64,Very good health,Good health,Fair health,Bad health,Very bad health,Provides no unpaid care,Provides 1 to 19 hours unpaid care a week,Provides 20 to 49 hours unpaid care a week,Provides 50 or more hours unpaid care a week
E01003189,1670,144,157,1369,77,92,858,741,552,263,99,15,1495,93,28,54
E01003190,1878,136,145,1597,86,95,1043,874,650,229,87,38,1725,72,28,53
E01003191,1494,119,122,1253,80,84,813,680,558,177,65,14,1353,92,25,24
E01003192,1639,173,146,1320,108,86,876,714,541,249,102,33,1497,75,25,42
E01003193,1568,157,141,1270,80,78,868,653,600,197,93,25,1412,84,30,42
E01003194,1678,161,152,1365,82,81,945,775,543,251,79,30,1527,82,29,40
E01003195,1547,100,112,1335,53,60,893,783,519,171,48,26,1388,101,22,36
E01003196,1673,173,153,1347,100,82,861,791,510,238,97,37,1505,93,24,51
E01003197,1628,146,149,1333,96,95,881,739,541,225,92,31,1468,88,32,40
E01003198,1461,134,109,1218,46,62,863,776,425,165,80,15,1352,75,14,20
E01003199,1728,86,103,1539,46,66,1156,963,553,155,41,16,1621,74,14,19
E01003200,1553,59,113,1381,30,56,1057,917,469,119,34,14,1446,80,4,23
E01003201,1664,133,127,1404,69,75,1010,831,539,195,79,20,1533,90,14,27
E01003202,1559,67,99,1393,18,30,1012,854,521,137,32,15,1425,102,16,16
E01003203,1769,117,126,1526,59,85,1196,873,605,187,85,19,1660,75,18,16
E01003204,1391,73,73,1245,43,42,919,779,456,107,39,10,1305,44,16,26
E01003205,1332,128,96,1108,69,65,730,679,395,161,61,36,1208,62,33,29
E01003206,1582,90,72,1420,44,48,1031,847,543,129,49,14,1455,99,15,13
E01003207,1399,100,108,1191,65,68,870,674,467,177,55,26,1303,54,22,20
E01003209,2007,115,117,1775,69,72,1392,948,781,186,67,25,1894,77,19,17
E01003210,1746,82,95,1569,63,65,1281,917,592,177,44,16,1641,80,16,9
E01003211,1566,81,96,1389,62,62,1105,836,533,133,48,16,1473,69,9,15
E01003212,1976,137,139,1700,68,85,1368,978,696,221,67,14,1830,98,23,25
E01003213,1938,85,104,1749,56,76,1414,1088,628,164,42,16,1794,111,18,15
E01003214,1772,96,134,1542,57,97,1150,891,600,188,77,16,1664,76,11,21
E01003215,1950,75,84,1791,50,63,1494,1015,726,153,39,17,1856,64,14,16
E01003216,1875,133,124,1618,70,86,1156,918,683,192,70,12,1703,126,14,32
E01003217,1670,99,118,1453,38,64,964,827,559,207,59,18,1506,111,19,34
E01003218,1498,90,114,1294,45,71,882,709,541,189,42,17,1328,105,28,37
E01003219,1647,84,128,1435,43,66,1000,833,573,193,35,13,1508,96,24,19
E01003220,1554,143,115,1296,66,73,929,763,524,192,61,14,1438,70,21,25
E01003221,1962,162,147,1653,79,89,1136,937,666,240,96,23,1805,94,24,39
E01003222,1632,124,163,1345,58,99,938,741,586,219,68,18,1453,108,26,45
E01003223,1715,124,118,1473,43,65,1023,810,609,225,53,18,1524,126,25,40
E01003224,1661,108,109,1444,52,71,1016,807,588,176,62,28,1523,93,22,23
E01003225,1507,78,96,1333,36,53,982,788,505,163,41,10,1329,130,23,25
E01003226,1742,85,129,1528,41,83,1173,910,603,175,44,10,1606,102,20,14
E01003227,1658,100,100,1458,45,54,1084,879,518,177,61,23,1489,117,20,32
E01003228,1512,87,111,1314,41,61,987,812,477,144,62,17,1404,75,13,20
E01003229,1558,165,125,1268,90,79,901,692,522,220,99,25,1420,74,24,40
E01003230,1933,135,146,1652,84,100,1206,948,675,204,79,27,1766,112,28,27
E01003231,1606,87,93,1426,41,56,1064,848,519,186,40,13,1490,76,10,30
E01003232,1719,98,112,1509,53,77,1073,918,579,150,52,20,1563,89,33,34
E01003233,1702,97,108,1497,49,63,1085,895,561,185,45,16,1562,76,19,45
E01003235,1279,124,112,1043,65,62,720,565,455,182,56,21,1149,70,22,38
E01003236,1590,157,149,1284,87,80,806,736,543,196,80,35,1444,82,16,48
E01003237,1471,149,161,1161,71,95,747,648,498,226,78,21,1320,64,32,55
E01003238,1407,112,120,1175,58,69,761,637,480,208,60,22,1269,71,22,45
E01003239,1428,122,119,1187,58,63,771,597,537,209,66,19,1303,68,13,44
E01003240,1789,157,167,1465,84,84,960,831,568,272,86,32,1605,89,37,58
E01003241,1541,171,161,1209,75,80,819,631,512,277,89,32,1382,84,22,53
E01003243,1358,124,134,1100,53,81,718,541,495,231,66,25,1204,80,33,41
E01003244,1629,79,112,1438,47,85,896,865,552,142,57,13,1547,40,12,30
E01003245,1559,111,90,1358,72,71,859,786,537,147,65,24,1454,52,20,33
E01003246,1439,115,105,1219,67,71,899,697,452,203,65,22,1321,67,22,29
E01003247,1673,73,81,1519,49,58,1312,903,551,160,48,11,1571,57,27,18
E01003248,1622,84,104,1434,55,69,1015,832,550,174,55,11,1519,56,28,19
E01003249,1928,132,147,1649,97,106,1289,1028,581,209,75,35,1776,100,23,29
E01003250,1755,111,124,1520,64,72,1168,869,595,199,71,21,1654,58,18,25
E01003251,2003,148,153,1702,89,104,1135,963,694,244,78,24,1855,82,31,35
E01003252,1557,106,121,1330,64,67,846,689,589,190,63,26,1430,69,21,37
E01003253,1438,131,100,1207,68,65,895,666,494,189,65,24,1338,63,14,23
E01003254,1437,81,105,1251,33,53,882,752,486,150,33,16,1317,85,16,19
E01003255,1886,74,98,1714,50,82,1382,1033,636,154,55,8,1776,79,12,19
E01003256,2055,138,143,1774,80,84,1312,1056,662,234,72,31,1911,98,18,28
E01003257,1678,179,151,1348,61,59,890,784,529,238,103,24,1563,73,16,26
E01003258,1499,105,110,1284,58,71,830,772,476,180,50,21,1393,62,17,27
E01003259,1615,91,112,1412,43,55,1048,809,573,163,59,11,1491,88,13,23
E01003260,1824,76,125,1623,44,62,1046,1016,557,188,49,14,1674,104,27,19
E01003261,1495,64,97,1334,34,62,946,816,490,139,34,16,1352,97,16,30
E01003262,1365,67,90,1208,40,60,859,714,443,137,57,14,1262,67,11,25
E01003263,1675,177,135,1363,74,64,905,772,587,204,80,32,1522,104,18,31
E01003264,1610,164,152,1294,67,54,908,709,573,228,65,35,1449,102,24,35
