WD22CD_proposed,All categories: Long-term health problem or disability,Day-to-day activities limited a lot,Day-to-day activities limited a little,Day-to-day activities not limited,Day-to-day activities limited a lot: Age 16 to 64,Day-to-day activities limited a little: Age 16 to 64,Day-to-day activities not limited: Age 16 to 64,Very good health,Good health,Fair health,Bad health,Very bad health,Provides no unpaid care,Provides 1 to 19 hours unpaid care a week,Provides 20 to 49 hours unpaid care a week,Provides 50 or more hours unpaid care a week
E05013714,10627,957,935,8735,580,571,5675,4821,3572,1478,584,172,9632,539,172,284
E05013715,15544,1038,1035,13471,476,602,9851,8211,5017,1546,578,192,14409,760,164,211
E05013716,16587,859,1003,14725,538,647,11875,8616,5732,1580,501,158,15564,712,139,172
E05013717,16097,1172,1241,13684,544,694,9386,7629,5634,2030,616,188,14523,1000,243,331
E05013718,14937,932,1020,12985,480,626,9555,7690,4959,1604,523,161,13629,851,190,267
E05013719,14507,952,992,12563,582,659,9311,7013,5068,1671,560,195,13435,620,209,243
E05013720,16845,1620,1554,13671,805,837,8799,7438,5738,2527,847,295,15217,819,277,532
E05013721,10917,672,756,9489,425,517,7011,5582,3592,1207,413,123,10186,418,145,168
E05013722,14854,875,1031,12948,443,588,9195,7752,4852,1583,512,155,13739,753,146,216
E05013723,14982,1265,1183,12534,642,632,8696,6963,5211,1970,608,230,13547,883,206,346
E05013724,19088,1402,1399,16287,749,891,11621,9246,6558,2287,745,252,17491,975,265,357
E05013725,16264,1064,1143,14057,524,738,10379,7962,5677,1791,611,223,14932,827,215,290
E05013726,14573,962,1026,12585,458,603,9110,7448,4838,1600,500,187,13357,778,159,279
E05013727,3880,251,261,3368,146,161,2634,1979,1303,427,128,43,3657,141,30,52
E05013728,8568,578,556,7434,317,384,5411,4331,2800,973,365,99,7971,353,94,150
E05013729,18214,1230,1337,15647,641,801,11138,9050,6235,2074,633,222,16638,1009,224,343
E05013730,16863,1351,1336,14176,794,840,10019,7821,5885,2160,739,258,15451,896,221,295
E05013731,16124,1332,1267,13525,653,730,9568,7559,5622,2030,685,228,14811,788,218,307
E05013732,16414,1011,1137,14266,591,743,10728,8317,5557,1751,607,182,15175,809,185,245
