"date","geography","geography code","Rural Urban","Cars: All categories: Car or van availability; measures: Value","Cars: No cars or vans in household; measures: Value","Cars: 1 car or van in household; measures: Value","Cars: 2 cars or vans in household; measures: Value","Cars: 3 cars or vans in household; measures: Value","Cars: 4 or more cars or vans in household; measures: Value","Cars: sum of all cars or vans in the area; measures: Value"
"2011","E00004482","E00004482","Total",121,50,54,15,2,0,90
"2011","E00004497","E00004497","Total",117,75,36,3,3,0,51
"2011","E00004498","E00004498","Total",145,93,48,3,1,0,57
"2011","E00004502","E00004502","Total",120,89,30,1,0,0,32
"2011","E00004505","E00004505","Total",124,77,39,7,1,0,56
"2011","E00004481","E00004481","Total",133,80,46,6,1,0,61
"2011","E00004493","E00004493","Total",118,69,44,5,0,0,54
"2011","E00004500","E00004500","Total",131,100,28,3,0,0,34
"2011","E00004501","E00004501","Total",76,48,25,1,1,1,34
"2011","E00004503","E00004503","Total",132,89,40,2,0,1,63
"2011","E00004506","E00004506","Total",133,84,41,8,0,0,57
"2011","E00004507","E00004507","Total",104,22,61,19,2,0,105
"2011","E00004504","E00004504","Total",117,17,49,38,10,3,167
"2011","E00004508","E00004508","Total",150,65,73,10,2,0,99
"2011","E00004509","E00004509","Total",122,43,60,16,3,0,101
"2011","E00004510","E00004510","Total",128,60,57,10,0,1,81
"2011","E00004511","E00004511","Total",144,58,55,26,3,2,139
"2011","E00004486","E00004486","Total",116,54,53,7,2,0,73
"2011","E00004487","E00004487","Total",112,81,30,1,0,0,32
"2011","E00004489","E00004489","Total",120,66,51,3,0,0,57
"2011","E00004490","E00004490","Total",94,61,30,3,0,0,36
"2011","E00004491","E00004491","Total",149,103,43,3,0,0,49
"2011","E00004517","E00004517","Total",109,59,46,4,0,0,54
"2011","E00004492","E00004492","Total",128,18,47,40,15,8,207
"2011","E00004494","E00004494","Total",182,62,80,37,2,1,164
"2011","E00004495","E00004495","Total",126,33,66,23,3,1,125
"2011","E00004496","E00004496","Total",151,32,59,46,13,1,194
"2011","E00004499","E00004499","Total",135,16,57,47,10,5,203
"2011","E00004411","E00004411","Total",114,51,47,15,1,0,80
"2011","E00004412","E00004412","Total",128,60,46,16,4,2,99
"2011","E00004414","E00004414","Total",123,49,55,15,4,0,97
"2011","E00004416","E00004416","Total",114,51,43,16,1,3,101
