"date","geography","geography code","Rural Urban","Occupancy Rating: All categories: Occupancy rating bedrooms; measures: Value","Occupancy Rating: Occupancy rating (bedrooms) of +2 or more; measures: Value","Occupancy Rating: Occupancy rating (bedrooms) of +1; measures: Value","Occupancy Rating: Occupancy rating (bedrooms) of 0; measures: Value","Occupancy Rating: Occupancy rating (bedrooms) of -1; measures: Value","Occupancy Rating: Occupancy rating (bedrooms) of -2 or less; measures: Value"
"2011","E00004482","E00004482","Total",121,28,46,44,3,0
"2011","E00004497","E00004497","Total",117,6,9,79,20,3
"2011","E00004498","E00004498","Total",145,16,40,63,24,2
"2011","E00004502","E00004502","Total",120,8,25,62,24,1
"2011","E00004505","E00004505","Total",124,23,24,69,8,0
"2011","E00004481","E00004481","Total",133,23,29,62,17,2
"2011","E00004493","E00004493","Total",118,4,12,89,12,1
"2011","E00004500","E00004500","Total",131,0,2,114,15,0
"2011","E00004501","E00004501","Total",76,2,12,59,3,0
"2011","E00004503","E00004503","Total",132,17,28,81,6,0
"2011","E00004506","E00004506","Total",133,17,34,71,10,1
"2011","E00004507","E00004507","Total",104,50,30,20,4,0
"2011","E00004504","E00004504","Total",117,78,26,10,3,0
"2011","E00004508","E00004508","Total",150,52,41,51,6,0
"2011","E00004509","E00004509","Total",122,50,23,39,9,1
"2011","E00004510","E00004510","Total",128,36,31,56,3,2
"2011","E00004511","E00004511","Total",144,50,32,54,8,0
"2011","E00004486","E00004486","Total",116,45,40,21,9,1
"2011","E00004487","E00004487","Total",112,7,22,72,10,1
"2011","E00004489","E00004489","Total",120,23,37,49,10,1
"2011","E00004490","E00004490","Total",94,18,16,45,12,3
"2011","E00004491","E00004491","Total",149,21,27,85,14,2
"2011","E00004517","E00004517","Total",109,24,22,52,11,0
"2011","E00004492","E00004492","Total",128,79,29,18,0,2
"2011","E00004494","E00004494","Total",182,53,53,71,4,1
"2011","E00004495","E00004495","Total",126,46,50,25,5,0
"2011","E00004496","E00004496","Total",151,61,52,31,7,0
"2011","E00004499","E00004499","Total",135,86,23,20,4,2
"2011","E00004411","E00004411","Total",114,21,29,54,7,3
"2011","E00004412","E00004412","Total",128,27,39,59,2,1
"2011","E00004414","E00004414","Total",123,29,37,48,9,0
"2011","E00004416","E00004416","Total",114,31,31,46,6,0
"2011","E00004418","E00004418","Total",114,25,37,45,6,1
"2011","E00004423","E00004423","Total",122,24,48,48,1,1
"2011","E00004401","E00004401","Total",128,40,39,44,4,1
"2011","E00004404","E00004404","Total",116,50,32,32,2,0
"2011","E00004417","E00004417","Total",125,53,35,33,4,0
"2011","E00004421","E00004421","Total",123,50,40,32,1,0
"2011","E00004429","E00004429","Total",127,22,34,63,8,0
"2011","E00004409","E00004409","Total",108,21,27,52,7,1
