"date","geography","geography code","Rural Urban","Central Heating: All categories: Type of central heating in household; measures: Value","Central Heating: Does not have central heating; measures: Value","Central Heating: Does have central heating; measures: Value","Central Heating: Occupancy rating (rooms) of -1 or less; measures: Value","Central Heating: Occupancy rating (bedrooms) of -1 or less; measures: Value","Central Heating: Average household size; measures: Value","Central Heating: Average number of rooms per household; measures: Value","Central Heating: Average number of bedrooms per household; measures: Value"
"2011","E00004482","E00004482","Total",121,3,118,8,3,2.4,5.4,2.8
"2011","E00004497","E00004497","Total",117,1,116,37,23,2.2,3.7,1.7
"2011","E00004498","E00004498","Total",145,4,141,43,26,2.3,3.9,2.1
"2011","E00004502","E00004502","Total",120,1,119,32,25,2.1,3.8,1.9
"2011","E00004505","E00004505","Total",124,0,124,23,8,2.3,4.5,2.4
"2011","E00004481","E00004481","Total",133,0,133,28,19,2.4,4.4,2.3
"2011","E00004493","E00004493","Total",118,17,101,43,13,1.9,3.1,1.5
"2011","E00004500","E00004500","Total",131,4,127,67,15,1.3,2.6,1.0
"2011","E00004501","E00004501","Total",76,13,63,24,3,1.5,3.1,1.4
"2011","E00004503","E00004503","Total",132,15,117,31,6,1.6,3.4,1.7
"2011","E00004506","E00004506","Total",133,1,132,25,11,2.2,4.2,2.2
"2011","E00004507","E00004507","Total",104,1,103,5,4,2.5,5.9,3.2
"2011","E00004504","E00004504","Total",117,1,116,4,3,3.0,7.3,4.1
"2011","E00004508","E00004508","Total",150,6,144,19,6,1.9,4.8,2.5
"2011","E00004509","E00004509","Total",122,1,121,13,10,2.7,5.7,3.2
"2011","E00004510","E00004510","Total",128,2,126,13,5,2.4,5.4,2.7
"2011","E00004511","E00004511","Total",144,6,138,20,8,2.4,5.3,2.7
"2011","E00004486","E00004486","Total",116,0,116,11,10,2.4,5.2,2.9
"2011","E00004487","E00004487","Total",112,0,112,31,11,1.9,3.5,1.8
"2011","E00004489","E00004489","Total",120,1,119,23,11,2.4,4.5,2.4
"2011","E00004490","E00004490","Total",94,4,90,30,15,2.6,4.3,2.5
"2011","E00004491","E00004491","Total",149,1,148,28,16,2.0,4.0,2.0
"2011","E00004517","E00004517","Total",109,0,109,26,11,2.5,4.6,2.6
"2011","E00004492","E00004492","Total",128,2,126,8,2,2.5,7.1,3.6
"2011","E00004494","E00004494","Total",182,5,177,18,5,2.1,5.2,2.6
"2011","E00004495","E00004495","Total",126,4,122,8,5,2.0,5.9,2.8
"2011","E00004496","E00004496","Total",151,2,149,14,7,2.3,5.8,2.8
"2011","E00004499","E00004499","Total",135,1,134,10,6,2.9,7.2,3.8
"2011","E00004411","E00004411","Total",114,4,110,37,10,2.2,4.7,2.3
"2011","E00004412","E00004412","Total",128,8,120,33,3,2.1,4.6,2.3
"2011","E00004414","E00004414","Total",123,6,117,23,9,2.3,5.2,2.5
