"date","geography","geography code","Rural Urban","Tenure: All categories: Tenure; measures: Value","Tenure: Owned: Total; measures: Value","Tenure: Owned: Owned outright; measures: Value","Tenure: Owned: Owned with a mortgage or loan; measures: Value","Tenure: Shared ownership (part owned and part rented); measures: Value","Tenure: Social rented: Total; measures: Value","Tenure: Social rented: Rented from council (Local Authority); measures: Value","Tenure: Social rented: Other social rented; measures: Value","Tenure: Private rented: Total; measures: Value","Tenure: Private rented: Private landlord or letting agency; measures: Value","Tenure: Private rented: Employer of a household member; measures: Value","Tenure: Private rented: Relative or friend of household member; measures: Value","Tenure: Private rented: Other; measures: Value","Tenure: Living rent free; measures: Value"
"2011","E00004482","E00004482","Total",121,68,35,33,1,20,15,5,32,32,0,0,0,0
"2011","E00004497","E00004497","Total",117,26,3,23,0,78,76,2,11,9,0,2,0,2
"2011","E00004498","E00004498","Total",145,39,15,24,1,90,89,1,14,14,0,0,0,1
"2011","E00004502","E00004502","Total",120,23,11,12,0,84,83,1,13,13,0,0,0,0
"2011","E00004505","E00004505","Total",124,36,15,21,2,69,51,18,16,16,0,0,0,1
"2011","E00004481","E00004481","Total",133,38,18,20,1,91,91,0,3,3,0,0,0,0
"2011","E00004493","E00004493","Total",118,26,9,17,0,61,58,3,28,20,1,3,4,3
"2011","E00004500","E00004500","Total",131,35,8,27,0,74,73,1,22,19,0,3,0,0
"2011","E00004501","E00004501","Total",76,30,15,15,0,31,31,0,15,14,0,1,0,0
"2011","E00004503","E00004503","Total",132,31,17,14,0,77,71,6,20,13,0,3,4,4
"2011","E00004506","E00004506","Total",133,26,4,22,1,83,80,3,20,17,0,3,0,3
"2011","E00004507","E00004507","Total",104,76,45,31,0,18,18,0,8,8,0,0,0,2
"2011","E00004504","E00004504","Total",117,102,69,33,1,2,2,0,9,8,0,1,0,3
"2011","E00004508","E00004508","Total",150,83,50,33,2,34,34,0,27,21,0,4,2,4
"2011","E00004509","E00004509","Total",122,65,40,25,3,44,39,5,9,8,0,1,0,1
"2011","E00004510","E00004510","Total",128,53,35,18,1,21,9,12,50,49,0,0,1,3
"2011","E00004511","E00004511","Total",144,90,59,31,0,22,8,14,29,24,0,5,0,3
"2011","E00004486","E00004486","Total",116,67,43,24,9,22,22,0,15,13,0,2,0,3
"2011","E00004487","E00004487","Total",112,19,9,10,1,74,9,65,18,16,0,2,0,0
"2011","E00004489","E00004489","Total",120,43,23,20,2,50,49,1,18,18,0,0,0,7
"2011","E00004490","E00004490","Total",94,19,10,9,1,51,44,7,21,19,1,1,0,2
"2011","E00004491","E00004491","Total",149,32,10,22,1,96,91,5,19,19,0,0,0,1
"2011","E00004517","E00004517","Total",109,29,12,17,0,66,65,1,14,12,2,0,0,0
"2011","E00004492","E00004492","Total",128,99,60,39,0,4,4,0,21,18,3,0,0,4
"2011","E00004494","E00004494","Total",182,112,64,48,1,2,2,0,56,51,2,3,0,11
"2011","E00004495","E00004495","Total",126,101,70,31,0,4,2,2,19,17,0,2,0,2
"2011","E00004496","E00004496","Total",151,110,81,29,1,2,1,1,31,30,0,1,0,7
"2011","E00004499","E00004499","Total",135,117,65,52,0,2,1,1,13,13,0,0,0,3
"2011","E00004411","E00004411","Total",114,64,39,25,1,4,4,0,44,43,0,1,0,1
"2011","E00004412","E00004412","Total",128,67,43,24,3,4,2,2,53,51,0,1,1,1
"2011","E00004414","E00004414","Total",123,72,45,27,1,13,6,7,36,34,0,2,0,1
"2011","E00004416","E00004416","Total",114,68,51,17,0,5,4,1,40,37,0,3,0,1
"2011","E00004418","E00004418","Total",114,79,49,30,0,2,2,0,31,30,0,1,0,2
"2011","E00004423","E00004423","Total",122,76,52,24,0,4,1,3,40,38,0,1,1,2
"2011","E00004401","E00004401","Total",128,82,56,26,0,10,10,0,35,32,0,3,0,1
"2011","E00004404","E00004404","Total",116,80,59,21,0,1,1,0,31,30,1,0,0,4
"2011","E00004417","E00004417","Total",125,78,51,27,0,8,5,3,37,34,0,3,0,2
"2011","E00004421","E00004421","Total",123,60,36,24,0,3,3,0,57,53,3,1,0,3
"2011","E00004429","E00004429","Total",127,62,44,18,0,4,2,2,60,58,2,0,0,1
"2011","E00004409","E00004409","Total",108,39,26,13,0,43,42,1,21,20,0,1,0,5
"2011","E00004410","E00004410","Total",120,57,34,23,0,36,34,2,25,25,0,0,0,2
"2011","E00004415","E00004415","Total",139,69,46,23,0,18,1,17,51,44,2,3,2,1
"2011","E00004419","E00004419","Total",126,25,16,9,0,5,2,3,93,89,3,1,0,3
"2011","E00004422","E00004422","Total",92,35,21,14,0,14,13,1,40,39,0,1,0,3
"2011","E00004428","E00004428","Total",131,65,46,19,2,1,0,1,57,51,0,5,1,6
"2011","E00004430","E00004430","Total",125,10,6,4,1,86,81,5,24,23,0,1,0,4
"2011","E00004402","E00004402","Total",127,58,38,20,0,9,2,7,59,59,0,0,0,1
"2011","E00004420","E00004420","Total",112,67,45,22,0,2,2,0,42,40,0,2,0,1
"2011","E00004424","E00004424","Total",117,64,39,25,0,2,2,0,48,46,0,2,0,3
"2011","E00004425","E00004425","Total",140,94,64,30,0,0,0,0,45,45,0,0,0,1
"2011","E00004426","E00004426","Total",143,75,49,26,0,17,9,8,49,46,0,3,0,2
"2011","E00004427","E00004427","Total",117,91,67,24,0,1,1,0,22,21,1,0,0,3
"2011","E00004403","E00004403","Total",128,101,75,26,0,0,0,0,18,17,1,0,0,9
"2011","E00004405","E00004405","Total",128,79,54,25,0,0,0,0,42,39,0,2,1,7
"2011","E00004406","E00004406","Total",117,84,55,29,0,4,3,1,20,20,0,0,0,9
"2011","E00004407","E00004407","Total",118,83,58,25,0,4,2,2,24,23,0,0,1,7
"2011","E00004408","E00004408","Total",106,73,47,26,0,1,1,0,30,30,0,0,0,2
"2011","E00004413","E00004413","Total",101,60,36,24,0,3,3,0,37,35,1,1,0,1
"2011","E00004483","E00004483","Total",114,64,42,22,0,11,8,3,37,36,1,0,0,2
"2011","E00004485","E00004485","Total",123,50,22,28,0,48,42,6,23,19,0,4,0,2
