LSOA11CD,All categories: Dwelling type,Unshared dwelling,Shared dwelling: Two household spaces,Shared dwelling: Three or more household spaces,All categories: Household spaces,Household spaces with at least one usual resident,Household spaces with no usual residents,Whole house or bungalow: Detached,Whole house or bungalow: Semi-detached,Whole house or bungalow: Terraced (including end-terrace),"Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building",Caravan or other mobile or temporary structure
E01003189,628,628,0,0,628,624,4,21,155,261,164,26,1,0
E01003190,819,818,0,1,822,809,13,9,70,120,578,34,11,0
E01003191,676,676,0,0,676,665,11,19,90,145,380,41,1,0
E01003192,749,749,0,0,749,741,8,16,83,154,468,26,2,0
E01003193,672,670,1,1,678,666,12,12,125,331,187,14,9,0
E01003194,727,727,0,0,727,716,11,31,220,162,220,74,20,0
E01003195,644,644,0,0,644,637,7,21,168,282,105,65,3,0
E01003196,626,626,0,0,626,624,2,25,188,290,78,29,16,0
E01003197,628,628,0,0,628,625,3,23,216,226,113,49,1,0
E01003198,644,642,1,1,647,639,8,10,45,166,313,111,2,0
E01003199,821,821,0,0,821,801,20,46,84,134,404,149,4,0
E01003200,774,772,0,2,782,756,26,35,64,181,269,159,74,0
E01003201,696,695,0,1,699,680,19,20,122,132,199,223,3,0
E01003202,773,768,2,3,781,764,17,61,65,246,266,133,9,1
E01003203,987,984,0,3,997,980,17,10,37,110,640,181,19,0
E01003204,610,609,1,0,611,603,8,23,23,46,399,120,0,0
E01003205,514,514,0,0,514,502,12,16,59,61,368,10,0,0
E01003206,713,710,1,2,719,698,21,63,69,50,277,260,0,0
E01003207,615,613,0,2,623,615,8,16,31,103,409,39,25,0
E01003209,777,776,0,1,780,778,2,8,33,120,379,236,4,0
E01003210,844,836,0,8,866,850,16,16,46,131,226,416,31,0
E01003211,750,739,4,7,773,753,20,15,50,73,206,422,7,0
E01003212,876,872,4,0,880,867,13,19,69,371,140,264,17,0
E01003213,812,805,3,4,829,813,16,33,100,65,185,444,2,0
E01003214,754,752,2,0,756,745,11,18,64,137,333,187,17,0
E01003215,689,683,3,3,705,666,39,12,26,137,222,287,21,0
E01003216,683,677,2,4,700,689,11,12,275,37,77,285,14,0
E01003217,631,631,0,0,631,622,9,19,76,493,7,35,1,0
E01003218,548,548,0,0,548,539,9,10,79,379,18,55,7,0
E01003219,641,641,0,0,641,631,10,18,158,354,50,57,4,0
E01003220,602,598,1,3,613,604,9,13,60,263,53,219,5,0
E01003221,759,750,1,8,788,769,19,36,271,71,117,281,11,1
E01003222,629,628,0,1,633,629,4,15,71,349,25,170,3,0
E01003223,618,618,0,0,618,603,15,16,421,57,55,58,11,0
E01003224,629,629,0,0,629,626,3,24,64,394,40,103,3,1
E01003225,604,604,0,0,604,590,14,10,202,347,16,24,5,0
E01003226,714,711,1,2,725,709,16,16,96,269,83,196,65,0
E01003227,689,689,0,0,689,678,11,55,115,244,143,129,3,0
E01003228,693,693,0,0,693,673,20,12,39,352,42,245,3,0
E01003229,767,766,1,0,768,742,26,28,64,143,358,137,38,0
E01003230,879,878,0,1,883,866,17,31,109,188,339,203,13,0
E01003231,707,703,3,1,712,687,25,11,62,232,154,206,46,1
E01003232,657,656,1,0,658,649,9,22,101,409,30,86,10,0
E01003233,679,679,0,0,679,669,10,19,64,409,51,130,6,0
E01003235,528,528,0,0,528,523,5,28,191,163,122,3,21,0
E01003236,661,661,0,0,661,648,13,22,114,448,37,28,12,0
E01003237,618,618,0,0,618,608,10,24,97,410,52,15,20,0
E01003238,578,578,0,0,578,565,13,27,81,390,66,13,1,0
E01003239,568,568,0,0,568,564,4,33,90,386,37,21,0,1
E01003240,739,739,0,0,739,725,14,26,102,483,119,5,4,0
E01003241,703,701,1,1,706,695,11,22,166,202,298,16,2,0
E01003243,589,587,1,1,592,581,11,10,79,237,214,7,44,1
E01003244,616,610,2,4,633,618,15,2,5,15,594,13,4,0
E01003245,588,587,0,1,590,584,6,39,61,109,373,8,0,0
E01003246,567,565,1,1,571,559,12,28,71,158,218,89,7,0
E01003247,716,716,0,0,716,685,31,22,61,276,265,90,2,0
E01003248,712,706,2,4,727,718,9,6,31,35,598,55,2,0
E01003249,919,917,1,1,922,897,25,10,25,110,735,40,2,0
E01003250,762,758,0,4,773,763,10,11,36,84,634,8,0,0
E01003251,778,773,3,2,791,777,14,7,21,43,700,11,9,0
E01003252,616,614,1,1,619,613,6,3,12,22,564,15,3,0
E01003253,699,698,0,1,701,669,32,10,31,89,472,42,57,0
E01003254,615,615,0,0,615,602,13,109,177,78,170,78,3,0
