WD22CD_proposed,All categories: Dwelling type,Unshared dwelling,Shared dwelling: Two household spaces,Shared dwelling: Three or more household spaces,All categories: Household spaces,Household spaces with at least one usual resident,Household spaces with no usual residents,Whole house or bungalow: Detached,Whole house or bungalow: Semi-detached,Whole house or bungalow: Terraced (including end-terrace),"Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building",Caravan or other mobile or temporary structure
E05013714,4395,4394,0,1,4398,4354,44,123,898,1271,1859,215,32,0
E05013715,7184,7162,7,15,7234,7070,164,310,627,1245,3458,1459,134,1
E05013716,7268,7224,22,22,7359,7203,156,154,479,1546,2573,2512,94,1
E05013717,6196,6178,4,14,6247,6145,102,189,2135,1981,1056,829,54,3
E05013718,6389,6379,6,4,6411,6263,148,204,852,2593,1216,1356,189,1
E05013719,6054,6028,8,18,6132,6012,120,115,346,905,4170,343,251,2
E05013720,7010,7008,1,1,7013,6898,115,247,1156,4154,1219,131,104,2
E05013721,4646,4622,8,16,4702,4593,109,73,205,666,3444,297,17,0
E05013722,6617,6594,10,13,6661,6506,155,396,953,960,3070,1156,120,6
E05013723,6443,6435,2,6,6474,6326,148,267,1649,2162,1931,420,43,2
E05013724,7772,7755,5,12,7817,7685,132,332,855,2846,2209,1462,99,14
E05013725,6642,6625,9,8,6676,6521,155,152,923,2016,1908,1549,128,0
E05013726,6339,6327,2,10,6480,6320,160,250,888,2211,1759,1272,97,3
E05013727,1905,1902,1,2,1931,1847,84,40,111,334,1059,344,43,0
E05013728,3619,3603,7,9,3645,3560,85,117,209,812,2118,361,27,1
E05013729,7840,7819,8,13,7914,7749,165,278,1063,2468,2344,1695,65,1
E05013730,7209,7177,20,12,7266,7130,136,245,841,1905,1838,2236,200,1
E05013731,7197,7183,3,11,7237,7054,183,208,791,1727,2861,1458,182,10
E05013732,6926,6894,8,24,7020,6855,165,168,607,1600,2577,2011,53,4
