LSOA11CD,All categories: Car or van availability,No cars or vans in household,1 car or van in household,2 cars or vans in household,3 cars or vans in household,4 or more cars or vans in household,sum of all cars or vans in the area
E01003189,624,300,252,56,14,2,414
E01003190,809,421,324,56,3,5,473
E01003191,665,306,282,64,9,4,453
E01003192,741,412,280,42,7,0,385
E01003193,666,266,302,78,15,5,523
E01003194,716,352,272,74,15,3,477
E01003195,637,202,310,103,16,6,588
E01003196,624,270,269,66,17,2,462
E01003197,625,286,261,63,12,3,438
E01003198,639,264,294,68,12,1,475
E01003199,801,305,396,89,6,5,615
E01003200,756,284,351,104,14,3,613
E01003201,680,349,275,47,4,5,408
E01003202,764,255,393,105,9,2,640
E01003203,980,595,329,52,1,3,451
E01003204,603,255,277,58,9,4,437
E01003205,502,300,173,27,1,1,234
E01003206,698,261,352,68,14,3,543
E01003207,615,424,162,25,4,0,224
E01003209,778,466,265,41,3,3,369
E01003210,850,514,288,40,8,0,392
E01003211,753,410,285,50,4,4,415
E01003212,867,452,332,70,12,1,512
E01003213,813,385,361,56,9,2,509
E01003214,745,419,254,64,5,3,411
E01003215,666,466,169,27,4,0,235
E01003216,689,239,322,104,20,4,606
E01003217,622,201,311,92,15,3,554
E01003218,539,155,256,106,15,7,541
E01003219,631,175,306,115,27,8,656
E01003220,604,258,256,71,15,4,459
E01003221,769,324,315,102,23,5,610
E01003222,629,213,278,109,23,6,590
E01003223,603,150,258,145,39,11,711
E01003224,626,219,297,85,19,6,549
E01003225,590,174,299,101,15,1,550
E01003226,709,303,309,78,15,4,526
E01003227,678,224,347,84,15,8,597
E01003228,673,279,321,63,9,1,478
E01003229,742,434,248,50,7,3,381
E01003230,866,408,374,69,14,1,566
E01003231,687,338,287,52,8,2,428
E01003232,649,206,323,97,17,6,595
E01003233,669,244,338,70,15,2,531
E01003235,523,170,219,100,27,7,531
E01003236,648,311,273,58,3,3,411
E01003237,608,284,251,58,14,1,413
E01003238,565,234,242,72,17,0,437
E01003239,564,227,254,74,7,2,431
E01003240,725,282,336,86,19,2,573
E01003241,695,305,291,83,12,4,512
