OA11CD,Rural Urban,All categories: Car or van availability,No cars or vans in household,1 car or van in household,2 cars or vans in household,3 cars or vans in household,4 or more cars or vans in household,sum of all cars or vans in the area
E00016403,Total,142,93,46,2,0,1,54
E00016437,Total,159,87,64,8,0,0,80
E00016439,Total,178,137,36,5,0,0,46
E00016442,Total,139,93,41,5,0,0,51
E00016399,Total,141,82,49,7,2,1,73
E00016401,Total,154,93,58,3,0,0,64
E00016406,Total,119,71,40,6,2,0,58
E00016435,Total,170,97,64,6,3,0,85
E00016395,Total,115,59,52,4,0,0,60
E00016404,Total,120,66,36,12,6,0,78
E00016405,Total,138,87,46,4,1,0,57
E00016408,Total,68,33,27,4,3,1,49
E00016410,Total,112,45,44,18,5,0,95
E00016438,Total,132,88,42,2,0,0,46
E00016398,Total,111,59,40,11,1,0,65
E00016431,Total,110,67,40,2,1,0,47
E00016432,Total,160,99,53,6,1,1,73
E00016434,Total,167,107,53,7,0,0,67
E00173943,Total,164,91,64,9,0,0,82
E00173946,Total,185,123,54,6,1,1,75
E00016397,Total,210,131,59,20,0,0,99
E00016433,Total,140,88,35,12,5,0,74
E00016436,Total,101,64,34,3,0,0,40
E00016440,Total,108,64,39,4,1,0,50
E00016441,Total,204,136,59,7,1,1,82
E00016412,Total,151,94,45,9,3,0,72
E00016414,Total,144,91,42,10,1,0,65
E00016418,Total,153,85,55,9,4,0,85
E00016422,Total,111,54,47,8,2,0,69
E00016402,Total,128,85,38,5,0,0,48
E00016407,Total,146,90,51,4,1,0,62
E00016409,Total,146,85,51,10,0,0,71
E00016411,Total,172,109,58,5,0,0,68
E00016413,Total,126,89,33,4,0,0,41
E00016415,Total,140,85,53,1,0,1,59
E00016416,Total,104,61,39,3,1,0,48
E00016419,Total,118,59,50,4,4,1,74
E00016420,Total,121,70,45,6,0,0,57
E00173947,Total,123,88,34,1,0,0,36
E00173948,Total,171,112,57,2,0,0,61
E00016417,Total,138,88,44,6,0,0,56
E00016421,Total,125,86,34,4,1,0,45
E00016423,Total,122,77,38,6,1,0,53
E00016424,Total,123,74,43,5,0,1,60
E00016427,Total,105,78,25,2,0,0,29
E00016396,Total,134,99,29,5,1,0,42
E00016426,Total,134,90,43,1,0,0,45
E00016428,Total,157,117,34,6,0,0,46
E00016429,Total,124,63,50,10,1,0,73
E00016430,Total,120,79,38,3,0,0,44
E00016680,Total,122,77,42,3,0,0,48
E00016716,Total,159,102,52,5,0,0,62
E00016717,Total,102,75,26,1,0,0,28
E00016719,Total,117,80,30,5,2,0,46
