WD22CD_proposed,All categories: Car or van availability,No cars or vans in household,1 car or van in household,2 cars or vans in household,3 cars or vans in household,4 or more cars or vans in household,sum of all cars or vans in the area
E05013714,4354,2126,1769,376,67,16,2799
E05013715,7070,3251,3060,656,74,29,4733
E05013716,7203,4110,2590,429,59,15,3691
E05013717,6145,2097,2772,1004,216,56,5669
E05013718,6263,2610,2846,664,115,28,4652
E05013719,6012,3852,1840,274,39,7,2547
E05013720,6898,2947,2983,804,132,32,5128
E05013721,4593,2825,1512,213,36,7,2080
E05013722,6506,2967,2737,649,133,20,4533
E05013723,6326,2373,2792,907,182,72,5457
E05013724,7685,3364,3292,830,147,52,5619
E05013725,6521,3275,2613,522,80,31,4025
E05013726,6320,2574,2943,668,112,23,4722
E05013727,1847,1173,576,77,17,4,799
E05013728,3560,2148,1198,178,32,4,1666
E05013729,7749,3305,3361,887,153,43,5779
E05013730,7130,3844,2630,536,91,29,4096
E05013731,7054,3263,3011,646,110,24,4740
E05013732,6855,3789,2466,509,80,11,3772
