LSOA11CD,All categories: Household composition,One person household,One person household: Aged 65 and over,One person household: Other,One family household,One family only: All aged 65 and over,One family only: Married or same-sex civil partnership couple,One family only: Married or same-sex civil partnership couple: No children,One family only: Married or same-sex civil partnership couple: Dependent children,One family only: Married or same-sex civil partnership couple: All children non-dependent,One family only: Cohabiting couple,One family only: Cohabiting couple: No children,One family only: Cohabiting couple: Dependent children,One family only: Cohabiting couple: All children non-dependent,One family only: Lone parent,One family only: Lone parent: Dependent children,One family only: Lone parent: All children non-dependent,Other household types,Other household types: With dependent children,Other household types: All full-time students,Other household types: All aged 65 and over,Other household types: Other
E01003189,624,185,70,115,376,15,162,28,106,28,45,14,24,7,154,117,37,63,30,0,6,27
E01003190,809,265,53,212,454,8,175,29,127,19,52,22,29,1,219,170,49,90,32,1,1,56
E01003191,665,250,67,183,347,12,115,36,51,28,49,25,22,2,171,132,39,68,39,1,3,25
E01003192,741,321,77,244,325,16,118,24,74,20,42,23,16,3,149,112,37,95,45,1,2,47
E01003193,666,240,78,162,350,26,152,44,81,27,55,21,30,4,117,67,50,76,26,2,5,43
E01003194,716,269,97,172,360,25,149,34,70,45,41,16,22,3,145,100,45,87,46,0,1,40
E01003195,637,206,62,144,354,23,173,54,91,28,52,31,18,3,106,67,39,77,41,0,3,33
E01003196,624,182,86,96,378,15,173,29,104,40,37,10,21,6,153,103,50,64,34,0,1,29
E01003197,625,191,80,111,355,14,146,34,80,32,46,16,27,3,149,103,46,79,46,0,2,31
E01003198,639,211,76,135,370,22,186,82,96,8,86,59,21,6,76,50,26,58,14,1,2,41
E01003199,801,275,66,209,437,17,206,73,115,18,134,109,20,5,80,50,30,89,18,3,1,67
E01003200,756,292,74,218,373,32,208,84,103,21,104,89,14,1,29,17,12,91,13,3,4,71
E01003201,680,232,55,177,338,11,151,43,94,14,54,38,13,3,122,87,35,110,39,5,0,66
E01003202,764,288,108,180,385,54,199,81,101,17,99,82,17,0,33,15,18,91,10,1,0,80
E01003203,980,529,105,424,348,15,162,73,83,6,84,58,23,3,87,69,18,103,18,5,1,79
E01003204,603,191,50,141,331,13,142,50,82,10,93,78,15,0,83,57,26,81,19,4,1,57
