OA11CD,Rural Urban,All categories: Household composition,One person household,One person household: Aged 65 and over,One person household: Other,One family household,One family only: All aged 65 and over,One family only: Married or same-sex civil partnership couple,One family only: Married or same-sex civil partnership couple: No children,One family only: Married or same-sex civil partnership couple: Dependent children,One family only: Married or same-sex civil partnership couple: All children non-dependent,One family only: Cohabiting couple,One family only: Cohabiting couple: No children,One family only: Cohabiting couple: Dependent children,One family only: Cohabiting couple: All children non-dependent,One family only: Lone parent,One family only: Lone parent: Dependent children,One family only: Lone parent: All children non-dependent,Other household types,Other household types: With dependent children,Other household types: All full-time students,Other household types: All aged 65 and over,Other household types: Other
E00016403,Total,142,43,3,40,76,0,31,5,24,2,5,2,2,1,40,36,4,23,14,0,0,9
E00016437,Total,159,25,5,20,103,1,39,2,28,9,8,0,8,0,55,45,10,31,15,4,1,11
E00016439,Total,178,96,20,76,52,0,18,3,13,2,11,6,4,1,23,19,4,30,13,2,0,15
E00016442,Total,139,44,6,38,75,0,26,4,22,0,9,3,6,0,40,36,4,20,8,2,0,10
E00016399,Total,141,21,4,17,100,2,27,5,14,8,9,4,4,1,62,51,11,20,14,0,0,6
E00016401,Total,154,54,5,49,81,0,30,13,15,2,18,14,4,0,33,30,3,19,6,2,0,11
E00016406,Total,119,27,8,19,73,0,24,5,19,0,6,1,5,0,43,37,6,19,5,4,1,9
E00016435,Total,170,55,6,49,94,4,28,5,19,4,11,4,7,0,51,40,11,21,5,3,0,13
E00016395,Total,115,40,3,37,51,4,21,6,10,5,12,9,3,0,14,8,6,24,6,2,0,16
E00016404,Total,120,35,6,29,40,3,26,5,11,10,5,4,1,0,6,3,3,45,10,6,1,28
E00016405,Total,138,51,1,50,50,0,26,16,8,2,15,12,2,1,9,6,3,37,3,4,0,30
E00016408,Total,68,27,2,25,25,0,11,6,5,0,14,13,1,0,0,0,0,16,1,0,0,15
E00016410,Total,112,28,5,23,49,2,23,9,6,8,12,8,3,1,12,6,6,35,2,2,0,31
E00016438,Total,132,56,1,55,48,0,27,17,10,0,13,12,1,0,8,6,2,28,1,4,0,23
E00016398,Total,111,48,11,37,51,2,20,6,11,3,6,3,2,1,23,18,5,12,2,0,0,10
E00016431,Total,110,58,11,47,30,0,14,3,8,3,4,3,1,0,12,7,5,22,8,0,0,14
E00016432,Total,160,64,10,54,67,5,30,15,11,4,17,12,4,1,15,9,6,29,5,2,0,22
E00016434,Total,167,62,9,53,84,0,36,11,20,5,6,3,3,0,42,36,6,21,11,0,0,10
E00173943,Total,164,69,9,60,79,2,28,7,21,0,17,11,6,0,32,30,2,16,6,0,0,10
E00173946,Total,185,67,6,61,58,1,28,22,6,0,22,19,3,0,7,5,2,60,0,9,0,51
E00016397,Total,210,54,3,51,74,2,31,17,12,2,20,14,6,0,21,18,3,82,5,7,0,70
E00016433,Total,140,52,24,28,63,6,27,12,8,7,12,6,4,2,18,11,7,25,2,1,0,22
E00016436,Total,101,35,8,27,41,2,10,2,6,2,7,7,0,0,22,18,4,25,6,0,0,19
E00016440,Total,108,15,4,11,63,1,23,2,18,3,8,3,4,1,31,23,8,30,13,0,1,16
E00016441,Total,204,89,17,72,71,1,20,6,13,1,14,8,5,1,36,27,9,44,6,1,0,37
E00016412,Total,151,56,5,51,68,4,26,5,14,7,12,10,2,0,26,13,13,27,3,2,0,22
E00016414,Total,144,67,15,52,53,0,19,6,10,3,6,2,3,1,28,14,14,24,10,2,0,12
E00016418,Total,153,37,3,34,93,1,44,19,18,7,13,11,2,0,35,29,6,23,8,2,0,13
E00016422,Total,111,19,7,12,78,2,23,3,18,2,13,4,6,3,40,35,5,14,7,0,0,7
E00016402,Total,128,47,20,27,63,3,21,8,13,0,7,3,4,0,32,22,10,18,8,3,0,7
E00016407,Total,146,74,1,73,51,1,19,7,12,0,18,15,3,0,13,11,2,21,3,2,0,16
