LSOA11CD,All categories: Occupancy rating bedrooms,Occupancy rating (bedrooms) of +2 or more,Occupancy rating (bedrooms) of +1,Occupancy rating (bedrooms) of 0,Occupancy rating (bedrooms) of -1,Occupancy rating (bedrooms) of -2 or less
E01003189,624,101,157,275,79,12
E01003190,809,65,241,368,118,17
E01003191,665,65,253,270,68,9
E01003192,741,80,181,377,83,20
E01003193,666,175,171,251,61,8
E01003194,716,110,199,317,66,24
E01003195,637,153,208,220,48,8
E01003196,624,101,192,249,63,19
E01003197,625,115,178,246,73,13
E01003198,639,192,221,183,35,8
E01003199,801,168,310,263,50,10
E01003200,756,161,255,303,32,5
E01003201,680,156,186,268,51,19
E01003202,764,261,257,218,27,1
E01003203,980,80,255,554,80,11
E01003204,603,98,223,235,45,2
E01003205,502,56,97,253,85,11
E01003206,698,170,217,260,45,6
E01003207,615,65,127,331,76,16
E01003209,778,83,187,334,119,55
E01003210,850,89,211,446,88,16
E01003211,753,60,217,402,68,6
E01003212,867,189,218,354,96,10
E01003213,813,112,248,364,72,17
E01003214,745,92,191,330,111,21
E01003215,666,82,134,323,101,26
E01003216,689,175,171,261,57,25
E01003217,622,201,226,148,37,10
E01003218,539,197,170,126,36,10
E01003219,631,206,178,190,50,7
E01003220,604,150,167,225,49,13
E01003221,769,206,187,288,76,12
E01003222,629,208,161,188,56,16
E01003223,603,255,165,141,30,12
E01003224,626,171,195,193,65,2
E01003225,590,205,227,131,19,8
E01003226,709,189,229,208,77,6
E01003227,678,184,212,228,48,6
E01003228,673,179,242,214,34,4
E01003229,742,102,182,368,78,12
E01003230,866,120,291,343,100,12
E01003231,687,149,192,272,59,15
E01003232,649,223,219,158,46,3
E01003233,669,180,246,193,41,9
E01003235,523,182,145,168,23,5
E01003236,648,70,246,258,67,7
E01003237,608,107,201,227,64,9
E01003238,565,64,191,249,54,7
E01003239,564,70,195,209,82,8
E01003240,725,88,232,317,78,10
E01003241,695,168,158,302,55,12
E01003243,581,124,172,224,56,5
E01003244,618,19,154,303,109,33
E01003245,584,33,146,311,80,14
E01003246,559,59,100,290,89,21
E01003247,685,106,148,329,77,25
E01003248,718,42,146,389,123,18
E01003249,897,54,251,487,85,20
E01003250,763,54,175,404,110,20
E01003251,777,50,171,400,130,26
E01003252,613,45,140,287,121,20
E01003253,669,65,148,338,94,24
E01003254,602,226,204,149,19,4
E01003255,964,112,284,488,72,8
E01003256,931,146,235,418,103,29
E01003257,735,160,233,279,55,8
E01003258,594,73,164,267,78,12
E01003259,756,145,262,296,48,5
E01003260,681,225,163,195,92,6
E01003261,619,179,172,225,34,9
E01003262,624,122,195,254,50,3
E01003263,739,138,246,293,52,10
E01003264,728,134,227,307,55,5
E01003265,680,81,222,288,78,11
E01003266,757,106,223,351,66,11
E01003267,598,170,187,196,42,3
E01003268,718,145,226,274,62,11
E01003269,647,162,215,206,60,4
E01003270,678,188,226,224,35,5
E01003271,637,302,211,95,25,4
E01003272,798,165,211,318,91,13
E01003273,666,157,196,162,136,15
E01003274,721,158,187,292,57,27
E01003275,640,133,173,251,64,19
E01003276,700,164,234,230,63,9
E01003277,778,119,193,366,90,10
E01003278,805,138,216,334,81,36
E01003279,654,205,172,221,45,11
E01003280,651,192,173,225,51,10
E01003281,601,211,191,161,33,5
E01003282,1047,152,292,440,99,64
E01003283,923,274,257,352,36,4
E01003284,748,184,238,267,48,11
E01003285,767,189,294,235,42,7
E01003286,786,90,226,383,77,10
E01003287,797,264,274,214,35,10
E01003288,794,100,150,415,105,24
E01003290,725,75,161,368,74,47
E01003291,682,60,137,378,86,21
E01003292,702,120,271,236,61,14
E01003293,676,74,191,316,81,14
E01003295,653,117,167,254,83,32
E01003296,1021,86,224,568,127,16
E01003297,767,14,71,481,147,54
E01003298,475,42,117,213,83,20
E01003299,609,65,154,269,95,26
E01003300,561,54,136,277,75,19
E01003301,767,75,224,333,110,25
E01003302,710,38,129,418,110,15
E01003303,560,91,140,235,67,27
E01003304,903,78,177,505,109,34
E01003305,513,71,118,249,70,5
E01003307,627,141,219,206,57,4
E01003308,734,134,215,293,74,18
E01003309,645,120,156,310,51,8
E01003310,756,83,210,378,80,5
E01003311,605,220,192,154,30,9
E01003312,779,183,233,292,51,20
E01003313,670,88,175,339,64,4
E01003314,683,151,206,234,86,6
E01003315,599,79,181,274,56,9
E01003316,609,136,222,190,57,4
E01003317,688,158,203,238,82,7
E01003318,705,58,125,386,114,22
E01003319,752,87,205,349,93,18
E01003320,650,90,189,271,86,14
E01003321,810,110,232,357,95,16
E01003322,593,131,154,236,58,14
