OA11CD,Rural Urban,All categories: Occupancy rating bedrooms,Occupancy rating (bedrooms) of +2 or more,Occupancy rating (bedrooms) of +1,Occupancy rating (bedrooms) of 0,Occupancy rating (bedrooms) of -1,Occupancy rating (bedrooms) of -2 or less
E00016403,Total,142,7,46,60,19,10
E00016437,Total,159,11,28,70,39,11
E00016439,Total,178,1,30,112,28,7
E00016442,Total,139,0,50,61,23,5
E00016399,Total,141,8,44,61,24,4
E00016401,Total,154,10,52,79,10,3
E00016406,Total,119,5,19,73,19,3
E00016435,Total,170,10,31,98,27,4
E00016395,Total,115,16,19,55,16,9
E00016404,Total,120,28,36,40,14,2
E00016405,Total,138,21,21,75,17,4
E00016408,Total,68,5,13,41,7,2
E00016410,Total,112,35,26,35,9,7
E00016438,Total,132,1,33,83,14,1
E00016398,Total,111,5,26,65,9,6
E00016431,Total,110,7,21,65,14,3
E00016432,Total,160,12,47,80,18,3
E00016434,Total,167,19,43,82,20,3
E00173943,Total,164,5,44,98,14,3
E00173946,Total,185,6,70,97,10,2
E00016397,Total,210,8,55,113,29,5
E00016433,Total,140,17,27,80,14,2
E00016436,Total,101,8,25,50,16,2
E00016440,Total,108,8,31,49,18,2
E00016441,Total,204,13,37,112,33,9
E00016412,Total,151,21,38,68,20,4
E00016414,Total,144,20,18,75,22,9
E00016418,Total,153,10,25,91,24,3
E00016422,Total,111,8,19,56,23,5
E00016402,Total,128,13,31,61,19,4
E00016407,Total,146,0,15,96,32,3
E00016409,Total,146,5,37,72,28,4
E00016411,Total,172,8,28,111,22,3
E00016413,Total,126,16,35,49,22,4
E00016415,Total,140,9,38,71,18,4
E00016416,Total,104,11,20,51,19,3
E00016419,Total,118,20,35,47,11,5
E00016420,Total,121,8,23,54,31,5
E00173947,Total,123,2,23,59,31,8
E00173948,Total,171,0,32,118,20,1
E00016417,Total,138,13,32,70,20,3
E00016421,Total,125,7,28,57,30,3
E00016423,Total,122,12,32,45,24,9
E00016424,Total,123,8,24,66,23,2
E00016427,Total,105,5,24,49,24,3
E00016396,Total,134,18,18,75,20,3
E00016426,Total,134,6,28,73,21,6
E00016428,Total,157,6,31,81,34,5
E00016429,Total,124,25,40,51,4,4
E00016430,Total,120,10,31,58,15,6
E00016680,Total,122,3,10,83,21,5
E00016716,Total,159,1,19,96,37,6
E00016717,Total,102,0,11,71,15,5
E00016719,Total,117,8,14,68,23,4
E00016720,Total,148,2,10,95,25,16
E00016725,Total,119,0,7,68,26,18
E00016706,Total,103,12,24,44,21,2
E00016708,Total,130,12,26,61,25,6
E00016709,Total,137,27,35,53,18,4
E00016714,Total,114,8,31,52,14,9
E00016715,Total,125,6,38,59,17,5
E00016675,Total,116,2,15,74,24,1
E00016677,Total,131,17,37,58,16,3
E00016683,Total,138,6,29,70,29,4
E00016697,Total,121,10,40,44,18,9
E00173940,Total,113,21,41,39,7,5
E00173949,Total,148,19,62,48,16,3
E00016684,Total,107,7,19,64,13,4
E00016687,Total,108,2,16,75,14,1
E00016694,Total,135,9,28,79,17,2
E00016718,Total,128,5,26,76,16,5
E00016721,Total,109,7,24,57,20,1
E00016723,Total,123,8,16,67,30,2
E00016679,Total,91,14,25,41,10,1
E00016689,Total,115,23,26,53,13,0
E00016693,Total,125,23,28,58,13,3
E00016701,Total,88,11,15,48,14,0
E00173939,Total,94,0,24,49,20,1
E00016210,Total,142,17,30,76,14,5
E00016239,Total,148,20,21,84,21,2
E00016240,Total,85,3,18,49,13,2
E00016241,Total,143,13,31,76,19,4
E00016245,Total,97,12,27,46,9,3
E00016211,Total,113,17,22,55,17,2
E00016213,Total,170,11,48,72,33,6
