WD22CD_proposed,All categories: Occupancy rating bedrooms,Occupancy rating (bedrooms) of +2 or more,Occupancy rating (bedrooms) of +1,Occupancy rating (bedrooms) of 0,Occupancy rating (bedrooms) of -1,Occupancy rating (bedrooms) of -2 or less
E05013714,4354,566,1256,1922,508,102
E05013715,7070,1422,2147,2871,538,92
E05013716,7203,904,1815,3494,826,164
E05013717,6145,1890,1716,1988,449,102
E05013718,6263,1531,2040,2115,502,75
E05013719,6012,551,1340,3045,869,207
E05013720,6898,1131,2177,2794,710,86
E05013721,4593,370,1074,2351,646,152
E05013722,6506,1388,1912,2571,551,84
E05013723,6326,1434,2047,2296,483,66
E05013724,7685,1490,2159,3042,798,196
E05013725,6521,1269,1750,2600,729,173
E05013726,6320,1556,1945,2277,421,121
E05013727,1847,191,404,1000,214,38
E05013728,3560,263,736,1889,549,123
E05013729,7749,1619,2339,3008,683,100
E05013730,7130,1030,1873,3204,863,160
E05013731,7054,1303,2037,2989,593,132
E05013732,6855,1073,1701,3168,772,141
