OA11CD,No central heating,Central heating,-1 or less (rooms),-1 or less (bedrooms),Average household size,Average no of rooms,Average no of bedrooms
E00016403,1.408450704225352,98.59154929577464,38,29,2.6,4.1,2.1
E00016437,1.8867924528301887,98.11320754716981,63,50,3.4,4.5,2.5
E00016439,0.0,100.0,81,35,2.1,3.4,1.7
E00016442,1.4388489208633093,98.56115107913669,50,28,2.5,3.7,2.0
E00016399,0.0,100.0,46,28,3.3,4.6,2.7
E00016401,1.948051948051948,98.05194805194805,51,13,2.2,3.7,2.0
E00016406,1.680672268907563,98.31932773109244,42,22,2.8,4.0,2.2
E00016435,0.5882352941176471,99.41176470588235,65,31,2.5,3.8,2.0
E00016395,0.0,100.0,32,25,2.5,4.2,2.1
E00016404,3.3333333333333335,96.66666666666667,23,16,3.1,5.3,3.2
E00016405,6.521739130434782,93.47826086956522,53,21,2.2,3.8,2.1
E00016408,1.4705882352941178,98.52941176470588,18,9,2.2,3.9,1.9
E00016410,2.6785714285714284,97.32142857142857,19,16,2.9,5.9,3.1
E00016438,15.151515151515152,84.84848484848484,48,15,1.8,3.2,1.6
E00016398,1.8018018018018018,98.1981981981982,29,15,2.1,3.7,1.9
E00016431,0.9090909090909091,99.0909090909091,25,17,2.2,4.0,2.0
E00016432,3.125,96.875,38,21,2.2,3.9,2.1
E00016434,0.5988023952095808,99.40119760479043,62,23,2.4,3.8,2.2
E00173943,2.4390243902439024,97.5609756097561,49,17,2.1,3.6,1.8
E00173946,5.945945945945946,94.05405405405405,66,12,1.8,3.4,1.8
E00016397,6.190476190476191,93.80952380952381,75,34,2.3,3.8,2.0
E00016433,1.4285714285714286,98.57142857142857,29,16,2.1,4.0,2.0
E00016436,1.9801980198019802,98.01980198019803,31,18,2.0,3.8,1.9
E00016440,4.62962962962963,95.37037037037037,31,20,3.1,4.5,2.6
E00016441,2.450980392156863,97.54901960784314,74,42,2.1,3.5,1.8
E00016412,2.6490066225165565,97.35099337748345,45,24,2.3,4.1,2.3
E00016414,2.7777777777777777,97.22222222222223,45,31,2.4,4.0,2.1
E00016418,7.8431372549019605,92.15686274509804,42,27,2.6,4.1,2.1
E00016422,3.6036036036036037,96.3963963963964,36,28,3.1,4.4,2.4
E00016402,1.5625,98.4375,44,23,2.4,3.9,2.1
E00016407,10.95890410958904,89.04109589041096,58,35,1.7,3.1,1.2
E00016409,1.36986301369863,98.63013698630137,55,32,2.7,3.9,2.1
E00016411,6.395348837209302,93.6046511627907,57,25,2.2,3.6,1.8
E00016413,2.380952380952381,97.61904761904762,38,26,2.4,4.1,2.2
E00016415,2.142857142857143,97.85714285714286,52,22,2.4,4.4,2.2
E00016416,0.0,100.0,38,22,2.5,3.9,2.1
E00016419,0.847457627118644,99.15254237288136,29,16,3.1,4.8,2.8
E00016420,0.0,100.0,49,36,2.9,4.4,2.2
E00173947,2.4390243902439024,97.5609756097561,50,39,2.6,3.6,1.8
E00173948,1.7543859649122806,98.24561403508773,104,21,2.2,3.1,1.8
E00016417,1.4492753623188406,98.55072463768116,43,23,2.5,4.2,2.2
E00016421,2.4,97.6,51,33,2.4,3.7,2.0
E00016423,0.819672131147541,99.18032786885246,36,33,3.0,4.4,2.4
E00016424,0.0,100.0,43,25,2.5,3.9,2.1
E00016427,1.9047619047619047,98.0952380952381,45,27,2.2,3.7,1.8
E00016396,1.492537313432836,98.50746268656717,50,23,2.0,3.7,1.9
E00016426,2.2388059701492535,97.76119402985074,40,27,2.3,3.9,1.8
E00016428,4.45859872611465,95.54140127388536,86,39,2.2,3.3,1.7
E00016429,1.6129032258064515,98.38709677419355,17,8,2.1,4.5,2.3
E00016430,3.3333333333333335,96.66666666666667,56,21,2.2,3.8,2.0
E00016680,15.573770491803279,84.42622950819673,66,26,1.8,2.8,1.2
E00016716,19.49685534591195,80.50314465408805,92,43,2.0,2.9,1.3
