WD22CD_proposed,No central heating,Central heating,-1 or less (rooms),-1 or less (bedrooms),Average household size,Average no of rooms,Average no of bedrooms
E05013714,2.4345429490124024,97.5654570509876,856,610,83.2,147.99999999999997,76.89999999999998
E05013715,3.2814710042432815,96.71852899575671,1379,630,118.9,245.09999999999985,125.6
E05013716,4.317645425517146,95.68235457448286,2172,990,122.8,223.4,116.6
E05013717,2.8152969894222943,97.1847030105777,956,551,123.3,248.29999999999995,131.50000000000003
E05013718,3.0656235031135237,96.93437649688647,948,577,109.90000000000002,225.0,116.90000000000003
E05013719,4.091816367265469,95.90818363273453,2182,1076,109.2,179.80000000000004,96.59999999999997
E05013720,3.1313424180922005,96.8686575819078,1190,796,139.6,258.99999999999994,135.40000000000003
E05013721,3.1352057478772046,96.86479425212279,1484,798,79.0,132.1,69.30000000000001
E05013722,3.4276052874269904,96.57239471257301,1331,635,116.2,233.39999999999995,121.3
E05013723,2.386974391400569,97.61302560859943,895,549,118.1,238.29999999999995,123.20000000000002
E05013724,3.3441769681197138,96.65582303188029,1703,994,147.29999999999995,275.2,143.60000000000005
E05013725,2.5609569084496244,97.43904309155037,1398,902,119.5,227.2,118.39999999999998
E05013726,2.768987341772152,97.23101265822785,1013,542,101.30000000000004,209.19999999999996,108.40000000000002
E05013727,4.60205739036275,95.39794260963725,624,252,29.6,53.50000000000001,26.6
E05013728,5.646067415730337,94.35393258426966,1236,672,68.9,111.5,57.49999999999999
E05013729,3.303652084139889,96.69634791586012,1471,783,139.99999999999997,280.20000000000005,145.4
E05013730,3.8008415147265078,96.19915848527349,1778,1023,124.9,232.99999999999997,118.4
E05013731,2.7076835837822513,97.29231641621774,1353,725,126.79999999999998,250.8,129.3
E05013732,2.6695842450765865,97.33041575492341,1753,913,119.60000000000002,219.29999999999995,115.70000000000002
