OA11CD,Rural Urban,All categories: Type of central heating in household,Does not have central heating,Does have central heating,Occupancy rating (rooms) of -1 or less,Occupancy rating (bedrooms) of -1 or less,Average household size,Average number of rooms per household,Average number of bedrooms per household
E00016403,Total,142,2,140,38,29,2.6,4.1,2.1
E00016437,Total,159,3,156,63,50,3.4,4.5,2.5
E00016439,Total,178,0,178,81,35,2.1,3.4,1.7
E00016442,Total,139,2,137,50,28,2.5,3.7,2.0
E00016399,Total,141,0,141,46,28,3.3,4.6,2.7
E00016401,Total,154,3,151,51,13,2.2,3.7,2.0
E00016406,Total,119,2,117,42,22,2.8,4.0,2.2
E00016435,Total,170,1,169,65,31,2.5,3.8,2.0
E00016395,Total,115,0,115,32,25,2.5,4.2,2.1
E00016404,Total,120,4,116,23,16,3.1,5.3,3.2
E00016405,Total,138,9,129,53,21,2.2,3.8,2.1
E00016408,Total,68,1,67,18,9,2.2,3.9,1.9
E00016410,Total,112,3,109,19,16,2.9,5.9,3.1
E00016438,Total,132,20,112,48,15,1.8,3.2,1.6
E00016398,Total,111,2,109,29,15,2.1,3.7,1.9
E00016431,Total,110,1,109,25,17,2.2,4.0,2.0
E00016432,Total,160,5,155,38,21,2.2,3.9,2.1
E00016434,Total,167,1,166,62,23,2.4,3.8,2.2
E00173943,Total,164,4,160,49,17,2.1,3.6,1.8
E00173946,Total,185,11,174,66,12,1.8,3.4,1.8
E00016397,Total,210,13,197,75,34,2.3,3.8,2.0
E00016433,Total,140,2,138,29,16,2.1,4.0,2.0
E00016436,Total,101,2,99,31,18,2.0,3.8,1.9
E00016440,Total,108,5,103,31,20,3.1,4.5,2.6
E00016441,Total,204,5,199,74,42,2.1,3.5,1.8
E00016412,Total,151,4,147,45,24,2.3,4.1,2.3
E00016414,Total,144,4,140,45,31,2.4,4.0,2.1
E00016418,Total,153,12,141,42,27,2.6,4.1,2.1
E00016422,Total,111,4,107,36,28,3.1,4.4,2.4
E00016402,Total,128,2,126,44,23,2.4,3.9,2.1
E00016407,Total,146,16,130,58,35,1.7,3.1,1.2
E00016409,Total,146,2,144,55,32,2.7,3.9,2.1
E00016411,Total,172,11,161,57,25,2.2,3.6,1.8
E00016413,Total,126,3,123,38,26,2.4,4.1,2.2
E00016415,Total,140,3,137,52,22,2.4,4.4,2.2
E00016416,Total,104,0,104,38,22,2.5,3.9,2.1
E00016419,Total,118,1,117,29,16,3.1,4.8,2.8
E00016420,Total,121,0,121,49,36,2.9,4.4,2.2
E00173947,Total,123,3,120,50,39,2.6,3.6,1.8
E00173948,Total,171,3,168,104,21,2.2,3.1,1.8
E00016417,Total,138,2,136,43,23,2.5,4.2,2.2
E00016421,Total,125,3,122,51,33,2.4,3.7,2.0
E00016423,Total,122,1,121,36,33,3.0,4.4,2.4
