LSOA11CD,All categories: Tenure,Owned: Total,Owned: Owned outright,Owned: Owned with a mortgage or loan,Shared ownership (part owned and part rented),Social rented: Total,Social rented: Rented from council (Local Authority),Social rented: Other social rented,Private rented: Total,Private rented: Private landlord or letting agency,Private rented: Employer of a household member,Private rented: Relative or friend of household member,Private rented: Other,Living rent free
E01003189,624,212,55,157,2,343,115,228,60,52,0,6,2,7
E01003190,809,233,79,154,2,444,337,107,123,116,0,5,2,7
E01003191,665,268,98,170,20,277,55,222,96,85,0,7,4,4
E01003192,741,196,58,138,12,449,167,282,77,68,1,6,2,7
E01003193,666,368,147,221,17,203,163,40,72,69,0,3,0,6
E01003194,716,275,102,173,5,292,141,151,143,135,1,5,2,1
E01003195,637,422,138,284,9,76,53,23,125,118,1,6,0,5
E01003196,624,246,73,173,0,293,93,200,79,71,0,7,1,6
E01003197,625,230,55,175,6,312,85,227,73,64,0,6,3,4
E01003198,639,344,141,203,1,180,152,28,114,104,1,8,1,0
E01003199,801,413,157,256,2,130,93,37,246,233,2,11,0,10
E01003200,756,360,184,176,1,95,68,27,289,282,4,2,1,11
E01003201,680,235,82,153,5,316,153,163,120,114,2,3,1,4
E01003202,764,468,255,213,1,40,27,13,253,247,0,5,1,2
E01003203,980,288,82,206,3,341,218,123,340,330,0,9,1,8
E01003204,603,244,89,155,2,211,195,16,140,131,0,7,2,6
E01003205,502,75,27,48,0,383,362,21,39,32,0,7,0,5
E01003206,698,347,151,196,1,154,115,39,192,186,0,5,1,4
E01003207,615,68,24,44,3,365,180,185,175,172,1,1,1,4
E01003209,778,187,51,136,32,348,243,105,201,192,0,8,1,10
E01003210,850,268,79,189,4,210,76,134,357,344,3,8,2,11
E01003211,753,279,77,202,10,190,103,87,267,248,2,14,3,7
E01003212,867,394,154,240,11,200,86,114,256,235,0,20,1,6
E01003213,813,321,92,229,6,171,92,79,303,287,1,13,2,12
E01003214,745,217,65,152,25,283,196,87,208,190,4,14,0,12
E01003215,666,152,71,81,3,182,66,116,321,306,0,7,8,8
E01003216,689,392,103,289,2,104,30,74,185,182,0,3,0,6
E01003217,622,477,158,319,5,42,6,36,97,90,0,5,2,1
E01003218,539,394,142,252,7,65,15,50,69,63,0,6,0,4
E01003219,631,462,177,285,6,57,12,45,98,95,0,3,0,8
E01003220,604,336,109,227,4,109,24,85,149,139,0,10,0,6
E01003221,769,407,143,264,9,152,48,104,191,182,0,4,5,10
E01003222,629,408,144,264,0,92,31,61,118,106,0,7,5,11
E01003223,603,465,201,264,1,27,12,15,103,98,0,4,1,7
E01003224,626,416,124,292,3,70,26,44,129,115,0,10,4,8
E01003225,590,453,157,296,18,35,11,24,77,70,0,5,2,7
E01003226,709,407,144,263,5,48,9,39,241,227,2,12,0,8
E01003227,678,425,148,277,23,84,30,54,140,139,0,1,0,6
E01003228,673,393,115,278,6,72,10,62,199,188,0,8,3,3
E01003229,742,246,76,170,17,256,81,175,210,195,2,9,4,13
E01003230,866,371,113,258,2,268,153,115,219,210,1,5,3,6
E01003231,687,305,114,191,3,130,55,75,244,236,0,8,0,5
E01003232,649,421,179,242,17,84,7,77,125,116,1,7,1,2
E01003233,669,425,144,281,1,78,41,37,160,152,0,7,1,5
E01003235,523,316,124,192,0,151,41,110,50,45,1,2,2,6
E01003236,648,260,83,177,2,276,89,187,108,102,0,6,0,2
E01003237,608,252,80,172,6,246,72,174,100,90,1,4,5,4
E01003238,565,253,80,173,13,222,98,124,75,66,0,6,3,2
E01003239,564,245,69,176,0,257,83,174,56,52,0,3,1,6
E01003240,725,329,99,230,10,277,98,179,100,92,0,8,0,9
E01003241,695,319,135,184,1,298,87,211,69,63,0,6,0,8
E01003243,581,231,84,147,9,211,64,147,116,99,1,12,4,14
E01003244,618,50,17,33,1,488,440,48,77,74,0,0,3,2
E01003245,584,48,11,37,58,425,81,344,44,41,0,0,3,9
E01003246,559,114,18,96,1,313,210,103,125,119,0,4,2,6
E01003247,685,227,71,156,3,145,61,84,301,292,1,7,1,9
E01003248,718,133,35,98,40,361,210,151,175,168,3,4,0,9
E01003249,897,150,37,113,87,421,155,266,226,217,0,6,3,13
E01003250,763,155,38,117,19,402,325,77,179,171,0,5,3,8
E01003251,777,62,17,45,22,547,420,127,133,127,0,3,3,13
E01003252,613,77,28,49,2,493,431,62,39,38,0,1,0,2
E01003253,669,132,43,89,9,348,275,73,171,161,0,7,3,9
E01003254,602,418,192,226,0,80,21,59,97,94,0,2,1,7
E01003255,964,406,126,280,11,135,22,113,406,385,4,12,5,6
E01003256,931,348,155,193,16,350,138,212,212,201,3,4,4,5
E01003257,735,355,136,219,1,256,175,81,113,101,2,7,3,10
E01003258,594,166,50,116,3,332,109,223,88,79,0,5,4,5
E01003259,756,366,123,243,9,122,57,65,239,221,0,7,11,20
E01003260,681,366,154,212,6,127,101,26,175,171,0,2,2,7
E01003261,619,358,130,228,0,161,93,68,93,89,0,4,0,7
E01003262,624,301,102,199,0,152,76,76,168,156,3,8,1,3
E01003263,739,328,119,209,1,241,37,204,163,159,1,3,0,6
E01003264,728,374,178,196,18,201,33,168,128,118,0,9,1,7
E01003265,680,232,50,182,16,179,37,142,250,239,0,10,1,3
E01003266,757,277,116,161,2,402,82,320,71,68,0,2,1,5
E01003267,598,303,108,195,9,229,62,167,53,49,0,3,1,4
E01003268,718,393,134,259,5,151,27,124,160,149,0,10,1,9
E01003269,647,345,136,209,5,193,34,159,97,92,0,4,1,7
E01003270,678,509,186,323,9,29,8,21,120,114,0,6,0,11
E01003271,637,546,260,286,1,25,2,23,62,56,0,6,0,3
E01003272,798,346,119,227,4,157,58,99,287,275,2,9,1,4
E01003273,666,356,138,218,2,203,83,120,105,88,1,13,3,0
E01003274,721,372,128,244,4,108,38,70,231,218,0,10,3,6
E01003275,640,289,90,199,6,229,103,126,96,92,0,4,0,20
E01003276,700,402,146,256,1,157,85,72,106,92,1,12,1,34
E01003277,778,324,97,227,5,215,78,137,228,210,1,15,2,6
E01003278,805,353,125,228,2,181,57,124,265,245,1,18,1,4
E01003279,654,397,149,248,1,112,69,43,133,116,0,16,1,11
E01003280,651,322,135,187,3,207,50,157,111,107,0,4,0,8
E01003281,601,419,179,240,2,98,36,62,78,70,0,6,2,4
E01003282,1047,471,149,322,13,211,84,127,345,327,1,12,5,7
E01003283,923,559,220,339,8,95,40,55,257,241,2,9,5,4
E01003284,748,424,150,274,5,143,93,50,171,164,0,7,0,5
E01003285,767,459,232,227,12,57,25,32,233,213,2,17,1,6
E01003286,786,218,85,133,15,421,168,253,124,120,0,3,1,8
E01003287,797,521,211,310,2,110,65,45,161,155,0,6,0,3
E01003288,794,206,79,127,18,374,234,140,180,175,0,4,1,16
E01003290,725,187,52,135,23,241,111,130,273,259,3,6,5,1
E01003291,682,123,32,91,7,436,208,228,112,106,0,3,3,4
E01003292,702,382,107,275,4,65,22,43,245,228,0,15,2,6
E01003293,676,281,78,203,3,144,20,124,243,233,0,8,2,5
E01003295,653,306,81,225,8,129,64,65,206,200,0,6,0,4
E01003296,1021,293,102,191,76,219,47,172,428,415,0,7,6,5
E01003297,767,216,34,182,0,124,94,30,422,416,2,4,0,5
E01003298,475,101,24,77,7,270,200,70,89,83,0,6,0,8
E01003299,609,170,41,129,7,246,185,61,182,170,2,8,2,4
E01003300,561,113,36,77,2,358,245,113,79,73,2,3,1,9
E01003301,767,257,46,211,29,174,88,86,305,297,0,8,0,2
E01003302,710,203,51,152,25,333,259,74,144,134,0,8,2,5
E01003303,560,152,53,99,1,213,181,32,190,180,0,5,5,4
E01003304,903,191,41,150,3,318,186,132,376,362,0,12,2,15
E01003305,513,141,55,86,11,267,207,60,87,77,1,8,1,7
E01003307,627,354,124,230,7,130,48,82,128,119,0,7,2,8
E01003308,734,361,104,257,2,191,49,142,178,170,1,5,2,2
E01003309,645,224,85,139,4,314,272,42,96,89,0,5,2,7
E01003310,756,201,56,145,64,282,171,111,197,190,1,5,1,12
E01003311,605,440,208,232,0,66,28,38,96,87,0,7,2,3
E01003312,779,434,151,283,7,120,39,81,212,204,0,7,1,6
E01003313,670,217,58,159,1,317,274,43,128,123,0,5,0,7
E01003314,683,388,107,281,6,119,38,81,161,150,0,8,3,9
E01003315,599,227,57,170,0,149,59,90,218,208,1,8,1,5
E01003316,609,379,137,242,5,92,17,75,129,118,0,10,1,4
E01003317,688,381,151,230,1,88,39,49,210,195,0,11,4,8
E01003318,705,207,61,146,3,146,70,76,342,331,3,3,5,7
E01003319,752,336,149,187,1,186,21,165,222,214,0,4,4,7
E01003320,650,251,91,160,0,234,54,180,154,148,1,4,1,11
E01003321,810,324,95,229,7,220,16,204,257,244,0,7,6,2
E01003322,593,309,121,188,1,108,23,85,171,157,1,11,2,4
