OA11CD,Rural Urban,All categories: Tenure,Owned: Total,Owned: Owned outright,Owned: Owned with a mortgage or loan,Shared ownership (part owned and part rented),Social rented: Total,Social rented: Rented from council (Local Authority),Social rented: Other social rented,Private rented: Total,Private rented: Private landlord or letting agency,Private rented: Employer of a household member,Private rented: Relative or friend of household member,Private rented: Other,Living rent free
E00016403,Total,142,8,5,3,0,124,116,8,10,10,0,0,0,0
E00016437,Total,159,20,4,16,0,127,121,6,11,11,0,0,0,1
E00016439,Total,178,8,1,7,0,127,100,27,42,41,0,0,1,1
E00016442,Total,139,14,7,7,1,110,103,7,14,12,0,0,2,0
E00016399,Total,141,9,1,8,0,123,12,111,4,3,0,0,1,5
E00016401,Total,154,21,4,17,30,90,15,75,11,10,0,0,1,2
E00016406,Total,119,5,2,3,2,99,9,90,12,11,0,0,1,1
E00016435,Total,170,13,4,9,26,113,45,68,17,17,0,0,0,1
E00016395,Total,115,20,11,9,1,59,15,44,34,32,0,1,1,1
E00016404,Total,120,37,11,26,1,33,14,19,47,44,1,2,0,2
E00016405,Total,138,45,12,33,0,28,9,19,63,61,0,2,0,2
E00016408,Total,68,28,6,22,0,2,1,1,37,37,0,0,0,1
E00016410,Total,112,52,20,32,0,16,15,1,42,41,0,1,0,2
E00016438,Total,132,45,11,34,1,7,7,0,78,77,0,1,0,1
E00016398,Total,111,18,8,10,6,67,22,45,19,17,0,2,0,1
E00016431,Total,110,19,6,13,6,58,52,6,23,22,0,1,0,4
E00016432,Total,160,30,5,25,21,70,36,34,38,36,0,2,0,1
E00016434,Total,167,17,7,10,14,122,32,90,11,10,0,1,0,3
E00173943,Total,164,20,5,15,39,83,8,75,18,17,0,0,1,4
E00173946,Total,185,46,6,40,1,21,5,16,117,115,0,0,2,0
E00016397,Total,210,66,14,52,2,50,15,35,92,88,0,2,2,0
E00016433,Total,140,28,11,17,1,84,78,6,26,26,0,0,0,1
E00016436,Total,101,24,2,22,0,58,56,2,16,16,0,0,0,3
E00016440,Total,108,14,6,8,0,82,76,6,10,10,0,0,0,2
E00016441,Total,204,23,5,18,16,128,100,28,35,31,0,3,1,2
E00016412,Total,151,34,7,27,1,64,63,1,51,49,0,2,0,1
E00016414,Total,144,35,6,29,0,82,78,4,25,25,0,0,0,2
E00016418,Total,153,34,3,31,0,75,9,66,41,37,0,2,2,3
E00016422,Total,111,11,2,9,0,92,60,32,8,8,0,0,0,0
E00016402,Total,128,22,6,16,1,88,84,4,16,13,3,0,0,1
E00016407,Total,146,41,10,31,1,35,5,30,69,68,0,1,0,0
E00016409,Total,146,8,2,6,23,95,37,58,16,14,0,2,0,4
E00016411,Total,172,38,9,29,14,64,12,52,56,55,0,1,0,0
E00016413,Total,126,24,8,16,1,79,72,7,18,18,0,0,0,4
E00016415,Total,140,16,7,9,5,94,81,13,23,22,0,1,0,2
E00016416,Total,104,10,3,7,1,78,64,14,15,14,0,0,1,0
E00016419,Total,118,12,1,11,0,87,85,2,17,16,0,1,0,2
E00016420,Total,121,12,3,9,0,92,85,7,13,12,0,1,0,4
E00173947,Total,123,4,2,2,0,92,83,9,24,22,0,0,2,3
E00173948,Total,171,8,1,7,16,104,22,82,41,41,0,0,0,2
E00016417,Total,138,27,10,17,1,104,68,36,5,5,0,0,0,1
E00016421,Total,125,7,1,6,0,112,95,17,6,6,0,0,0,0
E00016423,Total,122,24,9,15,1,82,76,6,14,14,0,0,0,1
E00016424,Total,123,11,5,6,0,109,108,1,3,3,0,0,0,0
E00016427,Total,105,8,3,5,0,86,84,2,11,10,0,1,0,0
E00016396,Total,134,16,2,14,0,99,68,31,18,16,0,1,1,1
E00016426,Total,134,20,4,16,0,93,81,12,19,17,0,2,0,2
E00016428,Total,157,29,11,18,0,31,19,12,95,93,0,1,1,2
E00016429,Total,124,48,18,30,1,47,31,16,26,22,0,3,1,2
E00016430,Total,120,19,8,11,8,78,76,2,13,13,0,0,0,2
E00016680,Total,122,36,4,32,0,3,3,0,83,83,0,0,0,0
E00016716,Total,159,34,5,29,0,22,6,16,101,98,2,1,0,2
E00016717,Total,102,35,5,30,0,6,4,2,59,59,0,0,0,2
E00016719,Total,117,31,8,23,0,74,71,3,11,10,0,1,0,1
E00016720,Total,148,37,6,31,0,12,7,5,99,98,0,1,0,0
E00016725,Total,119,43,6,37,0,7,3,4,69,68,0,1,0,0
E00016706,Total,103,17,4,13,1,44,38,6,40,37,0,1,2,1
E00016708,Total,130,41,11,30,0,66,49,17,21,19,0,2,0,2
E00016709,Total,137,43,10,33,3,53,43,10,37,33,2,2,0,1
E00016714,Total,114,28,6,22,0,40,27,13,46,43,0,3,0,0
E00016715,Total,125,41,10,31,3,43,28,15,38,38,0,0,0,0
E00016675,Total,116,33,6,27,0,13,5,8,69,69,0,0,0,1
E00016677,Total,131,39,9,30,7,37,8,29,48,48,0,0,0,0
E00016683,Total,138,65,8,57,0,5,4,1,68,66,0,2,0,0
E00016697,Total,121,26,8,18,2,71,38,33,21,21,0,0,0,1
E00173940,Total,113,40,7,33,0,44,31,13,29,28,0,1,0,0
E00173949,Total,148,54,8,46,20,4,2,2,70,65,0,5,0,0
E00016684,Total,107,46,8,38,7,14,4,10,40,36,0,4,0,0
E00016687,Total,108,56,11,45,0,6,2,4,46,44,0,2,0,0
E00016694,Total,135,34,12,22,17,59,14,45,22,21,0,0,1,3
E00016718,Total,128,21,6,15,0,96,89,7,10,10,0,0,0,1
E00016721,Total,109,15,1,14,1,79,75,4,13,11,0,1,1,1
E00016723,Total,123,31,13,18,0,79,75,4,13,12,0,1,0,0
E00016679,Total,91,33,16,17,0,50,22,28,8,6,0,2,0,0
E00016689,Total,115,49,14,35,1,41,37,4,24,20,0,3,1,0
E00016693,Total,125,23,10,13,0,71,58,13,28,26,0,2,0,3
E00016701,Total,88,32,11,21,4,33,22,11,17,16,0,1,0,2
E00173939,Total,94,4,4,0,6,72,68,4,10,9,1,0,0,2
E00016210,Total,142,12,3,9,0,82,11,71,45,44,0,1,0,3
E00016239,Total,148,8,3,5,1,42,5,37,96,94,1,0,1,1
E00016240,Total,85,3,0,3,0,75,12,63,7,7,0,0,0,0
E00016241,Total,143,26,11,15,1,99,94,5,17,17,0,0,0,0
E00016245,Total,97,19,7,12,1,67,58,9,10,10,0,0,0,0
E00016211,Total,113,29,9,20,0,66,53,13,17,15,0,1,1,1
E00016213,Total,170,40,6,34,0,93,81,12,36,32,0,4,0,1
E00016244,Total,128,48,14,34,13,30,19,11,33,33,0,0,0,4
E00016250,Total,141,21,6,15,0,94,60,34,24,24,0,0,0,2
E00174011,Total,53,6,1,5,17,14,10,4,16,16,0,0,0,0
E00174032,Total,132,29,10,19,1,38,9,29,62,59,0,3,0,2
E00174033,Total,41,14,5,9,1,13,11,2,13,13,0,0,0,0
E00016216,Total,171,63,21,42,0,28,0,28,78,75,0,3,0,2
E00016236,Total,204,56,14,42,2,23,4,19,117,112,3,2,0,6
E00016246,Total,137,47,13,34,2,59,47,12,27,25,0,2,0,2
E00016248,Total,174,43,13,30,0,38,8,30,93,92,0,0,1,0
E00016252,Total,164,59,18,41,0,62,17,45,42,40,0,1,1,1
E00016214,Total,162,83,39,44,5,27,15,12,46,45,0,1,0,1
E00016215,Total,135,57,20,37,2,38,28,10,37,31,0,5,1,1
E00016217,Total,186,60,18,42,1,60,9,51,62,56,0,6,0,3
E00016237,Total,112,77,40,37,1,4,2,2,29,26,0,3,0,1
E00016247,Total,140,55,16,39,1,42,21,21,42,41,0,1,0,0
E00016253,Total,132,62,21,41,1,29,11,18,40,36,0,4,0,0
E00016209,Total,158,43,18,25,2,65,19,46,46,42,0,2,2,2
E00016235,Total,145,27,11,16,0,37,13,24,81,80,0,1,0,0
E00016238,Total,181,53,24,29,1,39,16,23,87,82,0,3,2,1
E00173941,Total,105,18,10,8,0,24,8,16,58,55,0,0,3,5
E00173942,Total,77,11,8,3,0,17,10,7,49,47,0,1,1,0
E00016881,Total,104,24,9,15,0,59,50,9,19,18,0,1,0,2
E00016915,Total,143,11,1,10,0,67,41,26,60,57,0,1,2,5
E00016916,Total,142,20,4,16,0,103,77,26,18,15,0,0,3,1
E00016920,Total,126,18,5,13,0,85,74,11,22,22,0,0,0,1
E00173950,Total,117,14,3,11,17,49,7,42,36,31,0,2,3,1
E00173951,Total,139,3,0,3,10,122,12,110,3,3,0,0,0,1
E00016921,Total,131,27,6,21,3,79,75,4,21,20,0,1,0,1
E00016922,Total,144,38,14,24,0,67,46,21,38,38,0,0,0,1
E00016923,Total,156,55,20,35,1,40,33,7,55,54,0,1,0,5
E00016925,Total,199,65,25,40,3,28,9,19,99,97,0,2,0,4
E00016926,Total,133,29,9,20,0,78,55,23,23,23,0,0,0,3
E00016917,Total,179,50,14,36,1,18,9,9,109,107,0,1,1,1
E00016918,Total,156,36,9,27,0,13,7,6,104,102,0,2,0,3
E00016919,Total,141,58,25,33,0,36,21,15,47,47,0,0,0,0
E00016924,Total,186,66,23,43,1,37,10,27,79,77,0,1,1,3
E00016927,Total,135,65,15,50,0,24,14,10,45,44,0,1,0,1
E00016879,Total,165,94,44,50,1,33,15,18,35,32,0,3,0,2
E00016884,Total,130,69,32,37,0,23,5,18,38,36,0,2,0,0
E00016886,Total,151,58,20,38,2,36,19,17,54,53,0,0,1,1
E00016893,Total,135,54,27,27,0,43,7,36,38,35,0,3,0,0
E00016885,Total,137,66,31,35,0,29,15,14,39,35,2,2,0,3
E00016887,Total,102,62,28,34,0,18,7,11,21,21,0,0,0,1
E00016889,Total,116,53,19,34,0,35,26,9,25,24,0,1,0,3
E00016890,Total,137,36,7,29,1,68,68,0,31,30,0,1,0,1
E00016895,Total,134,57,21,36,0,25,1,24,51,48,0,1,2,1
E00016159,Total,120,63,27,36,0,24,19,5,32,32,0,0,0,1
E00016173,Total,133,63,21,42,2,41,39,2,25,24,0,1,0,2
E00016176,Total,135,94,26,68,0,6,5,1,33,32,0,1,0,2
E00016184,Total,131,65,28,37,0,5,3,2,59,52,2,5,0,2
E00016186,Total,143,64,28,36,0,22,19,3,54,52,0,2,0,3
E00016188,Total,139,64,27,37,0,32,8,24,43,41,0,2,0,0
E00016164,Total,110,33,14,19,0,66,60,6,11,9,1,0,1,0
E00016170,Total,150,47,14,33,0,67,52,15,36,34,1,1,0,0
E00016175,Total,149,44,12,32,1,74,25,49,30,29,0,1,0,0
E00016181,Total,140,20,6,14,3,96,10,86,20,20,0,0,0,1
E00016182,Total,131,91,36,55,1,13,6,7,23,22,0,1,0,3
E00016162,Total,129,64,22,42,0,28,27,1,37,36,0,1,0,0
E00016198,Total,105,37,9,28,0,37,32,5,28,26,0,2,0,3
E00016202,Total,100,9,2,7,1,81,80,1,7,5,0,0,2,2
E00016205,Total,129,92,32,60,0,2,1,1,34,33,0,1,0,1
E00016208,Total,140,42,24,18,1,63,55,8,34,31,0,3,0,0
E00016199,Total,119,35,12,23,0,63,61,2,19,15,0,4,0,2
E00016200,Total,84,6,1,5,0,72,66,6,5,5,0,0,0,1
E00016201,Total,56,5,2,3,0,45,44,1,6,6,0,0,0,0
E00016203,Total,129,12,3,9,0,111,109,2,4,4,0,0,0,2
E00016207,Total,114,17,9,8,0,92,82,10,5,2,0,3,0,0
E00016163,Total,129,59,15,44,0,35,34,1,35,34,0,1,0,0
E00016165,Total,119,65,34,31,1,20,9,11,33,32,0,1,0,0
E00016168,Total,86,39,18,21,0,8,0,8,39,39,0,0,0,0
E00016169,Total,116,80,48,32,0,17,16,1,16,15,0,1,0,3
E00016172,Total,127,49,15,34,0,39,31,8,39,38,0,0,1,0
E00016177,Total,121,55,21,34,0,35,25,10,30,28,0,2,0,1
E00016219,Total,146,41,11,30,0,44,28,16,57,52,1,3,1,4
E00016220,Total,136,48,10,38,0,30,14,16,58,53,0,5,0,0
E00016221,Total,146,47,15,32,0,36,33,3,63,60,0,3,0,0
E00016223,Total,107,49,21,28,3,33,13,20,22,20,0,1,1,0
E00016225,Total,117,47,11,36,3,28,8,20,37,35,1,0,1,2
E00016255,Total,101,47,9,38,4,19,7,12,30,28,0,2,0,1
E00016218,Total,113,41,11,30,0,11,5,6,60,56,0,4,0,1
E00016222,Total,160,47,14,33,0,53,29,24,59,56,1,2,0,1
E00016224,Total,156,69,17,52,2,18,7,11,62,59,0,2,1,5
E00016226,Total,120,47,13,34,2,43,29,14,27,22,0,4,1,1
E00016227,Total,139,58,16,42,0,20,10,10,59,59,0,0,0,2
E00016228,Total,125,59,21,38,2,26,12,14,36,35,0,1,0,2
E00016229,Total,182,67,21,46,0,38,12,26,77,70,0,7,0,0
E00016230,Total,134,59,26,33,13,22,4,18,36,34,1,1,0,4
E00016231,Total,145,38,8,30,0,72,45,27,30,30,0,0,0,5
E00016232,Total,130,33,8,25,0,52,46,6,44,39,3,2,0,1
E00016233,Total,154,20,2,18,12,99,89,10,21,17,0,4,0,2
E00016212,Total,120,45,16,29,0,56,46,10,19,11,0,8,0,0
E00016249,Total,118,25,9,16,0,78,72,6,12,9,0,3,0,3
E00016254,Total,107,48,15,33,1,41,10,31,16,10,0,6,0,1
E00173952,Total,108,24,11,13,0,56,34,22,28,28,0,0,0,0
