LSOA11CD,Incapacity Benefit and Severe Disablement Allowance
E01003189,0.0
E01003190,0.0
E01003191,0.0
E01003192,0.0
E01003193,0.0
E01003194,0.0
E01003195,0.0
E01003196,0.0
E01003197,0.0
E01003198,0.0
E01003199,0.0
E01003200,0.0
E01003201,0.0
E01003202,0.0
E01003203,0.0
E01003204,0.0
E01003205,0.0
E01003206,0.0
E01003207,0.0
E01003209,0.0
E01003210,0.0
E01003211,0.0
E01003212,0.0
E01003213,0.0
E01003214,0.0
E01003215,0.0
E01003216,0.0
E01003217,0.0
E01003218,0.0
E01003219,0.0
E01003220,0.0
E01003221,0.0
E01003222,0.0
E01003223,0.0
E01003224,0.0
E01003225,0.0
E01003226,0.0
E01003227,0.0
E01003228,0.0
E01003229,0.0
E01003230,0.0
E01003231,0.0
E01003232,0.0
E01003233,0.0
E01003235,0.0
E01003236,5.0
E01003237,0.0
E01003238,0.0
E01003239,0.0
E01003240,0.0
E01003241,0.0
E01003243,0.0
E01003244,0.0
E01003245,0.0
E01003246,0.0
E01003247,0.0
E01003248,0.0
E01003249,0.0
E01003250,0.0
E01003251,0.0
E01003252,0.0
E01003253,0.0
E01003254,0.0
E01003255,0.0
E01003256,0.0
E01003257,0.0
E01003258,0.0
E01003259,0.0
E01003260,0.0
E01003261,0.0
E01003262,0.0
E01003263,0.0
E01003264,0.0
E01003265,0.0
E01003266,0.0
E01003267,0.0
E01003268,0.0
E01003269,0.0
E01003270,0.0
E01003271,0.0
E01003272,0.0
E01003273,0.0
E01003274,0.0
E01003275,0.0
E01003276,0.0
E01003277,0.0
E01003278,0.0
E01003279,0.0
E01003280,0.0
E01003281,0.0
E01003282,0.0
E01003283,0.0
E01003284,0.0
E01003285,0.0
E01003286,0.0
E01003287,0.0
E01003288,0.0
E01003290,0.0
E01003291,0.0
E01003292,0.0
E01003293,0.0
E01003295,0.0
E01003296,0.0
E01003297,0.0
E01003298,0.0
E01003299,0.0
E01003300,0.0
E01003301,0.0
E01003302,0.0
E01003303,5.0
E01003304,0.0
E01003305,0.0
E01003307,0.0
E01003308,0.0
E01003309,0.0
E01003310,0.0
E01003311,0.0
E01003312,0.0
E01003313,0.0
E01003314,0.0
E01003315,0.0
E01003316,0.0
E01003317,0.0
E01003318,0.0
E01003319,0.0
E01003320,0.0
E01003321,0.0
E01003322,0.0
E01003323,0.0
E01003324,0.0
E01003325,0.0
E01003326,0.0
E01003327,0.0
E01003328,0.0
E01003329,0.0
E01003330,0.0
E01003331,0.0
E01003332,0.0
E01003333,0.0
E01003334,0.0
E01003335,0.0
E01003336,0.0
E01003337,0.0
E01003338,0.0
E01003339,0.0
E01003340,0.0
E01003341,0.0
E01003342,0.0
E01003343,0.0
E01003344,0.0
E01003345,0.0
E01003346,0.0
E01003347,0.0
E01003348,0.0
E01003349,0.0
E01003350,0.0
E01003351,0.0
E01003352,0.0
E01003353,0.0
E01003354,0.0
E01032564,0.0
E01032565,0.0
E01032579,0.0
E01033320,0.0
E01033322,0.0
E01033324,0.0
E01033325,0.0
E01033327,0.0
E01033341,0.0
