LSOA11CD,Income Support
E01003189,31.0
E01003190,19.0
E01003191,11.0
E01003192,34.0
E01003193,13.0
E01003194,15.0
E01003195,0.0
E01003196,18.0
E01003197,25.0
E01003198,7.0
E01003199,6.0
E01003200,0.0
E01003201,7.0
E01003202,0.0
E01003203,11.0
E01003204,12.0
E01003205,12.0
E01003206,9.0
E01003207,19.0
E01003209,23.0
E01003210,0.0
E01003211,0.0
E01003212,6.0
E01003213,5.0
E01003214,6.0
E01003215,0.0
E01003216,0.0
E01003217,0.0
E01003218,0.0
E01003219,0.0
E01003220,7.0
E01003221,11.0
E01003222,5.0
E01003223,0.0
E01003224,6.0
E01003225,0.0
E01003226,0.0
E01003227,0.0
E01003228,0.0
E01003229,21.0
E01003230,6.0
E01003231,0.0
E01003232,0.0
E01003233,0.0
E01003235,14.0
E01003236,6.0
E01003237,11.0
E01003238,16.0
E01003239,13.0
E01003240,13.0
E01003241,5.0
E01003243,14.0
E01003244,17.0
E01003245,18.0
E01003246,15.0
E01003247,0.0
E01003248,12.0
E01003249,11.0
E01003250,23.0
E01003251,12.0
E01003252,17.0
E01003253,0.0
E01003254,12.0
E01003255,0.0
E01003256,7.0
E01003257,6.0
E01003258,5.0
E01003259,6.0
E01003260,0.0
E01003261,0.0
E01003262,0.0
E01003263,10.0
E01003264,0.0
E01003265,0.0
E01003266,29.0
E01003267,19.0
E01003268,6.0
E01003269,5.0
E01003270,0.0
E01003271,0.0
E01003272,0.0
E01003273,0.0
E01003274,5.0
E01003275,11.0
E01003276,6.0
E01003277,0.0
E01003278,0.0
E01003279,6.0
E01003280,13.0
E01003281,5.0
E01003282,0.0
E01003283,0.0
E01003284,11.0
E01003285,0.0
E01003286,16.0
E01003287,0.0
E01003288,9.0
E01003290,11.0
E01003291,12.0
E01003292,0.0
E01003293,5.0
E01003295,9.0
E01003296,18.0
E01003297,5.0
E01003298,16.0
E01003299,5.0
E01003300,6.0
E01003301,0.0
E01003302,5.0
E01003303,7.0
E01003304,0.0
E01003305,12.0
E01003307,0.0
E01003308,0.0
E01003309,12.0
E01003310,5.0
E01003311,6.0
E01003312,0.0
E01003313,11.0
E01003314,0.0
E01003315,0.0
E01003316,7.0
E01003317,24.0
E01003318,11.0
E01003319,5.0
E01003320,0.0
E01003321,0.0
E01003322,5.0
E01003323,0.0
E01003324,6.0
E01003325,6.0
E01003326,0.0
E01003327,0.0
E01003328,0.0
E01003329,6.0
E01003330,14.0
E01003331,11.0
E01003332,0.0
E01003333,0.0
E01003334,6.0
E01003335,26.0
E01003336,11.0
E01003337,13.0
E01003338,26.0
E01003339,0.0
E01003340,0.0
E01003341,0.0
E01003342,0.0
E01003343,0.0
E01003344,0.0
E01003345,5.0
E01003346,16.0
E01003347,34.0
E01003348,23.0
E01003349,6.0
E01003350,8.0
E01003351,24.0
E01003352,19.0
E01003353,5.0
E01003354,6.0
E01032564,21.0
E01032565,6.0
E01032579,12.0
E01033320,0.0
E01033322,5.0
E01033324,0.0
E01033325,0.0
E01033327,0.0
E01033341,8.0
