OA11CD,Quarter,Jobseekers Allowance
E00016403,May-21,0.0
E00016437,May-21,0.0
E00016439,May-21,0.0
E00016442,May-21,5.0
E00016399,May-21,0.0
E00016401,May-21,5.0
E00016406,May-21,0.0
E00016435,May-21,6.0
E00016395,May-21,6.0
E00016404,May-21,0.0
E00016405,May-21,0.0
E00016408,May-21,0.0
E00016410,May-21,0.0
E00016438,May-21,0.0
E00016398,May-21,0.0
E00016431,May-21,0.0
E00016432,May-21,6.0
E00016434,May-21,6.0
E00173943,May-21,0.0
E00173946,May-21,0.0
E00016397,May-21,6.0
E00016433,May-21,6.0
E00016436,May-21,0.0
E00016440,May-21,0.0
E00016441,May-21,7.0
E00016412,May-21,7.0
E00016414,May-21,5.0
E00016418,May-21,0.0
E00016422,May-21,0.0
E00016402,May-21,5.0
E00016407,May-21,0.0
E00016409,May-21,7.0
E00016411,May-21,0.0
E00016413,May-21,0.0
E00016415,May-21,0.0
E00016416,May-21,0.0
E00016419,May-21,0.0
E00016420,May-21,0.0
E00173947,May-21,0.0
E00173948,May-21,0.0
E00016417,May-21,0.0
E00016421,May-21,0.0
E00016423,May-21,0.0
E00016424,May-21,6.0
E00016427,May-21,0.0
E00016396,May-21,0.0
E00016426,May-21,5.0
E00016428,May-21,5.0
E00016429,May-21,0.0
E00016430,May-21,0.0
E00016680,May-21,0.0
E00016716,May-21,0.0
E00016717,May-21,0.0
E00016719,May-21,0.0
E00016720,May-21,0.0
E00016725,May-21,0.0
E00016706,May-21,0.0
E00016708,May-21,0.0
E00016709,May-21,0.0
E00016714,May-21,0.0
E00016715,May-21,0.0
E00016675,May-21,0.0
E00016677,May-21,5.0
E00016683,May-21,0.0
E00016697,May-21,0.0
E00173940,May-21,0.0
E00173949,May-21,0.0
E00016684,May-21,0.0
E00016687,May-21,0.0
E00016694,May-21,0.0
E00016718,May-21,0.0
E00016721,May-21,0.0
E00016723,May-21,0.0
E00016679,May-21,0.0
E00016689,May-21,0.0
E00016693,May-21,0.0
E00016701,May-21,0.0
E00173939,May-21,0.0
E00016210,May-21,6.0
E00016239,May-21,0.0
E00016240,May-21,0.0
E00016241,May-21,0.0
E00016245,May-21,0.0
E00016211,May-21,0.0
E00016213,May-21,0.0
E00016244,May-21,0.0
E00016250,May-21,0.0
E00174011,May-21,0.0
E00174032,May-21,0.0
E00174033,May-21,0.0
E00016216,May-21,0.0
E00016236,May-21,6.0
E00016246,May-21,0.0
E00016248,May-21,0.0
E00016252,May-21,0.0
E00016214,May-21,0.0
E00016215,May-21,0.0
E00016217,May-21,5.0
E00016237,May-21,0.0
E00016247,May-21,0.0
E00016253,May-21,0.0
E00016209,May-21,0.0
E00016235,May-21,0.0
E00016238,May-21,0.0
E00173941,May-21,0.0
E00173942,May-21,0.0
E00016881,May-21,0.0
