LSOA11CD,Total,Main language is English,Main language is not English: Can speak English very well,Main language is not English: Can speak English well,Main language is not English: Cannot speak English well,Main language is not English: Cannot speak English
E01003189,1593,1379,93,74,44,3
E01003190,1734,1495,106,92,35,6
E01003191,1390,1235,57,74,22,2
E01003192,1550,1312,99,93,42,4
E01003193,1506,1362,53,59,30,2
E01003194,1615,1371,94,91,58,1
E01003195,1474,1301,80,60,31,2
E01003196,1612,1420,82,77,30,3
E01003197,1553,1368,88,64,29,4
E01003198,1391,1280,72,25,12,2
E01003199,1631,1429,109,68,21,4
E01003200,1494,1354,86,40,10,4
E01003201,1591,1368,104,75,38,6
E01003202,1490,1315,109,55,10,1
E01003203,1688,1396,138,112,34,8
E01003204,1316,1132,80,72,29,3
E01003205,1283,1029,87,103,52,12
E01003206,1475,1233,109,79,40,14
E01003207,1348,1065,111,108,60,4
E01003209,1923,1595,162,111,46,9
E01003210,1659,1340,165,114,33,7
E01003211,1490,1272,122,73,19,4
E01003212,1905,1653,154,75,19,4
E01003213,1838,1527,176,99,33,3
E01003214,1673,1419,107,101,38,8
E01003215,1863,1429,225,142,59,8
E01003216,1784,1513,104,116,46,5
E01003217,1578,1361,92,71,46,8
E01003218,1441,1255,102,50,31,3
E01003219,1599,1375,118,73,33,0
E01003220,1487,1289,99,71,23,5
E01003221,1865,1585,128,92,51,9
E01003222,1582,1388,69,72,44,9
E01003223,1659,1413,87,113,43,3
E01003224,1584,1314,102,108,55,5
E01003225,1446,1278,84,46,36,2
E01003226,1645,1414,104,90,34,3
E01003227,1565,1376,101,67,17,4
E01003228,1411,1287,82,35,6,1
E01003229,1485,1247,105,89,40,4
E01003230,1837,1590,118,80,44,5
E01003231,1510,1226,162,93,27,2
E01003232,1640,1433,81,92,31,3
E01003233,1611,1365,105,103,37,1
E01003235,1233,1137,34,42,15,5
E01003236,1491,1315,85,51,38,2
E01003237,1395,1225,74,69,22,5
E01003238,1321,1174,67,64,15,1
E01003239,1362,1231,51,60,18,2
E01003240,1689,1528,77,68,15,1
E01003241,1492,1267,92,92,39,2
E01003243,1282,1053,76,100,50,3
E01003244,1512,1142,141,158,63,8
E01003245,1476,1161,122,120,68,5
E01003246,1388,1069,125,109,68,17
E01003247,1634,1071,267,232,52,12
E01003248,1536,1114,202,148,61,11
E01003249,1856,1407,237,143,62,7
E01003250,1688,1260,221,161,41,5
E01003251,1888,1370,204,179,114,21
E01003252,1471,1077,120,143,108,23
E01003253,1380,1074,103,127,62,14
E01003254,1381,1261,75,24,16,5
E01003255,1805,1538,151,84,23,9
E01003256,1948,1508,219,149,67,5
E01003257,1602,1403,94,70,30,5
E01003258,1408,1169,122,76,36,5
E01003259,1514,1305,109,67,30,3
