OA11CD,Total,Main language is English,Main language is not English: Can speak English very well,Main language is not English: Can speak English well,Main language is not English: Cannot speak English well,Main language is not English: Cannot speak English
E00016403,333,235,38,43,16,1
E00016437,507,393,29,59,21,5
E00016439,346,258,40,33,14,1
E00016442,326,256,34,23,12,1
E00016399,444,358,31,30,22,3
E00016401,316,224,38,38,15,1
E00016406,320,275,16,23,6,0
E00016435,396,304,37,29,25,1
E00016395,280,215,31,26,5,3
E00016404,358,228,54,63,9,4
E00016405,298,181,60,45,12,0
E00016408,143,102,16,21,2,2
E00016410,322,229,40,35,15,3
E00016438,233,116,66,42,9,0
E00016398,249,210,21,11,7,0
E00016431,233,188,25,17,3,0
E00016432,338,255,45,18,20,0
E00016434,392,291,40,34,23,4
E00173943,324,259,36,20,7,2
E00173946,320,204,70,43,2,1
E00016397,465,313,87,54,10,1
E00016433,294,231,34,23,6,0
E00016436,193,144,25,17,7,0
E00016440,315,239,37,30,8,1
E00016441,421,333,38,37,10,3
E00016412,338,246,37,31,17,7
E00016414,328,246,32,32,13,5
E00016418,389,316,37,21,15,0
E00016422,333,261,19,25,23,5
E00016402,287,208,41,29,7,2
E00016407,245,168,40,30,6,1
E00016409,359,259,34,40,23,3
E00016411,352,256,61,24,10,1
E00016413,293,223,26,25,15,4
E00016415,327,255,35,20,14,3
E00016416,248,185,23,20,17,3
E00016419,349,273,30,28,17,1
E00016420,322,239,27,26,27,3
E00173947,296,216,25,30,19,6
E00173948,346,202,64,55,20,5
E00016417,339,261,27,21,23,7
E00016421,281,184,39,33,19,6
E00016423,341,241,22,45,29,4
E00016424,288,227,11,24,24,2
E00016427,222,164,21,20,13,4
E00016396,256,217,14,11,8,6
E00016426,296,210,32,34,17,3
E00016428,324,227,34,47,14,2
E00016429,248,223,6,13,4,2
E00016430,256,197,17,22,19,1
E00016680,204,132,29,35,8,0
E00016716,283,197,38,41,4,3
E00016717,170,106,28,30,6,0
E00016719,237,201,13,14,4,5
E00016720,296,201,46,34,13,2
E00016725,218,132,40,41,3,2
E00016706,231,165,33,26,7,0
E00016708,335,271,23,26,11,4
E00016709,372,295,37,29,10,1
E00016714,283,210,30,33,9,1
E00016715,319,276,20,16,7,0
E00016675,218,128,49,31,7,3
E00016677,498,344,77,61,15,1
E00016683,289,201,52,30,6,0
E00016697,348,273,31,28,14,2
E00173940,340,294,11,24,7,4
E00173949,374,258,48,49,18,1
E00016684,220,153,29,24,11,3
E00016687,170,127,13,22,7,1
E00016694,318,240,35,23,18,2
E00016718,246,196,17,17,12,4
E00016721,232,183,20,18,10,1
E00016723,255,192,18,30,13,2
E00016679,310,273,10,11,13,3
E00016689,258,235,15,4,3,1
E00016693,338,275,30,14,16,3
E00016701,221,182,17,13,8,1
E00173939,204,172,17,11,3,1
E00016210,330,258,33,33,6,0
E00016239,312,242,26,26,17,1
E00016240,166,140,13,12,1,0
E00016241,279,228,13,21,16,1
E00016245,261,197,26,16,20,2
E00016211,253,215,21,12,5,0
E00016213,348,280,35,21,11,1
E00016244,353,298,20,24,10,1
E00016250,261,229,22,9,1,0
E00174011,101,60,17,19,5,0
E00174032,487,404,41,24,12,6
E00174033,120,109,6,2,2,1
E00016216,318,273,23,22,0,0
E00016236,356,243,51,44,14,4
E00016246,328,262,32,24,9,1
E00016248,304,254,30,13,7,0
E00016252,353,308,29,11,3,2
E00016214,369,312,32,20,5,0
E00016215,297,259,23,14,1,0
E00016217,390,355,16,14,4,1
E00016237,283,237,34,5,4,3
E00016247,267,245,15,6,1,0
E00016253,299,245,34,16,4,0
E00016209,406,333,35,21,12,5
E00016235,273,211,28,25,7,2
E00016238,379,312,32,22,13,0
E00173941,553,429,90,22,11,1
E00173942,252,144,40,52,16,0
E00016881,228,167,21,19,20,1
E00016915,262,190,21,31,16,4
E00016916,334,267,23,20,22,2
E00016920,325,257,24,27,12,5
E00173950,253,170,32,30,18,3
E00173951,303,242,20,22,18,1
E00016921,290,218,24,32,12,4
E00016922,303,243,31,20,6,3
E00016923,365,284,55,15,9,2
E00016925,416,335,49,23,9,0
E00016926,314,272,24,11,6,1
E00016917,468,340,63,37,26,2
E00016918,361,284,45,25,6,1
E00016919,322,281,20,16,3,2
E00016924,412,338,38,20,16,0
E00016927,290,246,29,8,6,1
E00016879,432,366,35,23,7,1
E00016884,332,295,23,12,2,0
