WD22CD_proposed,Total,Main language is English,Main language is not English: Can speak English very well,Main language is not English: Can speak English well,Main language is not English: Cannot speak English well,Main language is not English: Cannot speak English
E05013714,10061,8760,556,505,218,22
E05013715,14787,12666,1014,743,297,67
E05013716,15857,13153,1481,895,281,47
E05013717,15437,13130,955,865,436,51
E05013718,14150,12216,942,695,272,25
E05013719,13767,10224,1420,1272,722,129
E05013720,16008,14166,794,718,295,35
E05013721,10434,7648,1284,1033,401,68
E05013722,14069,11998,1042,709,272,48
E05013723,14268,12317,883,753,280,35
E05013724,18189,15322,1299,1058,454,56
E05013725,15439,12444,1307,1120,467,101
E05013726,13860,11813,987,715,292,53
E05013727,3678,2681,457,349,161,30
E05013728,8128,6255,788,736,296,53
E05013729,17327,15134,1043,793,313,44
E05013730,15850,13086,1143,1105,455,61
E05013731,15287,13161,1033,808,248,37
E05013732,15660,12861,1316,956,451,76
