OA11CD,Total,English,Welsh/Cymraeg (in England only),Other UK language: Total,Other UK language: Gaelic (Irish),Other UK language: Gaelic (Scottish),Other UK language: Manx Gaelic,Other UK language: Gaelic (Not otherwise specified),Other UK language: Cornish,Other UK language: Scots,Other UK language: Gypsy/Traveller languages,French,Portuguese,Spanish,Other European Language (EU): Total,Other European Language (EU): Italian,Other European Language (EU): German,Other European Language (EU): Polish,Other European Language (EU): Slovak,Other European Language (EU): Czech,Other European Language (EU): Romanian,Other European Language (EU): Lithuanian,Other European Language (EU): Latvian,Other European Language (EU): Hungarian,Other European Language (EU): Bulgarian,Other European Language (EU): Greek,Other European Language (EU): Dutch,Other European Language (EU): Swedish,Other European Language (EU): Danish,Other European Language (EU): Finnish,Other European Language (EU): Estonian,Other European Language (EU): Slovenian,Other European Language (EU): Maltese,Other European Language (EU): Any other European Language (EU),Other European Language (non EU): Total,Other European Language (non EU): Albanian,Other European Language (non EU): Serbian/Croatian/Bosnian,Other European Language (non EU): Ukrainian,Other European Language (non EU): Any other Eastern European Language (non EU),Other European Language (non EU): Northern European Language (non EU),Other European Language (non-national): Total,Other European Language (non-national): Romani language (any),Other European Language (non-national): Yiddish,Russian,Turkish,Arabic,West/Central Asian Language: Total,West/Central Asian Language: Hebrew,West/Central Asian Language: Kurdish,West/Central Asian Language: Persian/Farsi,West/Central Asian Language: Pashto,West/Central Asian Language: West/Central Asian Language (all other),South Asian Language: Total,South Asian Language: Urdu,South Asian Language: Hindi,South Asian Language: Panjabi,South Asian Language: Pakistani Pahari (with Mirpuri and Potwari),South Asian Language: Bengali (with Sylheti and Chatgaya),South Asian Language: Gujarati,South Asian Language: Marathi,South Asian Language: Telugu,South Asian Language: Tamil,South Asian Language: Malayalam,South Asian Language: Sinhala,South Asian Language: Nepalese,South Asian Language: South Asian Language (all other),East Asian Language: Total,East Asian Language: Mandarin Chinese,East Asian Language: Cantonese Chinese,East Asian Language: All other Chinese,East Asian Language: Japanese,East Asian Language: Korean,East Asian Language: Vietnamese,East Asian Language: Thai,East Asian Language: Malay,East Asian Language: Tagalog/Filipino,East Asian Language: East Asian Language (all other),Oceanic/Australian language (any),North/South American language (any),Caribbean Creole: Total,Caribbean Creole: Caribbean Creole (English-based),Caribbean Creole: Caribbean Creole (all other),African Language: Total,African Language: Amharic,African Language: Tigrinya,African Language: Somali,African Language: Krio,African Language: Akan,African Language: Yoruba,African Language: Igbo,African Language: Swahili/Kiswahili,African Language: Luganda,African Language: Lingala,African Language: Shona,African Language: Afrikaans,African Language: Any other Nigerian language,African Language: West African language (all other),African Language: African language (all other),Other Languages: Total,Other Languages: All other languages,Sign Language: Total,Sign Language: British sign language,Sign Language: Sign Language (all other),Sign Language: Any Sign Communication System
E00016403,333,235,0,0,0,0,0,0,0,0,0,10,9,5,20,1,0,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,11,0,4,0,0,2,0,0,0,5,0,0,0,0,11,0,0,6,0,0,5,0,0,0,0,0,0,0,0,0,24,0,0,6,0,7,3,0,0,0,0,3,0,0,4,1,1,1,0,0,0,0
E00016437,507,393,0,0,0,0,0,0,0,0,0,13,0,9,11,1,0,2,1,1,0,5,0,0,0,0,1,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,12,4,0,0,0,0,0,0,0,1,7,0,0,0,38,0,2,17,0,0,19,0,0,0,0,0,0,0,0,0,14,0,0,1,0,3,0,4,0,0,2,1,0,0,0,3,0,0,0,0,0,0
E00016439,346,258,0,0,0,0,0,0,0,0,0,21,12,7,16,3,1,0,0,5,0,4,0,0,1,0,0,1,0,0,1,0,0,0,3,3,0,0,0,0,0,0,0,1,2,0,6,0,0,6,0,0,4,0,0,0,0,1,0,0,0,3,0,0,0,0,6,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,10,0,0,4,0,1,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0
E00016442,326,256,0,0,0,0,0,0,0,0,0,12,5,6,12,4,2,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,8,0,1,0,0,2,0,0,0,5,0,0,0,0,14,0,1,2,0,0,9,0,2,0,0,0,0,0,0,0,11,0,0,1,1,0,6,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
E00016399,444,358,0,0,0,0,0,0,0,0,0,3,2,8,11,4,0,2,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,2,3,2,9,0,1,7,1,0,7,4,0,2,0,0,0,0,0,0,0,0,0,1,19,0,0,7,0,0,12,0,0,0,0,0,0,0,0,0,14,0,0,6,0,4,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0
E00016401,316,224,0,0,0,0,0,0,0,0,0,15,0,7,17,9,0,4,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,2,3,1,6,0,6,0,0,0,5,1,0,0,0,0,0,0,0,3,0,0,0,1,23,4,1,13,2,0,3,0,0,0,0,0,0,0,0,0,5,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0
E00016406,320,275,0,0,0,0,0,0,0,0,0,6,1,1,5,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,4,4,1,0,6,0,0,0,0,0,0,0,0,0,10,1,1,4,0,3,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
E00016435,396,304,0,0,0,0,0,0,0,0,0,1,10,7,12,0,0,4,3,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,4,2,0,2,0,0,0,0,0,3,1,3,4,0,2,2,0,0,7,1,0,0,0,2,1,0,0,3,0,0,0,0,31,2,4,7,3,0,12,1,0,0,2,0,0,0,0,0,8,0,0,2,0,0,3,1,0,0,0,0,2,0,0,0,1,1,0,0,0,0
E00016395,280,215,0,0,0,0,0,0,0,0,0,12,3,3,23,7,2,1,0,0,5,5,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,8,0,1,2,0,1,0,3,0,1,0,0,0,0,0,0,8,0,0,1,0,1,3,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
E00016404,358,228,0,0,0,0,0,0,0,0,0,11,10,7,36,20,2,8,1,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,6,5,0,0,0,1,0,0,0,6,3,0,13,0,0,1,12,0,13,0,1,0,0,9,2,0,0,0,0,0,0,1,22,1,7,8,0,1,2,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
